,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,FCBD 2019: Spider-Man/Venom,2019,1,Issue,2019-07-01,Comicvine,118758,707848,Free Comic Book Day 2019 (Spider-Man/Venom),2019, ,https://comicvine.gamespot.com/issue/4000-707848/,123 days 00:00:00
2,Absolute Carnage: Symbiote of Vengeance,2019,1,Issue,2019-11-01,Comicvine,121221,718743,Absolute Carnage: Symbiote of Vengeance,2019, ,https://comicvine.gamespot.com/absolute-carnage-symbiote-of-vengeance-1/4000-718743/,0 days 00:00:00
3,Absolute Carnage: Symbiote Spider-Man,2019,1,Issue,2019-11-01,Comicvine,121056,718119,Absolute Carnage: Symbiote Spider-Man,2019, ,https://comicvine.gamespot.com/absolute-carnage-symbiote-spider-man-1/4000-718119/,31 days 00:00:00
4,Absolute Carnage: Separation Anxiety,2019,1,Issue,2019-10-01,Comicvine,120628,716348,Absolute Carnage: Separation Anxiety,2019, ,https://comicvine.gamespot.com/absolute-carnage-separation-anxiety-1/4000-716348/,92 days 00:00:00
5,Absolute Carnage: Weapon Plus,2019,1,Issue,2020-01-01,Comicvine,122664,726199,Absolute Carnage: Weapon Plus,2019, ,https://comicvine.gamespot.com/absolute-carnage-weapon-plus-1/4000-726199/,92 days 00:00:00
6,Absolute Carnage,2019,1,Issue,2019-10-01,Comicvine,120532,715296,Absolute Carnage,2019, ,https://comicvine.gamespot.com/absolute-carnage-1/4000-715296/,0 days 00:00:00
7,Absolute Carnage,2019,2,Issue,2019-10-01,Comicvine,120532,717508,Absolute Carnage,2019, ,https://comicvine.gamespot.com/absolute-carnage-2/4000-717508/,0 days 00:00:00
8,Venom,2018,17,Issue,2019-10-01,Comicvine,110770,717535,Venom,2018, ,https://comicvine.gamespot.com/venom-17/4000-717535/,0 days 00:00:00
9,Absolute Carnage: Miles Morales,2019,1,Issue,2019-10-01,Comicvine,120946,717510,Absolute Carnage: Miles Morales,2019, ,https://comicvine.gamespot.com/absolute-carnage-miles-morales-1/4000-717510/,31 days 00:00:00
10,Absolute Carnage: Miles Morales,2019,2,Issue,2019-11-01,Comicvine,120946,720155,Absolute Carnage: Miles Morales,2019, ,https://comicvine.gamespot.com/absolute-carnage-miles-morales-2/4000-720155/,30 days 00:00:00
11,Absolute Carnage: Miles Morales,2019,3,Issue,2019-12-01,Comicvine,120946,721775,Absolute Carnage: Miles Morales,2019, ,https://comicvine.gamespot.com/absolute-carnage-miles-morales-3/4000-721775/,61 days 00:00:00
12,Absolute Carnage: Lethal Protectors,2019,1,Issue,2019-10-01,Comicvine,120945,717509,Absolute Carnage: Lethal Protectors,2019, ,https://comicvine.gamespot.com/absolute-carnage-lethal-protectors-1/4000-717509/,31 days 00:00:00
13,Absolute Carnage: Lethal Protectors,2019,2,Issue,2019-11-01,Comicvine,120945,719431,Absolute Carnage: Lethal Protectors,2019, ,https://comicvine.gamespot.com/absolute-carnage-lethal-protectors-2/4000-719431/,30 days 00:00:00
14,Absolute Carnage: Lethal Protectors,2019,3,Issue,2019-12-01,Comicvine,120945,723847,Absolute Carnage: Lethal Protectors,2019, ,https://comicvine.gamespot.com/absolute-carnage-lethal-protectors-3/4000-723847/,61 days 00:00:00
