,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Age of X-Man Alpha,2019,1,Issue,2019-03-01,Comicvine,116812,699388,Age of X-Man Alpha,2019, ,https://comicvine.gamespot.com/age-of-x-man-alpha-1/4000-699388/,31 days 00:00:00
2,Age of X-Man: The Marvelous X-Men,2019,1,Issue,2019-04-01,Comicvine,116954,700130,Age of X-Man: The Marvelous X-Men,2019, ,https://comicvine.gamespot.com/age-of-x-man-the-marvelous-x-men-1/4000-700130/,0 days 00:00:00
3,Age of X-Man: Nextgen,2019,1,Issue,2019-04-01,Comicvine,117041,700657,Age of X-Man: NextGen,2019, ,https://comicvine.gamespot.com/age-of-x-man-nextgen-1/4000-700657/,0 days 00:00:00
4,Age of X-Man: The Amazing Nightcrawler,2019,1,Issue,2019-04-01,Comicvine,117190,701298,Age of X-Man: The Amazing Nightcrawler,2019, ,https://comicvine.gamespot.com/age-of-x-man-the-amazing-nightcrawler-1/4000-701298/,0 days 00:00:00
5,Age of X-Man: The X-tremists,2019,1,Issue,2019-04-01,Comicvine,117339,701926,Age of X-Man: X-Tremists,2019, ,https://comicvine.gamespot.com/age-of-x-man-x-tremists-1/4000-701926/,30 days 00:00:00
6,Age of X-Man: Prisoner X,2019,1,Issue,2019-05-01,Comicvine,117431,702452,Age of X-Man: Prisoner X,2019, ,https://comicvine.gamespot.com/age-of-x-man-prisoner-x-1/4000-702452/,0 days 00:00:00
7,Age of X-Man: Apocalypse and the X-Tracts,2019,1,Issue,2019-05-01,Comicvine,117569,703042,Age of X-Man: Apocalypse and the X-Tracts,2019, ,https://comicvine.gamespot.com/age-of-x-man-apocalypse-and-the-x-tracts-1/4000-703042/,0 days 00:00:00
8,Age of X-Man: The Marvelous X-Men,2019,2,Issue,2019-05-01,Comicvine,116954,703043,Age of X-Man: The Marvelous X-Men,2019, ,https://comicvine.gamespot.com/age-of-x-man-the-marvelous-x-men-2/4000-703043/,31 days 00:00:00
9,Age of X-Man: The Marvelous X-Men,2019,3,Issue,2019-06-01,Comicvine,116954,705910,Age of X-Man: The Marvelous X-Men,2019, ,https://comicvine.gamespot.com/age-of-x-man-the-marvelous-x-men-3/4000-705910/,30 days 00:00:00
10,Age of X-Man: The Marvelous X-Men,2019,4,Issue,2019-07-01,Comicvine,116954,709193,Age of X-Man: The Marvelous X-Men,2019, ,https://comicvine.gamespot.com/age-of-x-man-the-marvelous-x-men-4/4000-709193/,31 days 00:00:00
11,Age of X-Man: The Marvelous X-Men,2019,5,Issue,2019-08-01,Comicvine,116954,711311,Age of X-Man: The Marvelous X-Men,2019, ,https://comicvine.gamespot.com/age-of-x-man-the-marvelous-x-men-5/4000-711311/,92 days 00:00:00
12,Age of X-Man: Nextgen,2019,2,Issue,2019-05-01,Comicvine,117041,703932,Age of X-Man: NextGen,2019, ,https://comicvine.gamespot.com/age-of-x-man-nextgen-2/4000-703932/,31 days 00:00:00
13,Age of X-Man: Nextgen,2019,3,Issue,2019-06-01,Comicvine,117041,706400,Age of X-Man: NextGen,2019, ,https://comicvine.gamespot.com/age-of-x-man-nextgen-3/4000-706400/,30 days 00:00:00
14,Age of X-Man: Nextgen,2019,4,Issue,2019-07-01,Comicvine,117041,709194,Age of X-Man: NextGen,2019, ,https://comicvine.gamespot.com/age-of-x-man-nextgen-4/4000-709194/,31 days 00:00:00
