,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Annihilation Saga,2007,1,Issue,2007-05-23,Comicvine,25796,152203,Annihilation Saga,2007, ,https://comicvine.gamespot.com/annihilation-saga-1-annihilation-saga/4000-152203/,28 days 00:00:00
2,Annihilation: Conquest Prologue,2007,1,Issue,2007-06-20,Comicvine,18708,110587,Annihilation Conquest: Prologue,2007, ,https://comicvine.gamespot.com/annihilation-conquest-prologue-1/4000-110587/,73 days 00:00:00
3,Annihilation: Conquest Starlord,2007,1,Issue,2007-09-01,Comicvine,19051,113750,Annihilation: Conquest - Starlord,2007, ,https://comicvine.gamespot.com/annihilation-conquest-starlord-1/4000-113750/,30 days 00:00:00
4,Annihilation: Conquest Starlord,2007,2,Issue,2007-10-01,Comicvine,19051,113775,Annihilation: Conquest - Starlord,2007, ,https://comicvine.gamespot.com/annihilation-conquest-starlord-2/4000-113775/,31 days 00:00:00
5,Annihilation: Conquest Starlord,2007,3,Issue,2007-11-01,Comicvine,19051,115028,Annihilation: Conquest - Starlord,2007, ,https://comicvine.gamespot.com/annihilation-conquest-starlord-3/4000-115028/,35 days 00:00:00
6,Annihilation: Conquest Starlord,2007,4,Issue,2007-12-06,Comicvine,19051,117106,Annihilation: Conquest - Starlord,2007, ,https://comicvine.gamespot.com/annihilation-conquest-starlord-4/4000-117106/,96 days 00:00:00
7,Annihilation: Conquest Quasar,2007,1,Issue,2007-09-01,Comicvine,18923,111894,Annihilation: Conquest - Quasar,2007, ,https://comicvine.gamespot.com/annihilation-conquest-quasar-1-destiny/4000-111894/,30 days 00:00:00
8,Annihilation: Conquest Quasar,2007,2,Issue,2007-10-01,Comicvine,18923,113664,Annihilation: Conquest - Quasar,2007, ,https://comicvine.gamespot.com/annihilation-conquest-quasar-2-destiny-part-2/4000-113664/,31 days 00:00:00
9,Annihilation: Conquest Quasar,2007,3,Issue,2007-11-01,Comicvine,18923,114664,Annihilation: Conquest - Quasar,2007, ,https://comicvine.gamespot.com/annihilation-conquest-quasar-3-destiny-part-3/4000-114664/,30 days 00:00:00
10,Annihilation: Conquest Quasar,2007,4,Issue,2007-12-01,Comicvine,18923,116719,Annihilation: Conquest - Quasar,2007, ,https://comicvine.gamespot.com/annihilation-conquest-quasar-4-destiny-part-4/4000-116719/,91 days 00:00:00
11,Annihilation: Conquest Wraith,2007,1,Issue,2007-09-01,Comicvine,18882,111624,Annihilation: Conquest - Wraith,2007, ,https://comicvine.gamespot.com/annihilation-conquest-wraith-1-chapter-1/4000-111624/,30 days 00:00:00
12,Annihilation: Conquest Wraith,2007,2,Issue,2007-10-01,Comicvine,18882,113751,Annihilation: Conquest - Wraith,2007, ,https://comicvine.gamespot.com/annihilation-conquest-wraith-2-chapter-2/4000-113751/,31 days 00:00:00
13,Annihilation: Conquest Wraith,2007,3,Issue,2007-11-01,Comicvine,18882,114330,Annihilation: Conquest - Wraith,2007, ,https://comicvine.gamespot.com/annihilation-conquest-wraith-3-chapter-3/4000-114330/,30 days 00:00:00
14,Annihilation: Conquest Wraith,2007,4,Issue,2007-12-01,Comicvine,18882,115851,Annihilation: Conquest - Wraith,2007, ,https://comicvine.gamespot.com/annihilation-conquest-wraith-4-chapter-4/4000-115851/,62 days 00:00:00
15,Nova,2007,4,Issue,2007-09-30,Comicvine,18462,111492,Nova,2007, ,https://comicvine.gamespot.com/nova-4-alone/4000-111492/,1 days 00:00:00
16,Nova,2007,5,Issue,2007-10-01,Comicvine,18462,113032,Nova,2007, ,https://comicvine.gamespot.com/nova-5-together/4000-113032/,31 days 00:00:00
17,Nova,2007,6,Issue,2007-11-01,Comicvine,18462,114433,Nova,2007, ,https://comicvine.gamespot.com/nova-6-inside/4000-114433/,30 days 00:00:00
18,Nova,2007,7,Issue,2007-12-01,Comicvine,18462,122799,Nova,2007, ,https://comicvine.gamespot.com/nova-7-out/4000-122799/,31 days 00:00:00
19,Annihilation: Conquest,2008,1,Issue,2008-01-01,Comicvine,19607,117659,Annihilation: Conquest,2008, ,https://comicvine.gamespot.com/annihilation-conquest-1-no-way-out/4000-117659/,31 days 00:00:00
20,Annihilation: Conquest,2008,2,Issue,2008-02-01,Comicvine,19607,119189,Annihilation: Conquest,2008, ,https://comicvine.gamespot.com/annihilation-conquest-2-together-alone/4000-119189/,31 days 00:00:00
21,Nova,2007,8,Issue,2008-01-01,Comicvine,18462,117829,Nova,2007, ,https://comicvine.gamespot.com/nova-8-knowhere-part-one/4000-117829/,31 days 00:00:00
