,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Captain America,2013,22,Issue,2014-09-30,Comicvine,54110,458613,Captain America,2013, ,https://comicvine.gamespot.com/captain-america-22-the-tomorrow-soldier-part-1/4000-458613/,31 days 00:00:00
2,Captain America,2013,23,Issue,2014-10-31,Comicvine,54110,462246,Captain America,2013, ,https://comicvine.gamespot.com/captain-america-23-the-tomorrow-soldier-part-2/4000-462246/,30 days 00:00:00
3,Captain America,2013,24,Issue,2014-11-30,Comicvine,54110,463982,Captain America,2013, ,https://comicvine.gamespot.com/captain-america-24-the-tomorrow-soldier-part-3/4000-463982/,31 days 00:00:00
4,Captain America,2013,25,Issue,2014-12-31,Comicvine,54110,467032,Captain America,2013, ,https://comicvine.gamespot.com/captain-america-25/4000-467032/,31 days 00:00:00
5,Loki: Agent of Asgard,2014,6,Issue,2014-11-30,Comicvine,71432,466329,Loki: Agent of Asgard,2014, ,https://comicvine.gamespot.com/loki-agent-of-asgard-6-degree-absolute/4000-466329/,0 days 00:00:00
6,Magneto,2014,9,Issue,2014-11-30,Comicvine,72111,464984,Magneto,2014, ,https://comicvine.gamespot.com/magneto-9/4000-464984/,0 days 00:00:00
7,Magneto,2014,10,Issue,2014-11-30,Comicvine,72111,466330,Magneto,2014, ,https://comicvine.gamespot.com/magneto-10/4000-466330/,0 days 00:00:00
8,Uncanny Avengers,2012,24,Issue,2014-11-30,Comicvine,52880,465852,Uncanny Avengers,2012, ,https://comicvine.gamespot.com/uncanny-avengers-24-far-from-refuge/4000-465852/,31 days 00:00:00
9,Uncanny Avengers,2012,25,Issue,2014-12-31,Comicvine,52880,467043,Uncanny Avengers,2012, ,https://comicvine.gamespot.com/uncanny-avengers-25-the-low-road/4000-467043/,0 days 00:00:00
10,Avengers & X-Men: AXIS,2014,1,Issue,2014-12-31,Comicvine,77424,467648,Avengers & X-Men: Axis,2014, ,https://comicvine.gamespot.com/avengers-x-men-axis-1-book-one-the-red-supremacy-c/4000-467648/,0 days 00:00:00
11,Avengers & X-Men: AXIS,2014,2,Issue,2014-12-31,Comicvine,77424,468072,Avengers & X-Men: Axis,2014, ,https://comicvine.gamespot.com/avengers-and-x-men-axis-2-book-one-the-red-suprema/4000-468072/,0 days 00:00:00
12,Loki: Agent of Asgard,2014,7,Issue,2014-12-31,Comicvine,71432,468080,Loki: Agent of Asgard,2014, ,https://comicvine.gamespot.com/loki-agent-of-asgard-7-fall-out/4000-468080/,0 days 00:00:00
13,Magneto,2014,11,Issue,2014-12-31,Comicvine,72111,468081,Magneto,2014, ,https://comicvine.gamespot.com/magneto-11/4000-468081/,0 days 00:00:00
