,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Spectacular Spider-Man,2003,15,Issue,2004-08-01,Comicvine,11069,96985,Spectacular Spider-Man,2003, ,https://comicvine.gamespot.com/spectacular-spider-man-15-under-my-skin-part-1/4000-96985/,0 days 00:00:00
2,Spectacular Spider-Man,2003,16,Issue,2004-08-01,Comicvine,11069,97334,Spectacular Spider-Man,2003, ,https://comicvine.gamespot.com/spectacular-spider-man-16-under-my-skin-part-2/4000-97334/,31 days 00:00:00
3,Spectacular Spider-Man,2003,17,Issue,2004-09-01,Comicvine,11069,97335,Spectacular Spider-Man,2003, ,https://comicvine.gamespot.com/spectacular-spider-man-17-changes-part-1/4000-97335/,30 days 00:00:00
4,Spectacular Spider-Man,2003,18,Issue,2004-10-01,Comicvine,11069,97336,Spectacular Spider-Man,2003, ,https://comicvine.gamespot.com/spectacular-spider-man-18-changes-part-2/4000-97336/,31 days 00:00:00
5,Spectacular Spider-Man,2003,19,Issue,2004-11-01,Comicvine,11069,97337,Spectacular Spider-Man,2003, ,https://comicvine.gamespot.com/spectacular-spider-man-19-changes-part-3/4000-97337/,30 days 00:00:00
6,Spectacular Spider-Man,2003,20,Issue,2004-12-01,Comicvine,11069,97338,Spectacular Spider-Man,2003, ,https://comicvine.gamespot.com/spectacular-spider-man-20-changes-part-4/4000-97338/,122 days 00:00:00
7,Iron Man,1998,84,Issue,2004-08-01,Comicvine,6504,99917,Iron Man,1998, ,https://comicvine.gamespot.com/iron-man-84-turf-war-part-1-when-worlds-collide/4000-99917/,0 days 00:00:00
8,Iron Man,1998,85,Issue,2004-08-01,Comicvine,6504,99918,Iron Man,1998, ,https://comicvine.gamespot.com/iron-man-85-turf-war-part-2-uninvited-guests/4000-99918/,0 days 00:00:00
9,Thor,1998,80,Issue,2004-08-01,Comicvine,6226,99326,Thor,1998, ,https://comicvine.gamespot.com/thor-80-ragnarok-part-the-first/4000-99326/,0 days 00:00:00
10,Thor,1998,81,Issue,2004-08-01,Comicvine,6226,99327,Thor,1998, ,https://comicvine.gamespot.com/thor-81-ragnarok-part-the-second/4000-99327/,31 days 00:00:00
11,Captain America & The Falcon,2004,5,Issue,2004-09-01,Comicvine,10973,94292,Captain America & the Falcon,2004, ,https://comicvine.gamespot.com/captain-america-the-falcon-5-jimmys-way/4000-94292/,30 days 00:00:00
12,Captain America & The Falcon,2004,6,Issue,2004-10-01,Comicvine,10973,94293,Captain America & the Falcon,2004, ,https://comicvine.gamespot.com/captain-america-the-falcon-6-snapped/4000-94293/,31 days 00:00:00
13,Captain America & The Falcon,2004,7,Issue,2004-11-01,Comicvine,10973,94294,Captain America & the Falcon,2004, ,https://comicvine.gamespot.com/captain-america-the-falcon-7-lost-in-translation/4000-94294/,61 days 00:00:00
14,Captain America,2002,29,Issue,2004-09-01,Comicvine,9088,99094,Captain America,2002, ,https://comicvine.gamespot.com/captain-america-29-super-patriot-part-1/4000-99094/,0 days 00:00:00
15,Avengers,1998,500,Issue,2004-09-01,Comicvine,7084,90338,Avengers,1998, ,https://comicvine.gamespot.com/avengers-500-chaos-part-1/4000-90338/,30 days 00:00:00
16,Avengers,1998,501,Issue,2004-10-01,Comicvine,7084,90339,Avengers,1998, ,https://comicvine.gamespot.com/avengers-501-chaos-part-2/4000-90339/,31 days 00:00:00
17,Avengers,1998,502,Issue,2004-11-01,Comicvine,7084,90340,Avengers,1998, ,https://comicvine.gamespot.com/avengers-502-chaos-part-3/4000-90340/,30 days 00:00:00
18,Avengers,1998,503,Issue,2004-12-01,Comicvine,7084,101195,Avengers,1998, ,https://comicvine.gamespot.com/avengers-503-chaos-part-4/4000-101195/,89 days 00:00:00
19,Excalibur,2004,8,Issue,2005-02-28,Comicvine,11292,99105,Excalibur,2004, ,https://comicvine.gamespot.com/excalibur-8-saturday-night-fever-part-1/4000-99105/,180 days 00:00:00
20,Iron Man,1998,86,Issue,2004-09-01,Comicvine,6504,99919,Iron Man,1998, ,https://comicvine.gamespot.com/iron-man-86-the-singularity-part-1/4000-99919/,30 days 00:00:00
21,Iron Man,1998,87,Issue,2004-10-01,Comicvine,6504,99920,Iron Man,1998, ,https://comicvine.gamespot.com/iron-man-87-the-singularity-part-2/4000-99920/,31 days 00:00:00
22,Iron Man,1998,88,Issue,2004-11-01,Comicvine,6504,99921,Iron Man,1998, ,https://comicvine.gamespot.com/iron-man-88-the-singularity-part-3/4000-99921/,30 days 00:00:00
23,Iron Man,1998,89,Issue,2004-12-01,Comicvine,6504,99922,Iron Man,1998, ,https://comicvine.gamespot.com/iron-man-89-the-singularity-part-4/4000-99922/,61 days 00:00:00
24,Captain America,2002,30,Issue,2004-10-01,Comicvine,9088,99095,Captain America,2002, ,https://comicvine.gamespot.com/captain-america-30-super-patriot-part-2/4000-99095/,31 days 00:00:00
25,Captain America,2002,31,Issue,2004-11-01,Comicvine,9088,99096,Captain America,2002, ,https://comicvine.gamespot.com/captain-america-31-super-patriot-part-3/4000-99096/,30 days 00:00:00
