,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Avengers Standoff: Welcome to Pleasant Hill,2016,1,Issue,2016-04-30,Comicvine,88187,516077,Avengers Standoff: Welcome to Pleasant Hill,2016, ,https://comicvine.gamespot.com/avengers-standoff-welcome-to-pleasant-hill-1/4000-516077/,31 days 00:00:00
2,Avengers Standoff: Assault on Pleasant Hill Alpha,2016,1,Issue,2016-05-31,Comicvine,88551,517824,Avengers Standoff: Assault On Pleasant Hill Alpha,2016, ,https://comicvine.gamespot.com/avengers-standoff-assault-on-pleasant-hill-alpha-1/4000-517824/,0 days 00:00:00
3,Agents of S.H.I.E.L.D.,2016,3,Issue,2016-05-31,Comicvine,87304,518849,Agents of S.H.I.E.L.D.,2016, ,https://comicvine.gamespot.com/agents-of-shield-3-the-coulson-protocols-episode-t/4000-518849/,0 days 00:00:00
4,Uncanny Avengers,2015,7,Issue,2016-05-31,Comicvine,85318,518870,Uncanny Avengers,2015, ,https://comicvine.gamespot.com/uncanny-avengers-7-the-hills-are-alivewith-the-sou/4000-518870/,0 days 00:00:00
5,"All-New, All-Different Avengers",2015,7,Issue,2016-05-31,Comicvine,85928,521327,"All-New, All-Different Avengers",2015, ,https://comicvine.gamespot.com/all-new-all-different-avengers-7/4000-521327/,0 days 00:00:00
6,New Avengers,2015,8,Issue,2016-05-31,Comicvine,85301,521339,New Avengers,2015, ,https://comicvine.gamespot.com/new-avengers-8-of-course-you-realize/4000-521339/,0 days 00:00:00
7,Howling Commandos of S.H.I.E.L.D.,2015,6,Issue,2016-05-31,Comicvine,85573,521333,Howling Commandos of S.H.I.E.L.D.,2015, ,https://comicvine.gamespot.com/howling-commandos-of-shield-6/4000-521333/,0 days 00:00:00
8,Captain America: Sam Wilson,2015,7,Issue,2016-05-31,Comicvine,85274,522425,Captain America: Sam Wilson,2015, ,https://comicvine.gamespot.com/captain-america-sam-wilson-7-presentation-catch-me/4000-522425/,30 days 00:00:00
9,Uncanny Avengers,2015,8,Issue,2016-06-30,Comicvine,85318,523268,Uncanny Avengers,2015, ,https://comicvine.gamespot.com/uncanny-avengers-8-student-debt/4000-523268/,0 days 00:00:00
10,New Avengers,2015,9,Issue,2016-06-30,Comicvine,85301,523261,New Avengers,2015, ,https://comicvine.gamespot.com/new-avengers-9-up-from-the-depths/4000-523261/,0 days 00:00:00
11,Illuminati,2016,6,Issue,2016-06-30,Comicvine,85951,525027,Illuminati,2015, ,https://comicvine.gamespot.com/issue/4000-525027/,0 days 00:00:00
12,Agents of S.H.I.E.L.D.,2016,4,Issue,2016-06-30,Comicvine,87304,525015,Agents of S.H.I.E.L.D.,2016, ,https://comicvine.gamespot.com/agents-of-shield-4-the-coulson-protocols-episode-f/4000-525015/,0 days 00:00:00
13,"All-New, All-Different Avengers",2015,8,Issue,2016-06-30,Comicvine,85928,525016,"All-New, All-Different Avengers",2015, ,https://comicvine.gamespot.com/all-new-all-different-avengers-8/4000-525016/,0 days 00:00:00
14,New Avengers,2015,10,Issue,2016-06-30,Comicvine,85301,526061,New Avengers,2015, ,https://comicvine.gamespot.com/new-avengers-10-everybody-dance-now/4000-526061/,0 days 00:00:00
15,Captain America: Sam Wilson,2015,8,Issue,2016-06-30,Comicvine,85274,526041,Captain America: Sam Wilson,2015, ,https://comicvine.gamespot.com/captain-america-sam-wilson-8/4000-526041/,0 days 00:00:00
16,Avengers Standoff: Assault on Pleasant Hill Omega,2016,1,Issue,2016-06-30,Comicvine,89915,527134,Avengers Standoff: Assault On Pleasant Hill Omega,2016, ,https://comicvine.gamespot.com/avengers-standoff-assault-on-pleasant-hill-omega-1/4000-527134/,31 days 00:00:00
17,Captain America: Sam Wilson,2015,9,Issue,2016-07-31,Comicvine,85274,528503,Captain America: Sam Wilson,2015, ,https://comicvine.gamespot.com/captain-america-sam-wilson-9/4000-528503/,0 days 00:00:00
18,Illuminati,2016,7,Issue,2016-07-31,Comicvine,85951,529658,Illuminati,2015, ,https://comicvine.gamespot.com/issue/4000-529658/,0 days 00:00:00
