,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X-Men: Battle of the Atom,2013,1,Issue,2013-11-30,Comicvine,67028,424543,X-Men: Battle of the Atom,2013, ,https://comicvine.gamespot.com/x-men-battle-of-the-atom-1-battle-of-the-atom-chap/4000-424543/,0 days 00:00:00
2,All-New X-Men,2013,16,Issue,2013-11-30,Comicvine,53919,424528,All-New X-Men,2012, ,https://comicvine.gamespot.com/issue/4000-424528/,0 days 00:00:00
3,X-Men,2013,5,Issue,2013-11-30,Comicvine,62383,425036,X-Men,2013, ,https://comicvine.gamespot.com/x-men-5-battle-of-the-atom-chapter-3/4000-425036/,0 days 00:00:00
4,Uncanny X-Men,2013,12,Issue,2013-11-30,Comicvine,57181,425944,Uncanny X-Men,2013, ,https://comicvine.gamespot.com/uncanny-x-men-12-battle-of-the-atom-chapter-4/4000-425944/,0 days 00:00:00
5,Wolverine and The X-Men,2011,36,Issue,2013-11-30,Comicvine,43539,426886,Wolverine & the X-Men,2011, ,https://comicvine.gamespot.com/wolverine-the-x-men-36-battle-of-the-atom-chapter-/4000-426886/,31 days 00:00:00
6,All-New X-Men,2013,17,Issue,2013-12-31,Comicvine,53919,427682,All-New X-Men,2012, ,https://comicvine.gamespot.com/issue/4000-427682/,0 days 00:00:00
7,X-Men,2013,6,Issue,2013-12-31,Comicvine,62383,428304,X-Men,2013, ,https://comicvine.gamespot.com/x-men-6-battle-of-the-atom-chapter-7/4000-428304/,0 days 00:00:00
8,Uncanny X-Men,2013,13,Issue,2013-12-31,Comicvine,57181,428867,Uncanny X-Men,2013, ,https://comicvine.gamespot.com/uncanny-x-men-13-battle-of-the-atom-chapter-8/4000-428867/,0 days 00:00:00
9,Wolverine and The X-Men,2011,37,Issue,2013-12-31,Comicvine,43539,430768,Wolverine & the X-Men,2011, ,https://comicvine.gamespot.com/wolverine-the-x-men-37-battle-of-the-atom-chapter-/4000-430768/,0 days 00:00:00
10,X-Men: Battle of the Atom,2013,2,Issue,2013-12-31,Comicvine,67028,431449,X-Men: Battle of the Atom,2013, ,https://comicvine.gamespot.com/x-men-battle-of-the-atom-2-battle-of-the-atom-chap/4000-431449/,0 days 00:00:00
