,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Guardians of the Galaxy & X-Men: The Black Vortex Alpha,2015,1,Issue,2015-04-30,Comicvine,79860,478607,Guardians of the Galaxy & X-Men: The Black Vortex Alpha,2015, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-x-men-the-black-vortex-alp/4000-478607/,0 days 00:00:00
2,Guardians of the Galaxy,2013,24,Issue,2015-04-30,Comicvine,57960,479260,Guardians of the Galaxy,2013, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-24-the-black-vortex-chapte/4000-479260/,0 days 00:00:00
3,Legendary Star-Lord,2014,9,Issue,2015-04-30,Comicvine,75335,479972,Legendary Star-Lord,2014, ,https://comicvine.gamespot.com/legendary-star-lord-9-the-black-vortex-chapter-3/4000-479972/,0 days 00:00:00
4,All-New X-Men,2013,38,Issue,2015-04-30,Comicvine,53919,480667,All-New X-Men,2012, ,https://comicvine.gamespot.com/issue/4000-480667/,31 days 00:00:00
5,All-New X-Men,2013,39,Issue,2015-05-31,Comicvine,53919,482678,All-New X-Men,2012, ,https://comicvine.gamespot.com/issue/4000-482678/,0 days 00:00:00
6,Guardians Team-Up,2015,3,Issue,2015-05-31,Comicvine,80454,482684,Guardians Team-Up,2015, ,https://comicvine.gamespot.com/guardians-team-up-3-the-black-vortex-chapter-6/4000-482684/,0 days 00:00:00
7,Guardians of the Galaxy,2013,25,Issue,2015-05-31,Comicvine,57960,483351,Guardians of the Galaxy,2013, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-25-the-black-vortex-chapte/4000-483351/,0 days 00:00:00
8,Nova,2013,28,Issue,2015-05-31,Comicvine,57535,483357,Nova,2013, ,https://comicvine.gamespot.com/nova-28-the-black-vortex-chapter-8/4000-483357/,0 days 00:00:00
9,Legendary Star-Lord,2014,10,Issue,2015-05-31,Comicvine,75335,483353,Legendary Star-Lord,2014, ,https://comicvine.gamespot.com/legendary-star-lord-10-the-black-vortex-chapter-9/4000-483353/,30 days 00:00:00
10,Cyclops,2014,12,Issue,2015-06-30,Comicvine,73677,484893,Cyclops,2014, ,https://comicvine.gamespot.com/cyclops-12-the-black-vortex-chapter-10/4000-484893/,0 days 00:00:00
11,Captain Marvel,2014,14,Issue,2015-06-30,Comicvine,72272,485509,Captain Marvel,2014, ,https://comicvine.gamespot.com/captain-marvel-14-the-black-vortex-chapter-11/4000-485509/,0 days 00:00:00
12,Legendary Star-Lord,2014,11,Issue,2015-06-30,Comicvine,75335,486148,Legendary Star-Lord,2014, ,https://comicvine.gamespot.com/legendary-star-lord-11-the-black-vortex-chapter-12/4000-486148/,0 days 00:00:00
13,Guardians of the Galaxy & X-Men: The Black Vortex Omega,2015,1,Issue,2015-06-30,Comicvine,81482,486723,Guardians of the Galaxy & X-Men: The Black Vortex Omega,2015, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-x-men-the-black-vortex-ome/4000-486723/,0 days 00:00:00
