,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Amazing Spider-Man,1963,529,Issue,2006-04-01,Comicvine,2127,106921,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-529-mr-parker-goes-to-washi/4000-106921/,30 days 00:00:00
2,Amazing Spider-Man,1963,530,Issue,2006-05-01,Comicvine,2127,113517,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-530-mr-parker-goes-to-washi/4000-113517/,31 days 00:00:00
3,Amazing Spider-Man,1963,531,Issue,2006-06-01,Comicvine,2127,113518,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-531-mr-parker-goes-to-washi/4000-113518/,1 days 00:00:00
4,New Avengers: Illuminati,2006,1,Issue,2006-05-31,Comicvine,18180,106482,The New Avengers: Illuminati,2006, ,https://comicvine.gamespot.com/the-new-avengers-illuminati-1/4000-106482/,30 days 00:00:00
5,Fantastic Four,1988,536,Issue,2006-05-01,Comicvine,6211,108475,Fantastic Four,1998, ,https://comicvine.gamespot.com/issue/4000-108475/,31 days 00:00:00
6,Fantastic Four,1988,537,Issue,2006-06-01,Comicvine,6211,108474,Fantastic Four,1998, ,https://comicvine.gamespot.com/issue/4000-108474/,0 days 00:00:00
7,Civil War: Opening Shot,2006,1,Issue,2006-06-01,Comicvine,21978,132594,Civil War: Opening Shot Sketchbook,2006, ,https://comicvine.gamespot.com/issue/4000-132594/,30 days 00:00:00
8,Civil War,2006,1,Issue,2006-07-01,Comicvine,18023,105525,Civil War,2006, ,https://comicvine.gamespot.com/civil-war-1-things-turn-ugly/4000-105525/,0 days 00:00:00
9,Wolverine,2003,42,Issue,2006-07-01,Comicvine,10809,106974,Wolverine,2003, ,https://comicvine.gamespot.com/wolverine-42-vendetta/4000-106974/,31 days 00:00:00
10,Wolverine,2003,43,Issue,2006-08-01,Comicvine,10809,108240,Wolverine,2003, ,https://comicvine.gamespot.com/wolverine-43-revenge/4000-108240/,31 days 00:00:00
