,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,International Iron Man,2016,4,Issue,2016-08-31,Comicvine,88934,535356,International Iron Man,2016, ,https://comicvine.gamespot.com/international-iron-man-4/4000-535356/,0 days 00:00:00
2,Totally Awesome Hulk,2016,7,Issue,2016-08-31,Comicvine,86408,537249,The Totally Awesome Hulk,2015, ,https://comicvine.gamespot.com/issue/4000-537249/,30 days 00:00:00
3,Totally Awesome Hulk,2016,8,Issue,2016-09-30,Comicvine,86408,538523,The Totally Awesome Hulk,2015, ,https://comicvine.gamespot.com/issue/4000-538523/,153 days 00:00:00
4,Invincible Iron Man,2015,6,Issue,2016-04-30,Comicvine,85110,513650,Invincible Iron Man,2015, ,https://comicvine.gamespot.com/invincible-iron-man-6-the-war-machines/4000-513650/,31 days 00:00:00
5,Invincible Iron Man,2015,7,Issue,2016-05-31,Comicvine,85110,517830,Invincible Iron Man,2015, ,https://comicvine.gamespot.com/invincible-iron-man-7/4000-517830/,30 days 00:00:00
6,Invincible Iron Man,2015,8,Issue,2016-06-30,Comicvine,85110,523256,Invincible Iron Man,2015, ,https://comicvine.gamespot.com/invincible-iron-man-8/4000-523256/,31 days 00:00:00
7,Invincible Iron Man,2015,9,Issue,2016-07-31,Comicvine,85110,528510,Invincible Iron Man,2015, ,https://comicvine.gamespot.com/invincible-iron-man-9/4000-528510/,31 days 00:00:00
8,Invincible Iron Man,2015,10,Issue,2016-08-31,Comicvine,85110,533030,Invincible Iron Man,2015, ,https://comicvine.gamespot.com/invincible-iron-man-10/4000-533030/,30 days 00:00:00
9,Invincible Iron Man,2015,11,Issue,2016-09-30,Comicvine,85110,538510,Invincible Iron Man,2015, ,https://comicvine.gamespot.com/invincible-iron-man-11/4000-538510/,61 days 00:00:00
10,Ultimates,2016,7,Issue,2016-07-31,Comicvine,85972,529664,Ultimates,2015, ,https://comicvine.gamespot.com/issue/4000-529664/,0 days 00:00:00
11,Civil War II,2016,0,Issue,2016-07-31,Comicvine,90521,530725,Civil War II,2016, ,https://comicvine.gamespot.com/civil-war-ii-0/4000-530725/,0 days 00:00:00
12,All-New Wolverine,2016,8,Issue,2016-07-31,Comicvine,85930,530722,All-New Wolverine,2015, ,https://comicvine.gamespot.com/issue/4000-530722/,31 days 00:00:00
13,All-New Wolverine,2016,9,Issue,2016-08-31,Comicvine,85930,533025,All-New Wolverine,2015, ,https://comicvine.gamespot.com/issue/4000-533025/,31 days 00:00:00
14,Ms. Marvel,2015,7,Issue,2016-07-31,Comicvine,86114,531894,Ms. Marvel,2015, ,https://comicvine.gamespot.com/issue/4000-531894/,46 days 00:00:00
15,Civil War II: Ulysses Infinite Comic,2016,1,Issue,2016-06-15,Comicvine,91316,535498,Civil War II: Ulysses Infinite Comic,2016, ,https://comicvine.gamespot.com/civil-war-ii-ulysses-infinite-comic-1-tower-of-wis/4000-535498/,21 days 00:00:00
16,Civil War II: Ulysses Infinite Comic,2016,2,Issue,2016-07-06,Comicvine,91316,538664,Civil War II: Ulysses Infinite Comic,2016, ,https://comicvine.gamespot.com/civil-war-ii-ulysses-infinite-comic-2-tower-of-wis/4000-538664/,21 days 00:00:00
17,Civil War II: Ulysses Infinite Comic,2016,3,Issue,2016-07-27,Comicvine,91316,541649,Civil War II: Ulysses Infinite Comic,2016, ,https://comicvine.gamespot.com/civil-war-ii-ulysses-infinite-comic-3-tower-of-wis/4000-541649/,21 days 00:00:00
18,Civil War II: Ulysses Infinite Comic,2016,4,Issue,2016-08-17,Comicvine,91316,545124,Civil War II: Ulysses Infinite Comic,2016, ,https://comicvine.gamespot.com/civil-war-ii-ulysses-infinite-comic-4-tower-of-wis/4000-545124/,21 days 00:00:00
19,Civil War II: Ulysses Infinite Comic,2016,5,Issue,2016-09-07,Comicvine,91316,548811,Civil War II: Ulysses Infinite Comic,2016, ,https://comicvine.gamespot.com/civil-war-ii-ulysses-infinite-comic-5-tower-of-wis/4000-548811/,21 days 00:00:00
20,Civil War II: Ulysses Infinite Comic,2016,6,Issue,2016-09-28,Comicvine,91316,551534,Civil War II: Ulysses Infinite Comic,2016, ,https://comicvine.gamespot.com/civil-war-ii-ulysses-infinite-comic-6-tower-of-wis/4000-551534/,28 days 00:00:00
21,Civil War II,2016,1,Issue,2016-08-31,Comicvine,90521,533027,Civil War II,2016, ,https://comicvine.gamespot.com/civil-war-ii-1/4000-533027/,0 days 00:00:00
22,Captain Marvel,2016,6,Issue,2016-08-31,Comicvine,87428,537934,Captain Marvel,2016, ,https://comicvine.gamespot.com/captain-marvel-6-lonely-at-the-top-part-1/4000-537934/,116 days 00:00:00
23,Civil War II Free Comic Book Day,2016,1,Issue,2016-05-07,Comicvine,90254,529170,Free Comic Book Day 2016 (Civil War II),2016, ,https://comicvine.gamespot.com/issue/4000-529170/,116 days 00:00:00
24,Civil War II: Gods of War,2016,1,Issue,2016-08-31,Comicvine,91091,534280,Civil War II: Gods of War,2016, ,https://comicvine.gamespot.com/civil-war-ii-gods-of-war-1-gods-and-monsters/4000-534280/,0 days 00:00:00
25,New Avengers,2015,12,Issue,2016-08-31,Comicvine,85301,534295,New Avengers,2015, ,https://comicvine.gamespot.com/new-avengers-12-aim-vs-shield-part-i-whats-coming-/4000-534295/,0 days 00:00:00
26,Civil War II: Choosing Sides,2016,1,Issue,2016-08-31,Comicvine,91744,537230,Civil War II: Choosing Sides,2016, ,https://comicvine.gamespot.com/civil-war-ii-choosing-sides-1/4000-537230/,0 days 00:00:00
27,Deadpool,2015,14,Issue,2016-08-31,Comicvine,85750,535352,Deadpool,2015, ,https://comicvine.gamespot.com/deadpool-14/4000-535352/,30 days 00:00:00
28,Deadpool,2015,15,Issue,2016-09-30,Comicvine,85750,539241,Deadpool,2015, ,https://comicvine.gamespot.com/deadpool-15/4000-539241/,31 days 00:00:00
29,Deadpool,2015,16,Issue,2016-10-31,Comicvine,85750,542618,Deadpool,2015, ,https://comicvine.gamespot.com/deadpool-16/4000-542618/,0 days 00:00:00
30,Deadpool,2015,17,Issue,2016-10-31,Comicvine,85750,546054,Deadpool,2015, ,https://comicvine.gamespot.com/deadpool-17/4000-546054/,30 days 00:00:00
31,Deadpool,2015,18,Issue,2016-11-30,Comicvine,85750,549516,Deadpool,2015, ,https://comicvine.gamespot.com/deadpool-18/4000-549516/,30 days 00:00:00
32,Spider-Man 2099,2015,13,Issue,2016-10-31,Comicvine,85312,543756,Spider-Man 2099,2015, ,https://comicvine.gamespot.com/spider-man-2099-13-civil-war-2099-chapter-one/4000-543756/,0 days 00:00:00
33,Spider-Man 2099,2015,14,Issue,2016-10-31,Comicvine,85312,547294,Spider-Man 2099,2015, ,https://comicvine.gamespot.com/spider-man-2099-14-civil-war-2099-chapter-two/4000-547294/,30 days 00:00:00
34,Spider-Man 2099,2015,15,Issue,2016-11-30,Comicvine,85312,549525,Spider-Man 2099,2015, ,https://comicvine.gamespot.com/spider-man-2099-15-civil-war-2099-chapter-three/4000-549525/,31 days 00:00:00
35,Spider-Man 2099,2015,16,Issue,2016-12-31,Comicvine,85312,552169,Spider-Man 2099,2015, ,https://comicvine.gamespot.com/spider-man-2099-16-civil-war-2099-chapter-four/4000-552169/,122 days 00:00:00
36,Civil War II: Amazing Spider-Man,2016,1,Issue,2016-08-31,Comicvine,91090,534279,Civil War II: Amazing Spider-Man,2016, ,https://comicvine.gamespot.com/civil-war-ii-amazing-spider-man-1/4000-534279/,30 days 00:00:00
37,Civil War II: Amazing Spider-Man,2016,2,Issue,2016-09-30,Comicvine,91090,539235,Civil War II: Amazing Spider-Man,2016, ,https://comicvine.gamespot.com/civil-war-ii-amazing-spider-man-2/4000-539235/,31 days 00:00:00
38,Civil War II: Amazing Spider-Man,2016,3,Issue,2016-10-31,Comicvine,91090,544981,Civil War II: Amazing Spider-Man,2016, ,https://comicvine.gamespot.com/civil-war-ii-amazing-spider-man-3/4000-544981/,30 days 00:00:00
39,Civil War II: Amazing Spider-Man,2016,4,Issue,2016-11-30,Comicvine,91090,549512,Civil War II: Amazing Spider-Man,2016, ,https://comicvine.gamespot.com/civil-war-ii-amazing-spider-man-4/4000-549512/,61 days 00:00:00
40,Spider-Woman,2015,9,Issue,2016-09-30,Comicvine,86127,538520,Spider-Woman,2015, ,https://comicvine.gamespot.com/spider-woman-9/4000-538520/,0 days 00:00:00
41,All-New Wolverine,2016,10,Issue,2016-09-30,Comicvine,85930,540068,All-New Wolverine,2015, ,https://comicvine.gamespot.com/issue/4000-540068/,31 days 00:00:00
42,All-New Wolverine,2016,11,Issue,2016-10-31,Comicvine,85930,544978,All-New Wolverine,2015, ,https://comicvine.gamespot.com/issue/4000-544978/,30 days 00:00:00
43,All-New Wolverine,2016,12,Issue,2016-11-30,Comicvine,85930,550343,All-New Wolverine,2015, ,https://comicvine.gamespot.com/issue/4000-550343/,61 days 00:00:00
44,Power Man and Iron Fist,2016,6,Issue,2016-09-30,Comicvine,88214,539249,Power Man and Iron Fist,2016, ,https://comicvine.gamespot.com/power-man-and-iron-fist-6/4000-539249/,30 days 00:00:00
45,Ultimates,2016,8,Issue,2016-08-31,Comicvine,85972,537250,Ultimates,2015, ,https://comicvine.gamespot.com/issue/4000-537250/,30 days 00:00:00
46,"Patsy Walker, A.K.A. Hellcat!",2015,8,Issue,2016-09-30,Comicvine,86780,540080,"Patsy Walker, A.K.A. Hellcat!",2015, ,https://comicvine.gamespot.com/issue/4000-540080/,31 days 00:00:00
47,A-Force,2016,8,Issue,2016-10-31,Comicvine,87152,543740,A-Force,2016, ,https://comicvine.gamespot.com/a-force-8/4000-543740/,30 days 00:00:00
48,A-Force,2016,9,Issue,2016-11-30,Comicvine,87152,549508,A-Force,2016, ,https://comicvine.gamespot.com/a-force-9/4000-549508/,31 days 00:00:00
49,A-Force,2016,10,Issue,2016-12-31,Comicvine,87152,553941,A-Force,2016, ,https://comicvine.gamespot.com/a-force-10/4000-553941/,61 days 00:00:00
50,Scarlet Witch,2016,9,Issue,2016-10-31,Comicvine,86552,543755,Scarlet Witch,2015, ,https://comicvine.gamespot.com/issue/4000-543755/,31 days 00:00:00
51,Spider-Man,2016,6,Issue,2016-09-30,Comicvine,87820,540082,Spider-Man,2016, ,https://comicvine.gamespot.com/spider-man-6/4000-540082/,30 days 00:00:00
52,Civil War II,2016,2,Issue,2016-08-31,Comicvine,90521,535350,Civil War II,2016, ,https://comicvine.gamespot.com/civil-war-ii-2/4000-535350/,30 days 00:00:00
53,Agents of S.H.I.E.L.D.,2016,7,Issue,2016-09-30,Comicvine,87304,539232,Agents of S.H.I.E.L.D.,2016, ,https://comicvine.gamespot.com/agents-of-shield-7-under-new-management-episode-on/4000-539232/,30 days 00:00:00
54,Uncanny Inhumans,2015,11,Issue,2016-08-31,Comicvine,81092,537955,Uncanny Inhumans,2015, ,https://comicvine.gamespot.com/uncanny-inhumans-11/4000-537955/,61 days 00:00:00
55,Uncanny Inhumans,2015,12,Issue,2016-10-31,Comicvine,81092,542632,Uncanny Inhumans,2015, ,https://comicvine.gamespot.com/uncanny-inhumans-12/4000-542632/,30 days 00:00:00
56,Uncanny Inhumans,2015,13,Issue,2016-11-30,Comicvine,81092,549530,Uncanny Inhumans,2015, ,https://comicvine.gamespot.com/uncanny-inhumans-13/4000-549530/,31 days 00:00:00
57,Uncanny Inhumans,2015,14,Issue,2016-12-31,Comicvine,81092,553972,Uncanny Inhumans,2015, ,https://comicvine.gamespot.com/uncanny-inhumans-14/4000-553972/,61 days 00:00:00
58,Invincible Iron Man,2015,12,Issue,2016-10-31,Comicvine,85110,542621,Invincible Iron Man,2015, ,https://comicvine.gamespot.com/invincible-iron-man-12/4000-542621/,30 days 00:00:00
59,Invincible Iron Man,2015,13,Issue,2016-11-30,Comicvine,85110,548576,Invincible Iron Man,2015, ,https://comicvine.gamespot.com/invincible-iron-man-13/4000-548576/,91 days 00:00:00
60,Captain America: Sam Wilson,2015,10,Issue,2016-08-31,Comicvine,85274,537227,Captain America: Sam Wilson,2015, ,https://comicvine.gamespot.com/captain-america-sam-wilson-10/4000-537227/,30 days 00:00:00
61,Civil War II: Choosing Sides,2016,2,Issue,2016-09-30,Comicvine,91744,539236,Civil War II: Choosing Sides,2016, ,https://comicvine.gamespot.com/civil-war-ii-choosing-sides-2/4000-539236/,30 days 00:00:00
62,Civil War II: X-Men,2016,1,Issue,2016-08-31,Comicvine,91275,535351,Civil War II: X-Men,2016, ,https://comicvine.gamespot.com/civil-war-ii-x-men-1/4000-535351/,30 days 00:00:00
63,Civil War II: X-Men,2016,2,Issue,2016-09-30,Comicvine,91275,538504,Civil War II: X-Men,2016, ,https://comicvine.gamespot.com/civil-war-ii-x-men-2/4000-538504/,31 days 00:00:00
64,Civil War II: X-Men,2016,3,Issue,2016-10-31,Comicvine,91275,544984,Civil War II: X-Men,2016, ,https://comicvine.gamespot.com/civil-war-ii-x-men-3/4000-544984/,30 days 00:00:00
65,Civil War II: X-Men,2016,4,Issue,2016-11-30,Comicvine,91275,550353,Civil War II: X-Men,2016, ,https://comicvine.gamespot.com/civil-war-ii-x-men-4/4000-550353/,61 days 00:00:00
66,Captain Marvel,2016,7,Issue,2016-09-30,Comicvine,87428,541197,Captain Marvel,2016, ,https://comicvine.gamespot.com/captain-marvel-7-lonely-at-the-top-part-2/4000-541197/,30 days 00:00:00
67,Ms. Marvel,2015,8,Issue,2016-08-31,Comicvine,86114,537240,Ms. Marvel,2015, ,https://comicvine.gamespot.com/issue/4000-537240/,30 days 00:00:00
68,Ms. Marvel,2015,9,Issue,2016-09-30,Comicvine,86114,541214,Ms. Marvel,2015, ,https://comicvine.gamespot.com/issue/4000-541214/,31 days 00:00:00
69,Ms. Marvel,2015,10,Issue,2016-10-31,Comicvine,86114,547287,Ms. Marvel,2015, ,https://comicvine.gamespot.com/issue/4000-547287/,31 days 00:00:00
70,Captain America: Sam Wilson,2015,11,Issue,2016-09-30,Comicvine,85274,538502,Captain America: Sam Wilson,2015, ,https://comicvine.gamespot.com/captain-america-sam-wilson-11/4000-538502/,31 days 00:00:00
71,Captain America: Sam Wilson,2015,12,Issue,2016-10-31,Comicvine,85274,544980,Captain America: Sam Wilson,2015, ,https://comicvine.gamespot.com/captain-america-sam-wilson-12/4000-544980/,30 days 00:00:00
72,Captain America: Sam Wilson,2015,13,Issue,2016-11-30,Comicvine,85274,551296,Captain America: Sam Wilson,2015, ,https://comicvine.gamespot.com/captain-america-sam-wilson-13/4000-551296/,61 days 00:00:00
73,Civil War II: Kingpin,2016,1,Issue,2016-09-30,Comicvine,92020,538503,Civil War II: Kingpin,2016, ,https://comicvine.gamespot.com/civil-war-ii-kingpin-1-shouldnt-have-come-back-the/4000-538503/,31 days 00:00:00
74,Civil War II: Kingpin,2016,2,Issue,2016-10-31,Comicvine,92020,542616,Civil War II: Kingpin,2016, ,https://comicvine.gamespot.com/civil-war-ii-kingpin-2-idle-hands-are-the-devils-p/4000-542616/,30 days 00:00:00
75,Civil War II: Kingpin,2016,3,Issue,2016-11-30,Comicvine,92020,551300,Civil War II: Kingpin,2016, ,https://comicvine.gamespot.com/civil-war-ii-kingpin-3-red-in-tooth-and-claw/4000-551300/,31 days 00:00:00
76,Civil War II: Kingpin,2016,4,Issue,2016-12-31,Comicvine,92020,553951,Civil War II: Kingpin,2016, ,https://comicvine.gamespot.com/civil-war-ii-kingpin-4/4000-553951/,92 days 00:00:00
77,Civil War II: Gods of War,2016,2,Issue,2016-09-30,Comicvine,91091,539237,Civil War II: Gods of War,2016, ,https://comicvine.gamespot.com/civil-war-ii-gods-of-war-2-brand-recognition/4000-539237/,31 days 00:00:00
78,Civil War II: Gods of War,2016,3,Issue,2016-10-31,Comicvine,91091,544983,Civil War II: Gods of War,2016, ,https://comicvine.gamespot.com/civil-war-ii-gods-of-war-3-friends-and-foes/4000-544983/,30 days 00:00:00
79,Civil War II: Gods of War,2016,4,Issue,2016-11-30,Comicvine,91091,549513,Civil War II: Gods of War,2016, ,https://comicvine.gamespot.com/civil-war-ii-gods-of-war-4/4000-549513/,30 days 00:00:00
80,Captain America: Steve Rogers,2016,4,Issue,2016-10-31,Comicvine,90698,546051,Captain America: Steve Rogers,2016, ,https://comicvine.gamespot.com/captain-america-steve-rogers-4/4000-546051/,0 days 00:00:00
81,Spider-Man,2016,7,Issue,2016-10-31,Comicvine,87820,547293,Spider-Man,2016, ,https://comicvine.gamespot.com/spider-man-7/4000-547293/,31 days 00:00:00
82,Civil War II,2016,3,Issue,2016-09-30,Comicvine,90521,539234,Civil War II,2016, ,https://comicvine.gamespot.com/civil-war-ii-3/4000-539234/,61 days 00:00:00
83,Spider-Man,2016,8,Issue,2016-11-30,Comicvine,87820,549524,Spider-Man,2016, ,https://comicvine.gamespot.com/spider-man-8/4000-549524/,61 days 00:00:00
84,Civil War II: Choosing Sides,2016,3,Issue,2016-09-30,Comicvine,91744,541200,Civil War II: Choosing Sides,2016, ,https://comicvine.gamespot.com/civil-war-ii-choosing-sides-3/4000-541200/,31 days 00:00:00
85,Civil War II: Choosing Sides,2016,4,Issue,2016-10-31,Comicvine,91744,544982,Civil War II: Choosing Sides,2016, ,https://comicvine.gamespot.com/civil-war-ii-choosing-sides-4/4000-544982/,0 days 00:00:00
86,Civil War II: Choosing Sides,2016,5,Issue,2016-10-31,Comicvine,91744,547272,Civil War II: Choosing Sides,2016, ,https://comicvine.gamespot.com/civil-war-ii-choosing-sides-5/4000-547272/,30 days 00:00:00
87,Civil War II: Choosing Sides,2016,6,Issue,2016-11-30,Comicvine,91744,550352,Civil War II: Choosing Sides,2016, ,https://comicvine.gamespot.com/civil-war-ii-choosing-sides-6/4000-550352/,91 days 00:00:00
88,Nova,2015,8,Issue,2016-08-31,Comicvine,85778,535358,Nova,2015, ,https://comicvine.gamespot.com/issue/4000-535358/,30 days 00:00:00
89,Nova,2015,9,Issue,2016-09-30,Comicvine,85778,540079,Nova,2015, ,https://comicvine.gamespot.com/issue/4000-540079/,31 days 00:00:00
90,Spider-Woman,2015,10,Issue,2016-10-31,Comicvine,86127,544992,Spider-Woman,2015, ,https://comicvine.gamespot.com/spider-woman-10/4000-544992/,0 days 00:00:00
91,Uncanny Avengers,2015,13,Issue,2016-10-31,Comicvine,85318,547297,Uncanny Avengers,2015, ,https://comicvine.gamespot.com/uncanny-avengers-13-dont-do-the-crime/4000-547297/,30 days 00:00:00
92,Spider-Woman,2015,11,Issue,2016-11-30,Comicvine,86127,551318,Spider-Woman,2015, ,https://comicvine.gamespot.com/spider-woman-11/4000-551318/,0 days 00:00:00
93,Uncanny Avengers,2015,14,Issue,2016-11-30,Comicvine,85318,549528,Uncanny Avengers,2015, ,https://comicvine.gamespot.com/uncanny-avengers-14-a-failed-experiment/4000-549528/,30 days 00:00:00
94,"All-New, All-Different Avengers",2015,13,Issue,2016-10-31,Comicvine,85928,543742,"All-New, All-Different Avengers",2015, ,https://comicvine.gamespot.com/all-new-all-different-avengers-13/4000-543742/,30 days 00:00:00
95,"All-New, All-Different Avengers",2015,14,Issue,2016-11-30,Comicvine,85928,548571,"All-New, All-Different Avengers",2015, ,https://comicvine.gamespot.com/all-new-all-different-avengers-14/4000-548571/,31 days 00:00:00
96,"All-New, All-Different Avengers",2015,15,Issue,2016-12-31,Comicvine,85928,555510,"All-New, All-Different Avengers",2015, ,https://comicvine.gamespot.com/all-new-all-different-avengers-15/4000-555510/,61 days 00:00:00
97,Captain Marvel,2016,8,Issue,2016-10-31,Comicvine,87428,546052,Captain Marvel,2016, ,https://comicvine.gamespot.com/captain-marvel-8-lonely-at-the-top-part-3/4000-546052/,30 days 00:00:00
98,Ms. Marvel,2015,11,Issue,2016-11-30,Comicvine,86114,551310,Ms. Marvel,2015, ,https://comicvine.gamespot.com/issue/4000-551310/,30 days 00:00:00
99,Power Man and Iron Fist,2016,7,Issue,2016-10-31,Comicvine,88214,544991,Power Man and Iron Fist,2016, ,https://comicvine.gamespot.com/power-man-and-iron-fist-7/4000-544991/,30 days 00:00:00
100,Power Man and Iron Fist,2016,8,Issue,2016-11-30,Comicvine,88214,550367,Power Man and Iron Fist,2016, ,https://comicvine.gamespot.com/power-man-and-iron-fist-8/4000-550367/,31 days 00:00:00
101,Power Man and Iron Fist,2016,9,Issue,2016-12-31,Comicvine,88214,553018,Power Man and Iron Fist,2016, ,https://comicvine.gamespot.com/power-man-and-iron-fist-9/4000-553018/,61 days 00:00:00
102,Mockingbird,2016,6,Issue,2016-10-31,Comicvine,88764,544989,Mockingbird,2016, ,https://comicvine.gamespot.com/mockingbird-6/4000-544989/,31 days 00:00:00
103,New Avengers,2015,13,Issue,2016-09-30,Comicvine,85301,539247,New Avengers,2015, ,https://comicvine.gamespot.com/new-avengers-13-aim-vs-shield-part-ii-part-of-the-/4000-539247/,0 days 00:00:00
