,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Fantastic Four,1961,48,Issue,1966-03-01,Comicvine,2045,8428,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-48-the-coming-of-galactus/4000-8428/,31 days 00:00:00
2,Fantastic Four,1961,49,Issue,1966-04-01,Comicvine,2045,8490,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-49-if-this-be-doomsday/4000-8490/,30 days 00:00:00
3,Fantastic Four,1961,50,Issue,1966-05-01,Comicvine,2045,8546,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-50-the-startling-saga-of-the-silver/4000-8546/,1857 days 00:00:00
4,Avengers,1963,89,Issue,1971-06-01,Comicvine,2128,11485,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-89-the-only-good-alien/4000-11485/,30 days 00:00:00
5,Avengers,1963,90,Issue,1971-07-01,Comicvine,2128,11539,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-90-judgment-day/4000-11539/,31 days 00:00:00
6,Avengers,1963,91,Issue,1971-08-01,Comicvine,2128,11599,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-91-take-one-giant-step-backwards/4000-11599/,31 days 00:00:00
7,Avengers,1963,92,Issue,1971-09-01,Comicvine,2128,11658,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-92-all-things-must-end/4000-11658/,61 days 00:00:00
8,Avengers,1963,93,Issue,1971-11-01,Comicvine,2128,11777,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-93-this-beachhead-earth/4000-11777/,30 days 00:00:00
9,Avengers,1963,94,Issue,1971-12-01,Comicvine,2128,11840,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-94-more-than-inhuman/4000-11840/,61 days 00:00:00
10,Avengers,1963,95,Issue,1972-01-31,Comicvine,2128,11918,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-95-something-inhuman-this-way-comes/4000-11918/,1 days 00:00:00
11,Avengers,1963,96,Issue,1972-02-01,Comicvine,2128,11989,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-96-the-andromeda-swarm/4000-11989/,29 days 00:00:00
12,Avengers,1963,97,Issue,1972-03-01,Comicvine,2128,12048,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-97-godhoods-end/4000-12048/,1248 days 00:00:00
13,Strange Tales,1973,181,Issue,1975-08-01,Comicvine,2643,15500,Strange Tales,1973, ,https://comicvine.gamespot.com/strange-tales-181-1000-clowns/4000-15500/,61 days 00:00:00
14,Warlock,1972,9,Issue,1975-10-01,Comicvine,2583,15708,Warlock,1972, ,https://comicvine.gamespot.com/warlock-9-the-infinity-effect/4000-15708/,61 days 00:00:00
15,Warlock,1972,10,Issue,1975-12-01,Comicvine,2583,15886,Warlock,1972, ,https://comicvine.gamespot.com/warlock-10-how-strange-my-destiny/4000-15886/,62 days 00:00:00
16,Warlock,1972,11,Issue,1976-02-01,Comicvine,2583,16099,Warlock,1972, ,https://comicvine.gamespot.com/warlock-11-the-strange-death-of-adam-warlock/4000-16099/,274 days 00:00:00
17,Warlock,1972,15,Issue,1976-11-01,Comicvine,2583,16893,Warlock,1972, ,https://comicvine.gamespot.com/warlock-15-just-a-series-of-events/4000-16893/,151 days 00:00:00
18,Avengers Annual,1967,7,Issue,1977-04-01,Comicvine,2350,17030,The Avengers Annual,1967, ,https://comicvine.gamespot.com/the-avengers-annual-7-the-final-threat/4000-17030/,30 days 00:00:00
19,Marvel Two-in-One Annual,1976,2,Issue,1977-05-01,Comicvine,2865,17015,Marvel Two-in-One Annual,1976, ,https://comicvine.gamespot.com/marvel-two-in-one-annual-2-death-watch/4000-17015/,1796 days 00:00:00
20,Marvel Graphic Novel,1982,1,Issue,1982-04-01,Comicvine,3144,21782,Marvel Graphic Novel,1982, ,https://comicvine.gamespot.com/issue/4000-21782/,60 days 00:00:00
21,Fantastic Four,1961,242,Issue,1982-05-31,Comicvine,2045,22159,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-242-terrax-the-untamed/4000-22159/,30 days 00:00:00
22,Fantastic Four,1961,243,Issue,1982-06-30,Comicvine,2045,22230,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-243-shall-earth-endure/4000-22230/,31 days 00:00:00
23,Fantastic Four,1961,244,Issue,1982-07-31,Comicvine,2045,22299,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-244-beginnings-and-endings/4000-22299/,396 days 00:00:00
24,Fantastic Four,1961,257,Issue,1983-08-31,Comicvine,2045,23371,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-257-fragments/4000-23371/,122 days 00:00:00
25,Fantastic Four,1961,261,Issue,1983-12-31,Comicvine,2045,23724,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-261-the-search-for-reed-richards/4000-23724/,1 days 00:00:00
26,Fantastic Four,1961,262,Issue,1984-01-01,Comicvine,2045,23874,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-262-the-trial-of-reed-richards/4000-23874/,2922 days 00:00:00
27,Silver Surfer,1987,61,Issue,1992-01-01,Comicvine,3857,35269,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-61-carrier/4000-35269/,31 days 00:00:00
28,Silver Surfer,1987,62,Issue,1992-02-01,Comicvine,3857,35373,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-62-battlelines/4000-35373/,29 days 00:00:00
29,Silver Surfer,1987,63,Issue,1992-03-01,Comicvine,3857,35478,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-63-down-among-the-dead/4000-35478/,31 days 00:00:00
30,Silver Surfer,1987,64,Issue,1992-04-01,Comicvine,3857,35581,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-64-inner-turmoil/4000-35581/,30 days 00:00:00
31,Silver Surfer,1987,65,Issue,1992-05-01,Comicvine,3857,35684,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-65-cold-blooded/4000-35684/,31 days 00:00:00
32,Silver Surfer,1987,66,Issue,1992-06-01,Comicvine,3857,35789,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-66-conflicting-emotions/4000-35789/,62 days 00:00:00
33,Warlock and the Infinity Watch,1992,2,Issue,1992-03-31,Comicvine,4818,35489,Warlock and the Infinity Watch,1992, ,https://comicvine.gamespot.com/warlock-and-the-infinity-watch-2-gathering-the-wat/4000-35489/,30 days 00:00:00
34,Warlock and the Infinity Watch,1992,3,Issue,1992-04-30,Comicvine,4818,35593,Warlock and the Infinity Watch,1992, ,https://comicvine.gamespot.com/warlock-and-the-infinity-watch-3-the-fearsome-fate/4000-35593/,31 days 00:00:00
35,Warlock and the Infinity Watch,1992,4,Issue,1992-05-31,Comicvine,4818,35698,Warlock and the Infinity Watch,1992, ,https://comicvine.gamespot.com/warlock-and-the-infinity-watch-4-they/4000-35698/,30 days 00:00:00
36,Warlock and the Infinity Watch,1992,5,Issue,1992-06-30,Comicvine,4818,35802,Warlock and the Infinity Watch,1992, ,https://comicvine.gamespot.com/warlock-and-the-infinity-watch-5-old-foes/4000-35802/,31 days 00:00:00
