,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,The Death of Dracula,2010,1,Issue,2010-08-01,Comicvine,34003,221774,Death of Dracula,2010, ,https://comicvine.gamespot.com/death-of-dracula-1/4000-221774/,30 days 00:00:00
2,X-Men: Curse of the Mutants Saga,2010,1,Issue,2010-08-31,Comicvine,34032,221891,X-Men: Curse Of The Mutants Saga,2010, ,https://comicvine.gamespot.com/x-men-curse-of-the-mutants-saga-1-x-men-a-go-go/4000-221891/,1 days 00:00:00
3,X-Men,2010,1,Issue,2010-09-01,Comicvine,34221,223204,X-Men,2010, ,https://comicvine.gamespot.com/x-men-1-curse-of-the-mutants-part-1/4000-223204/,30 days 00:00:00
4,X-Men,2010,2,Issue,2010-10-01,Comicvine,34221,228872,X-Men,2010, ,https://comicvine.gamespot.com/x-men-2-curse-of-the-mutants-part-2/4000-228872/,0 days 00:00:00
5,Namor: The First Mutant,2010,1,Issue,2010-10-01,Comicvine,34839,231613,Namor: The First Mutant,2010, ,https://comicvine.gamespot.com/namor-the-first-mutant-1-royal-blood-part-1/4000-231613/,30 days 00:00:00
6,X-Men: Curse of the Mutants: Blade,2010,1,Issue,2010-10-31,Comicvine,35108,231672,X-Men: Curse of the Mutants - Blade,2010, ,https://comicvine.gamespot.com/x-men-curse-of-the-mutants-blade-1-the-light-at-th/4000-231672/,0 days 00:00:00
7,X-Men: Curse of the Mutants: Storm & Gambit,2010,1,Issue,2010-10-31,Comicvine,35104,231617,X-Men: Curse of the Mutants - Storm & Gambit,2010, ,https://comicvine.gamespot.com/x-men-curse-of-the-mutants-storm-and-gambit-1/4000-231617/,30 days 00:00:00
8,X-Men: Curse of the Mutants: Smoke & Blood,2010,1,Issue,2010-11-30,Comicvine,35292,232701,X-Men: Curse of the Mutants - Smoke and Blood,2010, ,https://comicvine.gamespot.com/x-men-curse-of-the-mutants-smoke-and-blood-1/4000-232701/,22 days 00:00:00
9,X-Men,2010,3,Issue,2010-11-08,Comicvine,34221,233618,X-Men,2010, ,https://comicvine.gamespot.com/x-men-3-curse-of-the-mutants-part-3/4000-233618/,7 days 00:00:00
10,Namor: The First Mutant,2010,2,Issue,2010-11-01,Comicvine,34839,236298,Namor: The First Mutant,2010, ,https://comicvine.gamespot.com/namor-the-first-mutant-2-royal-blood-part-2/4000-236298/,29 days 00:00:00
11,X-Men: Curse of the Mutants: X-Men vs. Vampires,2010,1,Issue,2010-11-30,Comicvine,35725,236412,X-Men: Curse of the Mutants - X-Men Vs. Vampires,2010, ,https://comicvine.gamespot.com/x-men-curse-of-the-mutants-x-men-vs-vampires-1-fro/4000-236412/,13 days 00:00:00
12,X-Men,2010,4,Issue,2010-12-13,Comicvine,34221,238074,X-Men,2010, ,https://comicvine.gamespot.com/x-men-4-curse-of-the-mutants-part-4/4000-238074/,18 days 00:00:00
13,X-Men: Curse of the Mutants: X-Men vs. Vampires,2010,2,Issue,2010-12-31,Comicvine,35725,239819,X-Men: Curse of the Mutants - X-Men Vs. Vampires,2010, ,https://comicvine.gamespot.com/x-men-curse-of-the-mutants-x-men-vs-vampires-2-fle/4000-239819/,30 days 00:00:00
14,Namor: The First Mutant,2010,3,Issue,2010-12-01,Comicvine,34839,240600,Namor: The First Mutant,2010, ,https://comicvine.gamespot.com/namor-the-first-mutant-3-royal-blood-part-3/4000-240600/,31 days 00:00:00
15,X-Men,2010,5,Issue,2011-01-01,Comicvine,34221,244786,X-Men,2010, ,https://comicvine.gamespot.com/x-men-5-curse-of-the-mutants-part-5/4000-244786/,0 days 00:00:00
16,Namor: The First Mutant,2010,4,Issue,2011-01-01,Comicvine,34839,246427,Namor: The First Mutant,2010, ,https://comicvine.gamespot.com/namor-the-first-mutant-4-royal-blood-part-4/4000-246427/,58 days 00:00:00
17,Deadpool,2008,30,Issue,2011-02-28,Comicvine,22955,250663,Deadpool,2008, ,https://comicvine.gamespot.com/deadpool-30-i-rule-you-suck/4000-250663/,27 days 00:00:00
18,X-Men,2010,6,Issue,2011-02-01,Comicvine,34221,250625,X-Men,2010, ,https://comicvine.gamespot.com/x-men-6-curse-of-the-mutants-conclusion/4000-250625/,58 days 00:00:00
19,Deadpool,2008,31,Issue,2011-03-31,Comicvine,22955,255918,Deadpool,2008, ,https://comicvine.gamespot.com/deadpool-31-i-rule-you-suck-part-2/4000-255918/,0 days 00:00:00
