,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Doctor Strange: Damnation,2018,1,Issue,2018-04-30,Comicvine,108809,660660,Doctor Strange: Damnation,2018, ,https://comicvine.gamespot.com/doctor-strange-damnation-1/4000-660660/,0 days 00:00:00
2,Doctor Strange,2015,386,Issue,2018-04-30,Comicvine,85094,661149,Doctor Strange,2015, ,https://comicvine.gamespot.com/doctor-strange-386-bleeding-neon-part-one/4000-661149/,31 days 00:00:00
3,Doctor Strange: Damnation,2018,2,Issue,2018-05-31,Comicvine,108809,662087,Doctor Strange: Damnation,2018, ,https://comicvine.gamespot.com/doctor-strange-damnation-2/4000-662087/,0 days 00:00:00
4,Doctor Strange,2015,387,Issue,2018-05-31,Comicvine,85094,662744,Doctor Strange,2015, ,https://comicvine.gamespot.com/doctor-strange-387-bleeding-neon-part-two/4000-662744/,0 days 00:00:00
5,Ben Reilly: Scarlet Spider,2017,15,Issue,2018-05-31,Comicvine,100966,662739,Ben Reilly: Scarlet Spider,2017, ,https://comicvine.gamespot.com/ben-reilly-scarlet-spider-15-damnation/4000-662739/,0 days 00:00:00
6,Doctor Strange: Damnation,2018,3,Issue,2018-05-31,Comicvine,108809,663570,Doctor Strange: Damnation,2018, ,https://comicvine.gamespot.com/doctor-strange-damnation-3/4000-663570/,0 days 00:00:00
7,Ben Reilly: Scarlet Spider,2017,16,Issue,2018-05-31,Comicvine,100966,664291,Ben Reilly: Scarlet Spider,2017, ,https://comicvine.gamespot.com/ben-reilly-scarlet-spider-16/4000-664291/,0 days 00:00:00
8,"Damnation: Johnny Blaze, Ghost Rider",2018,1,Issue,2018-05-31,Comicvine,109444,664296,Damnation: Johnny Blaze - Ghost Rider,2018, ,https://comicvine.gamespot.com/damnation-johnny-blaze-ghost-rider-1/4000-664296/,30 days 00:00:00
9,Doctor Strange,2015,388,Issue,2018-06-30,Comicvine,85094,665912,Doctor Strange,2015, ,https://comicvine.gamespot.com/doctor-strange-388-bleeding-neon-part-three/4000-665912/,30 days 00:00:00
10,Iron Fist,2017,78,Issue,2018-05-31,Comicvine,100082,663573,Iron Fist,2017, ,https://comicvine.gamespot.com/iron-fist-78/4000-663573/,30 days 00:00:00
11,Iron Fist,2017,79,Issue,2018-06-30,Comicvine,100082,664913,Iron Fist,2017, ,https://comicvine.gamespot.com/iron-fist-79/4000-664913/,0 days 00:00:00
12,Iron Fist,2017,80,Issue,2018-06-30,Comicvine,100082,666806,Iron Fist,2017, ,https://comicvine.gamespot.com/iron-fist-80/4000-666806/,0 days 00:00:00
13,Ben Reilly: Scarlet Spider,2017,17,Issue,2018-06-30,Comicvine,100966,665905,Ben Reilly: Scarlet Spider,2017, ,https://comicvine.gamespot.com/ben-reilly-scarlet-spider-17/4000-665905/,0 days 00:00:00
14,Doctor Strange: Damnation,2018,4,Issue,2018-06-30,Comicvine,108809,667639,Doctor Strange: Damnation,2018, ,https://comicvine.gamespot.com/doctor-strange-damnation-4/4000-667639/,0 days 00:00:00
15,Doctor Strange,2015,389,Issue,2018-06-30,Comicvine,85094,667638,Doctor Strange,2015, ,https://comicvine.gamespot.com/doctor-strange-389-bleeding-neon-part-four/4000-667638/,0 days 00:00:00
