,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Thunderbolts,2006,126,Issue,2009-01-01,Comicvine,18128,142548,Thunderbolts,2006, ,https://comicvine.gamespot.com/thunderbolts-126-burning-down-the-house-pt-1/4000-142548/,31 days 00:00:00
2,Thunderbolts,2006,127,Issue,2009-02-01,Comicvine,18128,146793,Thunderbolts,2006, ,https://comicvine.gamespot.com/thunderbolts-127-burning-down-the-house-pt-2/4000-146793/,0 days 00:00:00
3,Secret Invasion: Dark Reign,2009,1,Issue,2009-02-01,Comicvine,24578,145449,Secret Invasion: Dark Reign,2009, ,https://comicvine.gamespot.com/secret-invasion-dark-reign-1-untitled/4000-145449/,0 days 00:00:00
4,New Avengers,2005,48,Issue,2009-02-01,Comicvine,11497,148641,New Avengers,2004, ,https://comicvine.gamespot.com/issue/4000-148641/,0 days 00:00:00
5,Invincible Iron Man,2008,8,Issue,2009-02-01,Comicvine,21487,146865,Invincible Iron Man,2008, ,https://comicvine.gamespot.com/the-invincible-iron-man-8-worlds-most-wanted-part-/4000-146865/,0 days 00:00:00
6,Avengers: The Initiative,2007,20,Issue,2009-02-01,Comicvine,18419,149285,Avengers: The Initiative,2007, ,https://comicvine.gamespot.com/avengers-the-initiative-20-acceptable-losses/4000-149285/,28 days 00:00:00
7,Avengers: The Initiative,2007,21,Issue,2009-03-01,Comicvine,18419,150657,Avengers: The Initiative,2007, ,https://comicvine.gamespot.com/avengers-the-initiative-21-disassembled-part-1/4000-150657/,31 days 00:00:00
8,Avengers: The Initiative,2007,22,Issue,2009-04-01,Comicvine,18419,152705,Avengers: The Initiative,2007, ,https://comicvine.gamespot.com/avengers-the-initiative-22-disassembled-part-2/4000-152705/,61 days 00:00:00
9,Avengers: The Initiative,2007,23,Issue,2009-06-01,Comicvine,18419,155916,Avengers: The Initiative,2007, ,https://comicvine.gamespot.com/avengers-the-initiative-23-disassembled-part-3/4000-155916/,151 days 00:00:00
10,Secret Invasion: Requiem,2009,1,Issue,2009-01-01,Comicvine,25190,148634,Secret Invasion: Requiem,2009, ,https://comicvine.gamespot.com/secret-invasion-requiem-1-how-ill-remember-you/4000-148634/,59 days 00:00:00
11,New Avengers,2005,49,Issue,2009-03-01,Comicvine,11497,150658,New Avengers,2004, ,https://comicvine.gamespot.com/issue/4000-150658/,60 days 00:00:00
12,Dark Reign Files,2009,1,Issue,2009-04-30,Comicvine,25847,152722,Dark Reign Files,2009, ,https://comicvine.gamespot.com/dark-reign-files-1/4000-152722/,60 days 00:00:00
13,Dark Avengers,2009,1,Issue,2009-03-01,Comicvine,25512,150495,Dark Avengers,2009, ,https://comicvine.gamespot.com/dark-avengers-1-assemble/4000-150495/,122 days 00:00:00
14,Dark Reign: Young Avengers,2009,1,Issue,2009-07-01,Comicvine,26390,157288,Dark Reign: Young Avengers,2009, ,https://comicvine.gamespot.com/dark-reign-young-avengers-1-young-masters-part-one/4000-157288/,31 days 00:00:00
15,Dark Reign: Young Avengers,2009,2,Issue,2009-08-01,Comicvine,26390,160692,Dark Reign: Young Avengers,2009, ,https://comicvine.gamespot.com/dark-reign-young-avengers-2-young-masters-part-two/4000-160692/,122 days 00:00:00
16,Wolverine: Origins,2006,33,Issue,2009-04-01,Comicvine,18130,152716,Wolverine: Origins,2006, ,https://comicvine.gamespot.com/wolverine-origins-33-weapon-xi-pt-1/4000-152716/,30 days 00:00:00
17,Wolverine: Origins,2006,34,Issue,2009-05-01,Comicvine,18130,153679,Wolverine: Origins,2006, ,https://comicvine.gamespot.com/wolverine-origins-34-weapon-xi-pt-2/4000-153679/,31 days 00:00:00
18,Wolverine: Origins,2006,35,Issue,2009-06-01,Comicvine,18130,155774,Wolverine: Origins,2006, ,https://comicvine.gamespot.com/wolverine-origins-35-weapon-xi-pt-3/4000-155774/,30 days 00:00:00
19,Wolverine: Origins,2006,36,Issue,2009-07-01,Comicvine,18130,158624,Wolverine: Origins,2006, ,https://comicvine.gamespot.com/wolverine-origins-36-weapon-xi-pt-4/4000-158624/,122 days 00:00:00
20,Thunderbolts,2006,128,Issue,2009-03-01,Comicvine,18128,150504,Thunderbolts,2006, ,https://comicvine.gamespot.com/thunderbolts-128-hammer-down-pt-1/4000-150504/,31 days 00:00:00
21,Thunderbolts,2006,129,Issue,2009-04-01,Comicvine,18128,152760,Thunderbolts,2006, ,https://comicvine.gamespot.com/thunderbolts-129-hammer-down-pt-2/4000-152760/,19 days 00:00:00
22,Deadpool,2008,6,Issue,2009-03-13,Comicvine,22955,150055,Deadpool,2008, ,https://comicvine.gamespot.com/deadpool-6-how-low-can-you-go-part-1-dead-in-the-w/4000-150055/,48 days 00:00:00
