,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Death of Doctor Strange,2021,1,Issue,2021-11-01,Comicvine,139125,885608,Death of Doctor Strange,2021, ,https://comicvine.gamespot.com/the-death-of-doctor-strange-1-chapter-one-the-stra/4000-885608/,30 days 00:00:00
2,Death of Doctor Strange,2021,2,Issue,2021-12-01,Comicvine,139125,890606,Death of Doctor Strange,2021, ,https://comicvine.gamespot.com/the-death-of-doctor-strange-2-chapter-three-the-da/4000-890606/,31 days 00:00:00
3,Death of Doctor Strange: Avengers,2022,1,Issue,2022-01-01,Comicvine,139949,892245,Death of Doctor Strange: The Avengers,2021, ,https://comicvine.gamespot.com/issue/4000-892245/,0 days 00:00:00
4,Strange Academy Presents: The Death of Doctor Strange,2022,1,Issue,2022-01-01,Comicvine,139950,892246,Strange Academy Presents: The Death of Doctor Strange,2021, ,https://comicvine.gamespot.com/issue/4000-892246/,0 days 00:00:00
5,Death of Doctor Strange,2021,3,Issue,2022-01-01,Comicvine,139125,895343,Death of Doctor Strange,2021, ,https://comicvine.gamespot.com/the-death-of-doctor-strange-3-chapter-five-the-per/4000-895343/,31 days 00:00:00
6,Death of Doctor Strange: Spider-Man,2022,1,Issue,2022-02-01,Comicvine,140282,896132,Death of Doctor Strange: Spider-Man,2021, ,https://comicvine.gamespot.com/issue/4000-896132/,0 days 00:00:00
7,Death of Doctor Strange: White Fox,2022,1,Issue,2022-02-01,Comicvine,140283,896133,Death of Doctor Strange: White Fox,2021, ,https://comicvine.gamespot.com/issue/4000-896133/,0 days 00:00:00
8,Death of Doctor Strange: Blade,2022,1,Issue,2022-02-01,Comicvine,140357,897359,Death of Doctor Strange: Blade,2021, ,https://comicvine.gamespot.com/the-death-of-doctor-strange-blade-1/4000-897359/,28 days 00:00:00
9,Death of Doctor Strange: X-Men/Black Knight,2022,1,Issue,2022-03-01,Comicvine,141326,903907,Death of Doctor Strange: X-Men/Black Knight,2022, ,https://comicvine.gamespot.com/death-of-doctor-strange-x-menblack-knight-1/4000-903907/,0 days 00:00:00
10,Death of Doctor Strange,2021,4,Issue,2022-03-01,Comicvine,139125,900389,Death of Doctor Strange,2021, ,https://comicvine.gamespot.com/the-death-of-doctor-strange-4-chapter-eight-mordo-/4000-900389/,0 days 00:00:00
11,Death of Doctor Strange: Bloodstone,2022,1,Issue,2022-03-01,Comicvine,141176,902681,Death of Doctor Strange: Bloodstone,2022, ,https://comicvine.gamespot.com/death-of-doctor-strange-bloodstone-1/4000-902681/,0 days 00:00:00
12,Death of Doctor Strange,2021,5,Issue,2022-03-01,Comicvine,139125,904774,Death of Doctor Strange,2021, ,https://comicvine.gamespot.com/the-death-of-doctor-strange-5-chapter-eleven-physi/4000-904774/,0 days 00:00:00
