,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Death of Wolverine,2014,1,Issue,2014-11-30,Comicvine,76710,463886,Death of Wolverine,2014, ,https://comicvine.gamespot.com/death-of-wolverine-1-the-end/4000-463886/,0 days 00:00:00
2,Death of Wolverine,2014,2,Issue,2014-11-30,Comicvine,76710,464978,Death of Wolverine,2014, ,https://comicvine.gamespot.com/death-of-wolverine-2-poison/4000-464978/,31 days 00:00:00
3,Death of Wolverine,2014,3,Issue,2014-12-31,Comicvine,76710,467034,Death of Wolverine,2014, ,https://comicvine.gamespot.com/death-of-wolverine-3-seppuku/4000-467034/,0 days 00:00:00
4,Death of Wolverine,2014,4,Issue,2014-12-31,Comicvine,76710,468075,Death of Wolverine,2014, ,https://comicvine.gamespot.com/death-of-wolverine-4-history/4000-468075/,31 days 00:00:00
5,Death of Wolverine: The Weapon X Program,2014,1,Issue,2015-01-31,Comicvine,77940,469492,Death of Wolverine: The Weapon X Program,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-weapon-x-program-1-phase-on/4000-469492/,0 days 00:00:00
6,Death of Wolverine: The Weapon X Program,2014,2,Issue,2015-01-31,Comicvine,77940,470425,Death of Wolverine: The Weapon X Program,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-weapon-x-program-2-hypothes/4000-470425/,29 days 00:00:00
7,Death of Wolverine: The Weapon X Program,2014,3,Issue,2015-03-01,Comicvine,77940,471963,Death of Wolverine: The Weapon X Program,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-weapon-x-program-3-experime/4000-471963/,28 days 00:00:00
8,Death of Wolverine: The Weapon X Program,2014,4,Issue,2015-02-01,Comicvine,77940,473645,Death of Wolverine: The Weapon X Program,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-weapon-x-program-4-analysis/4000-473645/,58 days 00:00:00
9,Death of Wolverine: The Weapon X Program,2014,5,Issue,2015-03-31,Comicvine,77940,475454,Death of Wolverine: The Weapon X Program,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-weapon-x-program-5-conclusi/4000-475454/,90 days 00:00:00
10,Storm,2014,4,Issue,2014-12-31,Comicvine,75874,468088,Storm,2014, ,https://comicvine.gamespot.com/storm-4/4000-468088/,31 days 00:00:00
11,Storm,2014,5,Issue,2015-01-31,Comicvine,75874,470435,Storm,2014, ,https://comicvine.gamespot.com/storm-5/4000-470435/,31 days 00:00:00
12,Nightcrawler,2014,7,Issue,2014-12-31,Comicvine,72934,467653,Nightcrawler,2014, ,https://comicvine.gamespot.com/nightcrawler-7/4000-467653/,0 days 00:00:00
13,Wolverine and the X-Men,2014,10,Issue,2014-12-31,Comicvine,72113,468092,Wolverine & the X-Men,2014, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-10/4000-468092/,0 days 00:00:00
14,Wolverine and the X-Men,2014,11,Issue,2014-12-31,Comicvine,72113,468916,Wolverine & the X-Men,2014, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-11/4000-468916/,31 days 00:00:00
15,Death of Wolverine: Life After Logan,2015,1,Issue,2015-01-31,Comicvine,77939,469491,Death of Wolverine: Life After Logan,2014, ,https://comicvine.gamespot.com/issue/4000-469491/,31 days 00:00:00
16,Death of Wolverine: Deadpool & Captain America,2014,1,Issue,2014-12-31,Comicvine,77807,468903,Death of Wolverine: Deadpool & Captain America,2014, ,https://comicvine.gamespot.com/death-of-wolverine-deadpool-captain-america-1/4000-468903/,0 days 00:00:00
17,Death of Wolverine: The Logan Legacy,2014,1,Issue,2014-12-31,Comicvine,77576,468076,Death of Wolverine: The Logan Legacy,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-logan-legacy-1-four-words/4000-468076/,0 days 00:00:00
18,Death of Wolverine: The Logan Legacy,2014,2,Issue,2014-12-31,Comicvine,77576,468462,Death of Wolverine: The Logan Legacy,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-logan-legacy-2/4000-468462/,0 days 00:00:00
19,Death of Wolverine: The Logan Legacy,2014,3,Issue,2014-12-31,Comicvine,77576,468904,Death of Wolverine: The Logan Legacy,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-logan-legacy-3/4000-468904/,31 days 00:00:00
20,Death of Wolverine: The Logan Legacy,2014,4,Issue,2015-01-31,Comicvine,77576,469831,Death of Wolverine: The Logan Legacy,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-logan-legacy-4/4000-469831/,28 days 00:00:00
21,Death of Wolverine: The Logan Legacy,2014,5,Issue,2015-02-28,Comicvine,77576,471315,Death of Wolverine: The Logan Legacy,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-logan-legacy-5/4000-471315/,27 days 00:00:00
22,Death of Wolverine: The Logan Legacy,2014,6,Issue,2015-02-01,Comicvine,77576,472905,Death of Wolverine: The Logan Legacy,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-logan-legacy-6/4000-472905/,0 days 00:00:00
23,Death of Wolverine: The Logan Legacy,2014,7,Issue,2015-02-01,Comicvine,77576,474627,Death of Wolverine: The Logan Legacy,2014, ,https://comicvine.gamespot.com/death-of-wolverine-the-logan-legacy-7/4000-474627/,0 days 00:00:00
