,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Decimation: House of M: The Day After,2006,1,Issue,2006-01-01,Comicvine,18132,106215,Decimation: House of M - The Day After,2006, ,https://comicvine.gamespot.com/decimation-house-of-m-the-day-after-1/4000-106215/,0 days 00:00:00
2,Mutopia X,2005,5,Issue,2006-01-01,Comicvine,22712,136178,Mutopia X,2005, ,https://comicvine.gamespot.com/mutopia-x-5-decimation/4000-136178/,3 days 00:00:00
3,X-Men: The 198 Files,2006,1,Issue,2006-01-04,Comicvine,18136,106250,X-Men: The 198 Files,2006, ,https://comicvine.gamespot.com/x-men-the-198-files-1/4000-106250/,86 days 00:00:00
4,Sentinel Squad O*N*E,2006,1,Issue,2006-03-31,Comicvine,23276,139879,Sentinel Squad O*N*E,2006, ,https://comicvine.gamespot.com/sentinel-squad-one-1-tin-can-heroes-part-1-machine/4000-139879/,30 days 00:00:00
5,Sentinel Squad O*N*E,2006,2,Issue,2006-04-30,Comicvine,23276,139882,Sentinel Squad O*N*E,2006, ,https://comicvine.gamespot.com/sentinel-squad-one-2-tin-can-heroes-part-2-growing/4000-139882/,31 days 00:00:00
6,Sentinel Squad O*N*E,2006,3,Issue,2006-05-31,Comicvine,23276,139884,Sentinel Squad O*N*E,2006, ,https://comicvine.gamespot.com/sentinel-squad-one-3-tin-can-heroes-part-3-savager/4000-139884/,30 days 00:00:00
7,Sentinel Squad O*N*E,2006,4,Issue,2006-06-30,Comicvine,23276,139887,Sentinel Squad O*N*E,2006, ,https://comicvine.gamespot.com/sentinel-squad-one-4-tin-can-heroes-part-4-a-prehi/4000-139887/,31 days 00:00:00
8,Sentinel Squad O*N*E,2006,5,Issue,2006-07-31,Comicvine,23276,139889,Sentinel Squad O*N*E,2006, ,https://comicvine.gamespot.com/sentinel-squad-one-5-tin-can-heroes-part-5-creep-m/4000-139889/,211 days 00:00:00
9,New Excalibur,2006,1,Issue,2006-01-01,Comicvine,18019,106157,New Excalibur,2006, ,https://comicvine.gamespot.com/new-excalibur-1-here-we-go-again/4000-106157/,31 days 00:00:00
10,New Excalibur,2006,2,Issue,2006-02-01,Comicvine,18019,106158,New Excalibur,2006, ,https://comicvine.gamespot.com/new-excalibur-2-cast-a-giant-shadow/4000-106158/,28 days 00:00:00
11,New Excalibur,2006,3,Issue,2006-03-01,Comicvine,18019,106167,New Excalibur,2006, ,https://comicvine.gamespot.com/new-excalibur-3-shadows-on-the-soul/4000-106167/,59 days 00:00:00
12,X-Men,2004,177,Issue,2006-01-01,Comicvine,10731,106207,X-Men,2004, ,https://comicvine.gamespot.com/x-men-177-house-arrest-part-1-of-3-losing-it/4000-106207/,0 days 00:00:00
13,X-Men,2004,178,Issue,2006-01-01,Comicvine,10731,106208,X-Men,2004, ,https://comicvine.gamespot.com/x-men-178-house-arrest-part-2-of-3-the-transmogrif/4000-106208/,31 days 00:00:00
14,X-Men,2004,179,Issue,2006-02-01,Comicvine,10731,106209,X-Men,2004, ,https://comicvine.gamespot.com/x-men-179-house-arrest-part-3-of-3-togetherness/4000-106209/,31 days 00:00:00
15,New X-Men,2004,20,Issue,2006-01-01,Comicvine,18078,106297,New X-Men,2004, ,https://comicvine.gamespot.com/new-x-men-20-childhoods-end-part-1-of-4/4000-106297/,31 days 00:00:00
16,New X-Men,2004,21,Issue,2006-02-01,Comicvine,18078,105973,New X-Men,2004, ,https://comicvine.gamespot.com/new-x-men-21-childhoods-end-part-2/4000-105973/,28 days 00:00:00
17,New X-Men,2004,22,Issue,2006-03-01,Comicvine,18078,105984,New X-Men,2004, ,https://comicvine.gamespot.com/new-x-men-22-childhoods-end-part-3/4000-105984/,31 days 00:00:00
18,New X-Men,2004,23,Issue,2006-04-01,Comicvine,18078,105955,New X-Men,2004, ,https://comicvine.gamespot.com/new-x-men-23-childhoods-end-part-4/4000-105955/,90 days 00:00:00
19,Generation M,2006,1,Issue,2006-01-01,Comicvine,18145,106303,Generation M,2006, ,https://comicvine.gamespot.com/generation-m-1-generation-m-part-1/4000-106303/,31 days 00:00:00
20,Generation M,2006,2,Issue,2006-02-01,Comicvine,18145,106334,Generation M,2006, ,https://comicvine.gamespot.com/generation-m-2-generation-m-part-2/4000-106334/,28 days 00:00:00
21,Generation M,2006,3,Issue,2006-03-01,Comicvine,18145,106335,Generation M,2006, ,https://comicvine.gamespot.com/generation-m-3-generation-m-part-3/4000-106335/,31 days 00:00:00
22,Generation M,2006,4,Issue,2006-04-01,Comicvine,18145,106336,Generation M,2006, ,https://comicvine.gamespot.com/generation-m-4-generation-m-part-4/4000-106336/,30 days 00:00:00
23,Generation M,2006,5,Issue,2006-05-01,Comicvine,18145,106337,Generation M,2006, ,https://comicvine.gamespot.com/generation-m-5-generation-m-part-5/4000-106337/,62 days 00:00:00
24,Son of M,2006,1,Issue,2006-02-28,Comicvine,18160,106360,Son of M,2006, ,https://comicvine.gamespot.com/son-of-m-1-one-day-in-the-life-of-pietro-maximoff-/4000-106360/,31 days 00:00:00
25,Son of M,2006,2,Issue,2006-03-31,Comicvine,18160,106370,Son of M,2006, ,https://comicvine.gamespot.com/son-of-m-2-gene-pool/4000-106370/,30 days 00:00:00
26,Son of M,2006,3,Issue,2006-04-30,Comicvine,18160,106405,Son of M,2006, ,https://comicvine.gamespot.com/son-of-m-3-the-crooked-path/4000-106405/,31 days 00:00:00
27,Son of M,2006,4,Issue,2006-05-31,Comicvine,18160,106406,Son of M,2006, ,https://comicvine.gamespot.com/son-of-m-4-the-gathering-storm/4000-106406/,30 days 00:00:00
28,Son of M,2006,5,Issue,2006-06-30,Comicvine,18160,106422,Son of M,2006, ,https://comicvine.gamespot.com/son-of-m-5-everything-falls-apart/4000-106422/,31 days 00:00:00
29,Son of M,2006,6,Issue,2006-07-31,Comicvine,18160,106423,Son of M,2006, ,https://comicvine.gamespot.com/son-of-m-6-the-purple-testament/4000-106423/,122 days 00:00:00
30,X-Men: The 198,2006,1,Issue,2006-03-31,Comicvine,18129,106206,X-Men: The 198,2006, ,https://comicvine.gamespot.com/x-men-the-198-1-part-1/4000-106206/,30 days 00:00:00
31,X-Men: The 198,2006,2,Issue,2006-04-30,Comicvine,18129,106241,X-Men: The 198,2006, ,https://comicvine.gamespot.com/x-men-the-198-2-part-2/4000-106241/,31 days 00:00:00
32,X-Men: The 198,2006,3,Issue,2006-05-31,Comicvine,18129,106242,X-Men: The 198,2006, ,https://comicvine.gamespot.com/x-men-the-198-3-part-3/4000-106242/,30 days 00:00:00
33,X-Men: The 198,2006,4,Issue,2006-06-30,Comicvine,18129,106267,X-Men: The 198,2006, ,https://comicvine.gamespot.com/x-men-the-198-4-part-4/4000-106267/,31 days 00:00:00
34,X-Men: The 198,2006,5,Issue,2006-07-31,Comicvine,18129,106268,X-Men: The 198,2006, ,https://comicvine.gamespot.com/x-men-the-198-5-part-5/4000-106268/,181 days 00:00:00
35,X-Men: Deadly Genesis,2006,1,Issue,2006-01-31,Comicvine,18091,120892,X-Men: Deadly Genesis,2006, ,https://comicvine.gamespot.com/x-men-deadly-genesis-1-part-1-petra/4000-120892/,28 days 00:00:00
36,X-Men: Deadly Genesis,2006,2,Issue,2006-02-28,Comicvine,18091,120882,X-Men: Deadly Genesis,2006, ,https://comicvine.gamespot.com/x-men-deadly-genesis-2-part-2-darwin/4000-120882/,31 days 00:00:00
37,X-Men: Deadly Genesis,2006,3,Issue,2006-03-31,Comicvine,18091,120891,X-Men: Deadly Genesis,2006, ,https://comicvine.gamespot.com/x-men-deadly-genesis-3-part-3-sway/4000-120891/,30 days 00:00:00
38,X-Men: Deadly Genesis,2006,4,Issue,2006-04-30,Comicvine,18091,105971,X-Men: Deadly Genesis,2006, ,https://comicvine.gamespot.com/x-men-deadly-genesis-4-part-4-kid-vulcan/4000-105971/,31 days 00:00:00
39,X-Men: Deadly Genesis,2006,5,Issue,2006-05-31,Comicvine,18091,106024,X-Men: Deadly Genesis,2006, ,https://comicvine.gamespot.com/x-men-deadly-genesis-5-part-5-what-emma-doesnt-kno/4000-106024/,61 days 00:00:00
40,X-Men: Deadly Genesis,2006,6,Issue,2006-07-31,Comicvine,18091,106197,X-Men: Deadly Genesis,2006, ,https://comicvine.gamespot.com/x-men-deadly-genesis-6-part-6/4000-106197/,211 days 00:00:00
41,Wolverine,2003,36,Issue,2006-01-01,Comicvine,10809,114519,Wolverine,2003, ,https://comicvine.gamespot.com/wolverine-36-origins-endings-pt-1/4000-114519/,31 days 00:00:00
42,Wolverine,2003,37,Issue,2006-02-01,Comicvine,10809,114390,Wolverine,2003, ,https://comicvine.gamespot.com/wolverine-37-origins-endings-pt-2/4000-114390/,28 days 00:00:00
43,Wolverine,2003,38,Issue,2006-03-01,Comicvine,10809,112980,Wolverine,2003, ,https://comicvine.gamespot.com/wolverine-38-origins-endings-pt-3/4000-112980/,31 days 00:00:00
44,Wolverine,2003,39,Issue,2006-04-01,Comicvine,10809,113029,Wolverine,2003, ,https://comicvine.gamespot.com/wolverine-39-origins-endings-pt-4/4000-113029/,30 days 00:00:00
45,Wolverine,2003,40,Issue,2006-05-01,Comicvine,10809,113030,Wolverine,2003, ,https://comicvine.gamespot.com/wolverine-40-origins-endings-pt-5/4000-113030/,120 days 00:00:00
46,Uncanny X-Men,1981,466,Issue,2006-01-01,Comicvine,3092,106081,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-466-greys-end-part-1-last-night-/4000-106081/,31 days 00:00:00
47,Uncanny X-Men,1981,467,Issue,2006-02-01,Comicvine,3092,106082,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-467-greys-end-part-2-24-seconds/4000-106082/,28 days 00:00:00
48,Uncanny X-Men,1981,468,Issue,2006-03-01,Comicvine,3092,106083,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-468-greys-end-part-3-deathmark/4000-106083/,59 days 00:00:00
49,X-Factor,2006,1,Issue,2006-01-01,Comicvine,18109,106090,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-1-x-factor/4000-106090/,31 days 00:00:00
50,X-Factor,2006,2,Issue,2006-02-01,Comicvine,18109,106091,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-2-star-power/4000-106091/,28 days 00:00:00
51,X-Factor,2006,3,Issue,2006-03-01,Comicvine,18109,106092,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-3-the-big-bang/4000-106092/,31 days 00:00:00
52,X-Factor,2006,4,Issue,2006-04-01,Comicvine,18109,106093,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-4-lines-in-the-sand/4000-106093/,29 days 00:00:00
53,X-Men Unlimited,2004,13,Issue,2006-04-30,Comicvine,10745,113641,X-Men Unlimited,2004, ,https://comicvine.gamespot.com/x-men-unlimited-13-blind-love-a-wonderful-life/4000-113641/,0 days 00:00:00
