,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Empyre: Avengers,2020,0,Issue,2020-08-01,Comicvine,128103,769751,Empyre: Avengers,2020, ,https://comicvine.gamespot.com/empyre-avengers-0/4000-769751/,31 days 00:00:00
2,Empyre: Fantastic Four,2020,0,Issue,2020-09-01,Comicvine,128447,775009,Empyre: Fantastic Four,2020, ,https://comicvine.gamespot.com/empyre-fantastic-four-0/4000-775009/,0 days 00:00:00
3,Lords of Empyre: Emperor Hulkling,2020,1,Issue,2020-09-01,Comicvine,128881,781435,Lords of Empyre: Emperor Hulkling,2020, ,https://comicvine.gamespot.com/lords-of-empyre-emperor-hulkling-1-profane-the-pre/4000-781435/,0 days 00:00:00
4,Empyre,2020,1,Issue,2020-09-01,Comicvine,128616,779005,Empyre,2020, ,https://comicvine.gamespot.com/empyre-1/4000-779005/,0 days 00:00:00
5,Empyre,2020,2,Issue,2020-09-01,Comicvine,128616,781431,Empyre,2020, ,https://comicvine.gamespot.com/empyre-2/4000-781431/,0 days 00:00:00
6,Fantastic Four,2018,21,Issue,2020-09-01,Comicvine,112685,779006,Fantastic Four,2018, ,https://comicvine.gamespot.com/fantastic-four-21-living-history/4000-779006/,30 days 00:00:00
7,Fantastic Four,2018,22,Issue,2020-10-01,Comicvine,112685,787351,Fantastic Four,2018, ,https://comicvine.gamespot.com/fantastic-four-22-you-had-one-job/4000-787351/,0 days 00:00:00
8,Lords of Empyre: Swordsman,2020,1,Issue,2020-10-01,Comicvine,129649,794937,Lords of Empyre: Swordsman,2020, ,https://comicvine.gamespot.com/lords-of-empyre-swordsman-1/4000-794937/,0 days 00:00:00
9,Lords of Empyre: Celestial Messiah,2020,1,Issue,2020-10-01,Comicvine,129246,787354,Lords of Empyre: Celestial Messiah,2020, ,https://comicvine.gamespot.com/lords-of-empyre-celestial-messiah-1/4000-787354/,30 days 00:00:00
10,Captain Marvel,2019,18,Issue,2020-09-01,Comicvine,116365,784407,Captain Marvel,2019, ,https://comicvine.gamespot.com/captain-marvel-18-accused-part-one/4000-784407/,30 days 00:00:00
11,Captain Marvel,2019,19,Issue,2020-10-01,Comicvine,116365,791921,Captain Marvel,2019, ,https://comicvine.gamespot.com/captain-marvel-19-accused-part-two/4000-791921/,0 days 00:00:00
12,Captain Marvel,2019,20,Issue,2020-10-01,Comicvine,116365,794933,Captain Marvel,2019, ,https://comicvine.gamespot.com/captain-marvel-20-accused-part-three/4000-794933/,30 days 00:00:00
13,Empyre,2020,3,Issue,2020-09-01,Comicvine,128616,784408,Empyre,2020, ,https://comicvine.gamespot.com/empyre-3/4000-784408/,0 days 00:00:00
14,X-Men,2019,10,Issue,2020-09-01,Comicvine,122077,784126,X-Men,2019, ,https://comicvine.gamespot.com/x-men-10-fire/4000-784126/,0 days 00:00:00
15,Empyre: Savage Avengers,2020,1,Issue,2020-09-01,Comicvine,129095,784410,Empyre: Savage Avengers,2020, ,https://comicvine.gamespot.com/empyre-savage-avengers-1/4000-784410/,0 days 00:00:00
16,Empyre: Avengers,2020,1,Issue,2020-09-01,Comicvine,128103,781432,Empyre: Avengers,2020, ,https://comicvine.gamespot.com/empyre-avengers-1-part-1-seeds-of-conflict/4000-781432/,0 days 00:00:00
17,Empyre: Captain America,2020,1,Issue,2020-09-01,Comicvine,129094,784409,Empyre: Captain America,2020, ,https://comicvine.gamespot.com/empyre-captain-america-1/4000-784409/,0 days 00:00:00
18,Empyre: X-Men,2020,1,Issue,2020-09-01,Comicvine,128880,781433,Empyre: X-Men,2020, ,https://comicvine.gamespot.com/empyre-x-men-1-alien-plants-vs-mutant-zombies-alie/4000-781433/,30 days 00:00:00
19,Empyre: X-Men,2020,2,Issue,2020-10-01,Comicvine,128880,787350,Empyre: X-Men,2020, ,https://comicvine.gamespot.com/empyre-x-men-2-growing-strong/4000-787350/,0 days 00:00:00
20,Empyre: X-Men,2020,3,Issue,2020-10-01,Comicvine,128880,791925,Empyre: X-Men,2020, ,https://comicvine.gamespot.com/empyre-x-men-3-staff-infection/4000-791925/,0 days 00:00:00
21,Empyre: X-Men,2020,4,Issue,2020-10-01,Comicvine,128880,794935,Empyre: X-Men,2020, ,https://comicvine.gamespot.com/empyre-x-men-4-unring/4000-794935/,0 days 00:00:00
22,Empyre: Captain America,2020,2,Issue,2020-10-01,Comicvine,129094,791924,Empyre: Captain America,2020, ,https://comicvine.gamespot.com/empyre-captain-america-2/4000-791924/,0 days 00:00:00
23,Empyre,2020,4,Issue,2020-10-01,Comicvine,128616,787348,Empyre,2020, ,https://comicvine.gamespot.com/empyre-4/4000-787348/,0 days 00:00:00
24,Empyre,2020,5,Issue,2020-10-01,Comicvine,128616,791922,Empyre,2020, ,https://comicvine.gamespot.com/empyre-5/4000-791922/,0 days 00:00:00
25,Empyre: Captain America,2020,3,Issue,2020-10-01,Comicvine,129094,796296,Empyre: Captain America,2020, ,https://comicvine.gamespot.com/empyre-captain-america-3/4000-796296/,0 days 00:00:00
26,Empyre: Avengers,2020,2,Issue,2020-10-01,Comicvine,128103,791923,Empyre: Avengers,2020, ,https://comicvine.gamespot.com/empyre-avengers-2-untitled/4000-791923/,0 days 00:00:00
27,Empyre: Avengers,2020,3,Issue,2020-10-01,Comicvine,128103,796295,Empyre: Avengers,2020, ,https://comicvine.gamespot.com/empyre-avengers-3-untitled/4000-796295/,31 days 00:00:00
28,Empyre,2020,6,Issue,2020-11-01,Comicvine,128616,797241,Empyre,2020, ,https://comicvine.gamespot.com/empyre-6/4000-797241/,0 days 00:00:00
29,Fantastic Four,2018,23,Issue,2020-11-01,Comicvine,112685,797242,Fantastic Four,2018, ,https://comicvine.gamespot.com/fantastic-four-23-war-games/4000-797242/,31 days 00:00:00
30,X-Men,2019,11,Issue,2020-10-01,Comicvine,122077,796303,X-Men,2019, ,https://comicvine.gamespot.com/x-men-11-one-war-one-mutant/4000-796303/,31 days 00:00:00
31,Captain Marvel,2019,21,Issue,2020-11-01,Comicvine,116365,797979,Captain Marvel,2019, ,https://comicvine.gamespot.com/captain-marvel-21-accused-part-four/4000-797979/,0 days 00:00:00
32,Guardians of the Galaxy,2020,6,Issue,2020-11-01,Comicvine,124447,797243,Guardians of the Galaxy,2020, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-6-same-time-next-week/4000-797243/,30 days 00:00:00
33,Guardians of the Galaxy,2020,7,Issue,2020-12-01,Comicvine,124447,813282,Guardians of the Galaxy,2020, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-7-lets-talk-politics-untit/4000-813282/,31 days 00:00:00
34,Guardians of the Galaxy,2020,8,Issue,2021-01-01,Comicvine,124447,816467,Guardians of the Galaxy,2020, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-8-business-as-usual/4000-816467/,61 days 00:00:00
35,Empyre Aftermath: Avengers,2020,1,Issue,2020-11-01,Comicvine,130186,797980,Empyre: Aftermath Avengers,2020, ,https://comicvine.gamespot.com/empyre-aftermath-avengers-1/4000-797980/,0 days 00:00:00
36,Empyre Fallout: Fantastic Four,2020,1,Issue,2020-11-01,Comicvine,130187,797981,Empyre: Fallout Fantastic Four,2020, ,https://comicvine.gamespot.com/empyre-fallout-fantastic-four-1/4000-797981/,0 days 00:00:00
37,Immortal She-Hulk,2020,1,Issue,2020-11-01,Comicvine,130567,803644,Immortal She-Hulk,2020, ,https://comicvine.gamespot.com/immortal-she-hulk-1-the-three-deaths-of-jennifer-w/4000-803644/,61 days 00:00:00
38,Web of Venom: Empyre’s End,2020,1,Issue,2021-01-01,Comicvine,131733,816471,Web of Venom: Empyre's End,2020, ,https://comicvine.gamespot.com/web-of-venom-empyres-end-1/4000-816471/,0 days 00:00:00
