,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X-Men: The Search for Cyclops,2000,1,Issue,2000-10-01,Comicvine,7198,51339,X-Men: The Search For Cyclops,2000, ,https://comicvine.gamespot.com/x-men-search-for-cyclops-1-lost/4000-51339/,61 days 00:00:00
2,Uncanny X-Men,1981,388,Issue,2000-12-01,Comicvine,3092,65166,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-388-dreams-end-part-1-the-past-i/4000-65166/,61 days 00:00:00
3,Cable,1991,87,Issue,2001-01-31,Comicvine,4993,65665,Cable,1993, ,https://comicvine.gamespot.com/issue/4000-65665/,0 days 00:00:00
4,Bishop the Last X-Man,1999,16,Issue,2001-01-31,Comicvine,6352,65825,Bishop: The Last X-Man,1999, ,https://comicvine.gamespot.com/bishop-the-last-x-man-16-dreams-end-part-3/4000-65825/,0 days 00:00:00
5,X-Men,1991,108,Issue,2001-01-31,Comicvine,4605,65807,X-Men,1991, ,https://comicvine.gamespot.com/x-men-108-dreams-end-part-4-the-future-is-now/4000-65807/,30 days 00:00:00
6,Uncanny X-Men,1981,389,Issue,2001-01-01,Comicvine,3092,65168,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-389-the-good-shepherd/4000-65168/,58 days 00:00:00
7,Cable,1991,88,Issue,2001-02-28,Comicvine,4993,65666,Cable,1993, ,https://comicvine.gamespot.com/issue/4000-65666/,0 days 00:00:00
8,X-Men,1991,109,Issue,2001-02-28,Comicvine,4605,65808,X-Men,1991, ,https://comicvine.gamespot.com/x-men-109-ceremonies/4000-65808/,27 days 00:00:00
9,Uncanny X-Men,1981,390,Issue,2001-02-01,Comicvine,3092,65170,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-390-the-legacy-virus-cured-but-a/4000-65170/,58 days 00:00:00
10,X-Men,1991,110,Issue,2001-03-31,Comicvine,4605,65809,X-Men,1991, ,https://comicvine.gamespot.com/x-men-110-one-tin-soldier-rides-away/4000-65809/,89 days 00:00:00
11,X-Men: The Search for Cyclops,2000,2,Issue,2001-01-01,Comicvine,7198,51340,X-Men: The Search For Cyclops,2000, ,https://comicvine.gamespot.com/x-men-search-for-cyclops-2-hunted/4000-51340/,31 days 00:00:00
12,X-Men: The Search for Cyclops,2000,3,Issue,2001-02-01,Comicvine,7198,51341,X-Men: The Search For Cyclops,2000, ,https://comicvine.gamespot.com/x-men-search-for-cyclops-3-am-i-evil/4000-51341/,28 days 00:00:00
13,X-Men: The Search for Cyclops,2000,4,Issue,2001-03-01,Comicvine,7198,51342,X-Men: The Search For Cyclops,2000, ,https://comicvine.gamespot.com/x-men-search-for-cyclops-4-found/4000-51342/,0 days 00:00:00
14,Uncanny X-Men,1981,391,Issue,2001-03-01,Comicvine,3092,65172,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-391-dad/4000-65172/,60 days 00:00:00
15,X-Men,1991,111,Issue,2001-04-30,Comicvine,4605,65810,X-Men,1991, ,https://comicvine.gamespot.com/x-men-111-prelude-to-destruction/4000-65810/,29 days 00:00:00
16,Uncanny X-Men,1981,392,Issue,2001-04-01,Comicvine,3092,65175,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-392-eve-of-destruction-part-1/4000-65175/,60 days 00:00:00
17,X-Men,1991,112,Issue,2001-05-31,Comicvine,4605,65811,X-Men,1991, ,https://comicvine.gamespot.com/x-men-112-eve-of-destruction-part-2-a-call-to-arms/4000-65811/,30 days 00:00:00
18,Uncanny X-Men,1981,393,Issue,2001-05-01,Comicvine,3092,105595,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-393-eve-of-destruction-part-3-li/4000-105595/,60 days 00:00:00
19,X-Men,1991,113,Issue,2001-06-30,Comicvine,4605,65812,X-Men,1991, ,https://comicvine.gamespot.com/x-men-113-eve-of-destruction-part-4-conclusion/4000-65812/,0 days 00:00:00
