,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X-Factor Annual,1986,3,Issue,1988-08-31,Comicvine,3658,66335,X-Factor Annual,1986, ,https://comicvine.gamespot.com/x-factor-annual-3-unnatural-selection/4000-66335/,30 days 00:00:00
2,Punisher Annual,1988,1,Issue,1988-08-01,Comicvine,4064,29947,The Punisher Annual,1988, ,https://comicvine.gamespot.com/the-punisher-annual-1-evolutionary-jihad/4000-29947/,1 days 00:00:00
3,Silver Surfer Annual,1988,1,Issue,1988-07-31,Comicvine,4069,29009,Silver Surfer Annual,1988, ,https://comicvine.gamespot.com/silver-surfer-annual-1-adam/4000-29009/,61 days 00:00:00
4,New Mutants Annual,1984,4,Issue,1988-09-30,Comicvine,3356,29033,The New Mutants Annual,1984, ,https://comicvine.gamespot.com/the-new-mutants-annual-4-mind-games/4000-29033/,0 days 00:00:00
5,Amazing Spider-Man Annual,1987,22,Issue,1988-09-30,Comicvine,2189,64428,The Amazing Spider-Man Annual,1964, ,https://comicvine.gamespot.com/issue/4000-64428/,31 days 00:00:00
6,Fantastic Four Annual,1963,21,Issue,1988-10-31,Comicvine,2129,29064,Fantastic Four Annual,1963, ,https://comicvine.gamespot.com/fantastic-four-annual-21-crystal-blue-persuasion/4000-29064/,0 days 00:00:00
7,X-Men Annual,1970,12,Issue,1988-10-31,Comicvine,22988,108152,X-Men Annual,1970, ,https://comicvine.gamespot.com/x-men-annual-12-ressurrection/4000-108152/,0 days 00:00:00
8,Web of Spider-Man Annual,1985,4,Issue,1988-10-31,Comicvine,3520,77994,Web of Spider-Man Annual,1985, ,https://comicvine.gamespot.com/web-of-spider-man-annual-4-sweet-poison/4000-77994/,61 days 00:00:00
9,West Coast Avengers Annual,1986,3,Issue,1988-12-31,Comicvine,3656,30197,West Coast Avengers Annual,1986, ,https://comicvine.gamespot.com/west-coast-avengers-annual-3-heads-you-lose-tails-/4000-30197/,31 days 00:00:00
10,Spectacular Spider-Man Annual,1979,8,Issue,1988-11-30,Comicvine,3012,29040,The Spectacular Spider-Man Annual,1979, ,https://comicvine.gamespot.com/the-spectacular-spider-man-annual-8-return-to-send/4000-29040/,0 days 00:00:00
11,Avengers Annual,1967,17,Issue,1988-11-30,Comicvine,2350,29060,The Avengers Annual,1967, ,https://comicvine.gamespot.com/the-avengers-annual-17-prometheus-mutans/4000-29060/,0 days 00:00:00
