,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Fall of The Hulks: Alpha,2009,1,Issue,2010-02-01,Comicvine,30188,186112,Fall of the Hulks: Alpha,2010, ,https://comicvine.gamespot.com/issue/4000-186112/,0 days 00:00:00
2,Fall of The Hulks: Gamma,2009,1,Issue,2010-02-01,Comicvine,30681,189503,Fall of the Hulks: Gamma,2010, ,https://comicvine.gamespot.com/issue/4000-189503/,48 days 00:00:00
3,Incredible Hulk,2009,606,Issue,2010-03-21,Comicvine,24715,193351,Incredible Hulk,2009, ,https://comicvine.gamespot.com/the-incredible-hulk-606-fathers-day/4000-193351/,10 days 00:00:00
4,Fall of The Hulks: Red Hulk,2010,1,Issue,2010-03-31,Comicvine,31254,194439,Fall of the Hulks: Red Hulk,2010, ,https://comicvine.gamespot.com/fall-of-the-hulks-red-hulk-1-the-power-cosmic/4000-194439/,30 days 00:00:00
5,Fall of The Hulks: Red Hulk,2010,2,Issue,2010-04-30,Comicvine,31254,198372,Fall of the Hulks: Red Hulk,2010, ,https://comicvine.gamespot.com/fall-of-the-hulks-red-hulk-2-the-deal/4000-198372/,31 days 00:00:00
6,Fall of The Hulks: Red Hulk,2010,3,Issue,2010-05-31,Comicvine,31254,201886,Fall of the Hulks: Red Hulk,2010, ,https://comicvine.gamespot.com/fall-of-the-hulks-red-hulk-3-how-i-learned-to-stop/4000-201886/,71 days 00:00:00
7,Hulk,2008,19,Issue,2010-03-21,Comicvine,20291,193347,Hulk,2008, ,https://comicvine.gamespot.com/hulk-19-conspiracy-theory/4000-193347/,71 days 00:00:00
8,Fall of The Hulks: The Savage She-Hulks,2010,1,Issue,2010-05-31,Comicvine,31734,198873,Fall of the Hulks: The Savage She-Hulks,2010, ,https://comicvine.gamespot.com/fall-of-the-hulks-the-savage-she-hulks-1-the-savag/4000-198873/,30 days 00:00:00
9,Fall of The Hulks: Red Hulk,2010,4,Issue,2010-06-30,Comicvine,31254,210698,Fall of the Hulks: Red Hulk,2010, ,https://comicvine.gamespot.com/fall-of-the-hulks-red-hulk-4-best-case-scenario/4000-210698/,70 days 00:00:00
10,Hulk,2008,20,Issue,2010-04-21,Comicvine,20291,197524,Hulk,2008, ,https://comicvine.gamespot.com/hulk-20-man-nor-beast-hulk-camping/4000-197524/,0 days 00:00:00
11,Incredible Hulk,2009,607,Issue,2010-04-21,Comicvine,24715,197521,Incredible Hulk,2009, ,https://comicvine.gamespot.com/the-incredible-hulk-607-man-with-a-plan/4000-197521/,70 days 00:00:00
12,Fall of The Hulks: The Savage She-Hulks,2010,2,Issue,2010-06-30,Comicvine,31734,208680,Fall of the Hulks: The Savage She-Hulks,2010, ,https://comicvine.gamespot.com/fall-of-the-hulks-the-savage-she-hulks-2-the-savag/4000-208680/,40 days 00:00:00
13,Hulk,2008,21,Issue,2010-05-21,Comicvine,20291,201037,Hulk,2008, ,https://comicvine.gamespot.com/hulk-21-the-best-laid-plans/4000-201037/,0 days 00:00:00
14,Incredible Hulk,2009,608,Issue,2010-05-21,Comicvine,24715,201038,Incredible Hulk,2009, ,https://comicvine.gamespot.com/the-incredible-hulk-608-endgame-big-red-and-deadly/4000-201038/,71 days 00:00:00
15,Fall of The Hulks: The Savage She-Hulks,2010,3,Issue,2010-07-31,Comicvine,31734,216204,Fall of the Hulks: The Savage She-Hulks,2010, ,https://comicvine.gamespot.com/fall-of-the-hulks-the-savage-she-hulks-3-the-savag/4000-216204/,0 days 00:00:00
