,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X-Factor,1986,18,Issue,1987-07-01,Comicvine,3657,28354,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-18-the-enemy-within/4000-28354/,31 days 00:00:00
2,X-Factor,1986,19,Issue,1987-08-01,Comicvine,3657,28473,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-19-all-together-now/4000-28473/,31 days 00:00:00
3,X-Factor,1986,20,Issue,1987-09-01,Comicvine,3657,28582,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-20-childrens-crusade/4000-28582/,60 days 00:00:00
4,Incredible Hulk,1968,336,Issue,1987-10-31,Comicvine,2406,28688,The Incredible Hulk,1968, ,https://comicvine.gamespot.com/the-incredible-hulk-336-x-tremes/4000-28688/,1 days 00:00:00
5,Incredible Hulk,1968,337,Issue,1987-11-01,Comicvine,2406,28802,The Incredible Hulk,1968, ,https://comicvine.gamespot.com/the-incredible-hulk-337-crossroads/4000-28802/,31 days 00:00:00
6,X-Factor,1986,21,Issue,1987-10-01,Comicvine,3657,28703,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-21-for-every-action/4000-28703/,31 days 00:00:00
7,X-Factor,1986,22,Issue,1987-11-01,Comicvine,3657,28821,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-22-if-i-should-die/4000-28821/,30 days 00:00:00
8,X-Factor,1986,23,Issue,1987-12-01,Comicvine,3657,28938,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-23-you-say-you-want-some-evolution/4000-28938/,31 days 00:00:00
9,X-Factor,1986,24,Issue,1988-01-01,Comicvine,3657,29161,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-24-masks/4000-29161/,31 days 00:00:00
10,X-Factor,1986,25,Issue,1988-02-01,Comicvine,3657,29276,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-25-judgment-day/4000-29276/,0 days 00:00:00
11,Power Pack,1984,35,Issue,1988-02-01,Comicvine,3358,29264,Power Pack,1984, ,https://comicvine.gamespot.com/power-pack-35-life-or-death/4000-29264/,29 days 00:00:00
12,Daredevil,1964,252,Issue,1988-03-01,Comicvine,2190,29370,Daredevil,1964, ,https://comicvine.gamespot.com/daredevil-252-ground-zero/4000-29370/,0 days 00:00:00
13,Captain America,1968,339,Issue,1988-03-01,Comicvine,2400,29368,Captain America,1968, ,https://comicvine.gamespot.com/captain-america-339-america-the-scorched/4000-29368/,0 days 00:00:00
14,X-Factor,1986,26,Issue,1988-03-01,Comicvine,3657,29387,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-26-casualities/4000-29387/,30 days 00:00:00
15,Fantastic Four,1961,312,Issue,1988-03-31,Comicvine,2045,29371,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-312-the-turning-point/4000-29371/,243 days 00:00:00
16,Uncanny X-Men,1981,220,Issue,1987-08-01,Comicvine,3092,28470,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-220-unfinished-business/4000-28470/,31 days 00:00:00
17,Uncanny X-Men,1981,221,Issue,1987-09-01,Comicvine,3092,28577,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-221-death-by-drowning/4000-28577/,30 days 00:00:00
18,Uncanny X-Men,1981,222,Issue,1987-10-01,Comicvine,3092,28700,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-222-heartbreak/4000-28700/,31 days 00:00:00
19,Uncanny X-Men,1981,223,Issue,1987-11-01,Comicvine,3092,28817,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-223-omens-portents/4000-28817/,30 days 00:00:00
20,Uncanny X-Men,1981,224,Issue,1987-12-01,Comicvine,3092,28935,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-224-the-dark-before-the-dawn/4000-28935/,90 days 00:00:00
21,Incredible Hulk,1968,340,Issue,1988-02-29,Comicvine,2406,29262,The Incredible Hulk,1968, ,https://comicvine.gamespot.com/the-incredible-hulk-340-vicious-circle/4000-29262/,59 days 00:00:00
22,Uncanny X-Men,1981,225,Issue,1988-01-01,Comicvine,3092,29158,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-225-false-dawn/4000-29158/,31 days 00:00:00
23,Uncanny X-Men,1981,226,Issue,1988-02-01,Comicvine,3092,29273,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-226-go-tell-the-spartans/4000-29273/,29 days 00:00:00
24,Uncanny X-Men,1981,227,Issue,1988-03-01,Comicvine,3092,29383,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-227-the-belly-of-the-beast/4000-29383/,182 days 00:00:00
25,New Mutants,1983,55,Issue,1987-09-01,Comicvine,3234,28603,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-55-flying-wild/4000-28603/,30 days 00:00:00
26,New Mutants,1983,56,Issue,1987-10-01,Comicvine,3234,28724,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-56-scavenger-hunt/4000-28724/,31 days 00:00:00
27,New Mutants,1983,57,Issue,1987-11-01,Comicvine,3234,28842,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-57-birds-of-a-feather/4000-28842/,30 days 00:00:00
28,New Mutants,1983,58,Issue,1987-12-01,Comicvine,3234,28954,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-58-a-bird-in-the-hand/4000-28954/,31 days 00:00:00
29,New Mutants,1983,59,Issue,1988-01-01,Comicvine,3234,29179,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-59-fang-and-claw/4000-29179/,31 days 00:00:00
30,New Mutants,1983,60,Issue,1988-02-01,Comicvine,3234,29296,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-60-suspended-ani-mation/4000-29296/,29 days 00:00:00
31,New Mutants,1983,61,Issue,1988-03-01,Comicvine,3234,29405,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-61-our-way/4000-29405/,0 days 00:00:00
