,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Mighty Thor,2011,7,Issue,2011-12-01,Comicvine,39763,299752,The Mighty Thor,2011, ,https://comicvine.gamespot.com/the-mighty-thor-7-fear-itself-in-the-beginning/4000-299752/,214 days 00:00:00
2,Fear Itself: The Book Of The Skull,2011,1,Issue,2011-05-01,Comicvine,39363,265959,Fear Itself: Book of the Skull,2011, ,https://comicvine.gamespot.com/fear-itself-book-of-the-skull-1-book-of-the-skull/4000-265959/,60 days 00:00:00
3,Fear Itself: Sin’s Past,2011,1,Issue,2011-06-30,Comicvine,39847,268763,Fear Itself: Sin's Past,2011, ,https://comicvine.gamespot.com/fear-itself-sins-past-1/4000-268763/,29 days 00:00:00
4,Fear Itself,2011,1,Issue,2011-06-01,Comicvine,39611,267534,Fear Itself,2011, ,https://comicvine.gamespot.com/fear-itself-1-the-serpent/4000-267534/,0 days 00:00:00
5,Journey into Mystery,2011,622,Issue,2011-06-01,Comicvine,39761,268355,Journey into Mystery,2011, ,https://comicvine.gamespot.com/journey-into-mystery-622-journey-into-mystery/4000-268355/,122 days 00:00:00
6,Journey into Mystery,2011,626.1,Issue,2011-10-01,Comicvine,39761,290886,Journey into Mystery,2011, ,https://comicvine.gamespot.com/journey-into-mystery-626-1-a-penny-dreadful-for-yo/4000-290886/,122 days 00:00:00
7,Fear Itself: The Home Front,2011,1,Issue,2011-06-01,Comicvine,39618,267543,Fear Itself: The Home Front,2011, ,https://comicvine.gamespot.com/fear-itself-the-home-front-1-lurker-part-1-of-7-th/4000-267543/,30 days 00:00:00
8,Fear Itself,2011,2,Issue,2011-07-01,Comicvine,39611,269476,Fear Itself,2011, ,https://comicvine.gamespot.com/fear-itself-2-the-worthy/4000-269476/,61 days 00:00:00
9,Fear Itself: The Worthy,2011,1,Issue,2011-05-01,Comicvine,40127,270044,Fear Itself: The Worthy,2011, ,https://comicvine.gamespot.com/fear-itself-the-worthy-1-the-worthy-sin/4000-270044/,61 days 00:00:00
10,Journey into Mystery,2011,623,Issue,2011-07-01,Comicvine,39761,269948,Journey into Mystery,2011, ,https://comicvine.gamespot.com/journey-into-mystery-623-too-much-light-makes-the-/4000-269948/,0 days 00:00:00
