,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Superior Spider-Man,2013,26,Issue,2014-03-31,Comicvine,55552,443987,Superior Spider-Man,2013, ,https://comicvine.gamespot.com/superior-spider-man-26-the-goblin-war/4000-443987/,30 days 00:00:00
2,Superior Spider-Man Team-Up,2013,9,Issue,2014-03-01,Comicvine,65629,442928,Superior Spider-Man Team-Up,2013, ,https://comicvine.gamespot.com/superior-spider-man-team-up-9-gang-war/4000-442928/,31 days 00:00:00
3,Superior Spider-Man Team-Up,2013,10,Issue,2014-04-01,Comicvine,65629,445822,Superior Spider-Man Team-Up,2013, ,https://comicvine.gamespot.com/superior-spider-man-team-up-10-betrayed/4000-445822/,29 days 00:00:00
4,Superior Spider-Man,2013,27,Issue,2014-04-30,Comicvine,55552,445184,Superior Spider-Man,2013, ,https://comicvine.gamespot.com/superior-spider-man-27-now-goblin-nation-part-one/4000-445184/,0 days 00:00:00
5,Superior Spider-Man,2013,28,Issue,2014-04-30,Comicvine,55552,446490,Superior Spider-Man,2013, ,https://comicvine.gamespot.com/superior-spider-man-28-goblin-nation-part-2/4000-446490/,31 days 00:00:00
6,Superior Spider-Man,2013,29,Issue,2014-05-31,Comicvine,55552,447516,Superior Spider-Man,2013, ,https://comicvine.gamespot.com/superior-spider-man-29-goblin-nation-part-3-of-5/4000-447516/,30 days 00:00:00
7,Superior Spider-Man Annual,2014,2,Issue,2014-05-01,Comicvine,69348,448003,Superior Spider-Man Annual,2013, ,https://comicvine.gamespot.com/issue/4000-448003/,0 days 00:00:00
8,Superior Spider-Man Team-Up,2013,11,Issue,2014-05-01,Comicvine,65629,448979,Superior Spider-Man Team-Up,2013, ,https://comicvine.gamespot.com/superior-spider-man-team-up-11/4000-448979/,30 days 00:00:00
9,Superior Spider-Man,2013,30,Issue,2014-05-31,Comicvine,55552,448978,Superior Spider-Man,2013, ,https://comicvine.gamespot.com/superior-spider-man-30-goblin-nation-part-4-of-5/4000-448978/,30 days 00:00:00
10,Superior Spider-Man,2013,31,Issue,2014-06-30,Comicvine,55552,450554,Superior Spider-Man,2013, ,https://comicvine.gamespot.com/superior-spider-man-31-goblin-nation-conclusion/4000-450554/,0 days 00:00:00
11,Superior Spider-Man Team-Up,2013,12,Issue,2014-06-30,Comicvine,65629,451091,Superior Spider-Man Team-Up,2013, ,https://comicvine.gamespot.com/superior-spider-man-team-up-12/4000-451091/,0 days 00:00:00
