,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Marauders,2019,21,Issue,2021-08-01,Comicvine,122218,857597,Marauders,2019, ,https://comicvine.gamespot.com/marauders-21-you-are-cordially-invited-to-the-hell/4000-857597/,0 days 00:00:00
2,X-Force,2020,20,Issue,2021-08-01,Comicvine,122668,857598,X-Force,2019, ,https://comicvine.gamespot.com/issue/4000-857598/,0 days 00:00:00
3,Hellions,2020,12,Issue,2021-08-01,Comicvine,126015,857596,Hellions,2020, ,https://comicvine.gamespot.com/hellions-12-gatecrashing/4000-857596/,0 days 00:00:00
4,Excalibur,2019,21,Issue,2021-08-01,Comicvine,122488,858872,Excalibur,2019, ,https://comicvine.gamespot.com/excalibur-21-dont-feel-like-dancin/4000-858872/,0 days 00:00:00
5,X-Men,2019,21,Issue,2021-08-01,Comicvine,122077,858873,X-Men,2019, ,https://comicvine.gamespot.com/x-men-21-the-beginning/4000-858873/,0 days 00:00:00
6,Planet-Size X-Men,2021,1,Issue,2021-08-01,Comicvine,136937,861642,Planet-Size X-Men,2021, ,https://comicvine.gamespot.com/planet-size-x-men-1-fireworks/4000-861642/,0 days 00:00:00
7,New Mutants,2020,19,Issue,2021-08-01,Comicvine,122666,861639,New Mutants,2019, ,https://comicvine.gamespot.com/issue/4000-861639/,0 days 00:00:00
8,X-Corp,2021,2,Issue,2021-08-01,Comicvine,136025,861644,X-Corp,2021, ,https://comicvine.gamespot.com/x-corp-2-a-shark-in-the-water/4000-861644/,0 days 00:00:00
9,Wolverine,2020,13,Issue,2021-08-01,Comicvine,125121,863865,Wolverine,2020, ,https://comicvine.gamespot.com/wolverine-13-what-they-did-in-the-shadows/4000-863865/,0 days 00:00:00
10,S.W.O.R.D.,2020,6,Issue,2021-08-01,Comicvine,132511,863852,S.W.O.R.D.,2020, ,https://comicvine.gamespot.com/issue/4000-863852/,0 days 00:00:00
11,Way of X,2021,3,Issue,2021-08-01,Comicvine,135583,863854,Way of X,2021, ,https://comicvine.gamespot.com/way-of-x-3-joy-of-x/4000-863854/,0 days 00:00:00
12,X-Factor,2020,10,Issue,2021-08-01,Comicvine,129097,866581,X-Factor,2020, ,https://comicvine.gamespot.com/x-factor-10-finale/4000-866581/,0 days 00:00:00
