,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Heroes Reborn,2021,1,Issue,2021-07-01,Comicvine,135903,847511,Heroes Reborn,2021, ,https://comicvine.gamespot.com/heroes-reborn-1-whatever-happened-to-earths-mighti/4000-847511/,0 days 00:00:00
2,Heroes Reborn: Hyperion & the Imperial Guard,2021,1,Issue,2021-07-01,Comicvine,136023,848853,Heroes Reborn: Hyperion & the Imperial Guard,2021, ,https://comicvine.gamespot.com/heroes-reborn-hyperion-and-the-imperial-guard-1-co/4000-848853/,0 days 00:00:00
3,"Heroes Reborn: Peter Parker, The Amazing Shutterbug",2021,1,Issue,2021-07-01,Comicvine,136024,848854,"Heroes Reborn: Peter Parker, The Amazing Shutterbug",2021, ,https://comicvine.gamespot.com/heroes-reborn-peter-parker-the-amazing-shutterbug-/4000-848854/,0 days 00:00:00
4,Heroes Reborn,2021,2,Issue,2021-07-01,Comicvine,135903,848852,Heroes Reborn,2021, ,https://comicvine.gamespot.com/heroes-reborn-2-invaders-from-the-negative-zone-we/4000-848852/,0 days 00:00:00
5,Heroes Reborn,2021,3,Issue,2021-07-01,Comicvine,135903,851308,Heroes Reborn,2021, ,https://comicvine.gamespot.com/heroes-reborn-3-race-through-the-dread-dimension-t/4000-851308/,0 days 00:00:00
6,Heroes Reborn,2021,4,Issue,2021-07-01,Comicvine,135903,855615,Heroes Reborn,2021, ,https://comicvine.gamespot.com/heroes-reborn-4-the-most-hated-man-in-the-heavens-/4000-855615/,0 days 00:00:00
7,Heroes Reborn: Magneto & the Mutant Force,2021,1,Issue,2021-07-01,Comicvine,136388,855617,Heroes Reborn: Magneto & the Mutant Force,2021, ,https://comicvine.gamespot.com/heroes-reborn-magneto-and-the-mutant-force-1-bewar/4000-855617/,0 days 00:00:00
8,Heroes Reborn: Siege Society,2021,1,Issue,2021-07-01,Comicvine,136389,855618,Heroes Reborn: Siege Society,2021, ,https://comicvine.gamespot.com/heroes-reborn-siege-society-1/4000-855618/,0 days 00:00:00
9,Heroes Reborn: Young Squadron,2021,1,Issue,2021-07-01,Comicvine,136390,855621,Heroes Reborn: Young Squadron,2021, ,https://comicvine.gamespot.com/heroes-reborn-young-squadron-1-truth-at-all-costs/4000-855621/,31 days 00:00:00
10,Heroes Reborn,2021,5,Issue,2021-08-01,Comicvine,135903,857651,Heroes Reborn,2021, ,https://comicvine.gamespot.com/heroes-reborn-5-the-pageant-of-the-masters-of-noct/4000-857651/,0 days 00:00:00
11,Heroes Reborn: American Knights,2021,1,Issue,2021-08-01,Comicvine,136618,857652,Heroes Reborn: American Knights,2021, ,https://comicvine.gamespot.com/heroes-reborn-american-knights-1-a-pale-reflection/4000-857652/,0 days 00:00:00
12,Heroes Reborn: Marvel Double Action,2021,1,Issue,2021-08-01,Comicvine,136619,857653,Heroes Reborn: Marvel Double Action,2021, ,https://comicvine.gamespot.com/heroes-reborn-marvel-double-action-1-the-death-of-/4000-857653/,0 days 00:00:00
13,Heroes Reborn,2021,6,Issue,2021-08-01,Comicvine,135903,858875,Heroes Reborn,2021, ,https://comicvine.gamespot.com/heroes-reborn-6-the-last-utopian-meets-the-last-so/4000-858875/,0 days 00:00:00
14,Heroes Reborn: Squadron Savage,2021,1,Issue,2021-08-01,Comicvine,136814,858877,Heroes Reborn: Squadron Savage,2021, ,https://comicvine.gamespot.com/heroes-reborn-squadron-savage-1-the-queens-sacrifi/4000-858877/,0 days 00:00:00
15,Heroes Reborn: Night-Gwen,2021,1,Issue,2021-08-01,Comicvine,136813,858876,Heroes Reborn: Night-Gwen,2021, ,https://comicvine.gamespot.com/heroes-reborn-night-gwen-1-hunters-and-prey/4000-858876/,0 days 00:00:00
16,Heroes Reborn,2021,7,Issue,2021-08-01,Comicvine,135903,861676,Heroes Reborn,2021, ,https://comicvine.gamespot.com/heroes-reborn-7-the-world-of-no-return-the-preside/4000-861676/,0 days 00:00:00
17,Heroes Reborn: Weapon X & Final Flight,2021,1,Issue,2021-08-01,Comicvine,136946,861677,Heroes Reborn: Weapon X & Final Flight,2021, ,https://comicvine.gamespot.com/heroes-reborn-weapon-x-and-final-flight-1-freedom-/4000-861677/,0 days 00:00:00
18,Heroes Return,2021,1,Issue,2021-08-01,Comicvine,137049,863929,Heroes Return,2021, ,https://comicvine.gamespot.com/heroes-return-1-the-man-who-rebooted-the-world/4000-863929/,0 days 00:00:00
