,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Enter the Heroic Age,2010,1,Issue,2010-07-01,Comicvine,33229,214815,Enter The Heroic Age,2010, ,https://comicvine.gamespot.com/enter-the-heroic-age-1-admissions-heroes-for-the-a/4000-214815/,30 days 00:00:00
2,Age of Heroes,2010,1,Issue,2010-07-31,Comicvine,33241,214896,Age of Heroes,2010, ,https://comicvine.gamespot.com/age-of-heroes-1-thumb-on-the-pulse-a-date-with-the/4000-214896/,31 days 00:00:00
3,Age of Heroes,2010,2,Issue,2010-08-31,Comicvine,33241,219600,Age of Heroes,2010, ,https://comicvine.gamespot.com/age-of-heroes-2-who-neds-gravity-heroic-rage-the-y/4000-219600/,30 days 00:00:00
4,Age of Heroes,2010,3,Issue,2010-09-30,Comicvine,33241,225780,Age of Heroes,2010, ,https://comicvine.gamespot.com/age-of-heroes-3/4000-225780/,31 days 00:00:00
5,Age of Heroes,2010,4,Issue,2010-10-31,Comicvine,33241,230254,Age of Heroes,2010, ,https://comicvine.gamespot.com/age-of-heroes-4-honor-man-of-god-welcome-back-zodi/4000-230254/,30 days 00:00:00
6,Heroic Age: Heroes,2010,1,Issue,2010-11-30,Comicvine,35497,234657,The Heroic Age: Super Heroes,2010, ,https://comicvine.gamespot.com/issue/4000-234657/,62 days 00:00:00
7,Heroic Age: Villains,2011,1,Issue,2011-01-31,Comicvine,36738,244977,The Heroic Age: Villains,2010, ,https://comicvine.gamespot.com/issue/4000-244977/,91 days 00:00:00
8,Heroic Age: One Month to Live,2010,1,Issue,2010-11-01,Comicvine,35335,232947,Heroic Age: One Month To Live,2010, ,https://comicvine.gamespot.com/heroic-age-one-month-to-live-1-week-one/4000-232947/,0 days 00:00:00
9,Heroic Age: One Month to Live,2010,2,Issue,2010-11-01,Comicvine,35335,234264,Heroic Age: One Month To Live,2010, ,https://comicvine.gamespot.com/heroic-age-one-month-to-live-2-week-two/4000-234264/,0 days 00:00:00
10,Heroic Age: One Month to Live,2010,3,Issue,2010-11-01,Comicvine,35335,234874,Heroic Age: One Month To Live,2010, ,https://comicvine.gamespot.com/heroic-age-one-month-to-live-3-week-three/4000-234874/,0 days 00:00:00
11,Heroic Age: One Month to Live,2010,4,Issue,2010-11-01,Comicvine,35335,235680,Heroic Age: One Month To Live,2010, ,https://comicvine.gamespot.com/heroic-age-one-month-to-live-4-week-four/4000-235680/,0 days 00:00:00
12,Heroic Age: One Month to Live,2010,5,Issue,2010-11-01,Comicvine,35335,236697,Heroic Age: One Month To Live,2010, ,https://comicvine.gamespot.com/heroic-age-one-month-to-live-5-week-five/4000-236697/,123 days 00:00:00
13,Heroic Age: Prince of Power,2010,1,Issue,2010-07-01,Comicvine,33092,213495,Heroic Age: Prince of Power,2010, ,https://comicvine.gamespot.com/heroic-age-prince-of-power-1-blasphemy-can-be-fun/4000-213495/,31 days 00:00:00
14,Heroic Age: Prince of Power,2010,2,Issue,2010-08-01,Comicvine,33092,218553,Heroic Age: Prince of Power,2010, ,https://comicvine.gamespot.com/heroic-age-prince-of-power-2-valhalla-blues/4000-218553/,31 days 00:00:00
15,Heroic Age: Prince of Power,2010,3,Issue,2010-09-01,Comicvine,33092,225963,Heroic Age: Prince of Power,2010, ,https://comicvine.gamespot.com/heroic-age-prince-of-power-3-our-lady-of-slaughter/4000-225963/,30 days 00:00:00
16,Heroic Age: Prince of Power,2010,4,Issue,2010-10-01,Comicvine,33092,231848,Heroic Age: Prince of Power,2010, ,https://comicvine.gamespot.com/heroic-age-prince-of-power-4-omnipotence-for-dummi/4000-231848/,61 days 00:00:00
17,Avengers Prime,2010,1,Issue,2010-08-01,Comicvine,33495,217323,Avengers: Prime,2010, ,https://comicvine.gamespot.com/avengers-prime-1-avengers-prime-part-1/4000-217323/,61 days 00:00:00
18,Avengers Prime,2010,2,Issue,2010-10-01,Comicvine,33495,227872,Avengers: Prime,2010, ,https://comicvine.gamespot.com/avengers-prime-2-lost-in-the-nine-realms/4000-227872/,31 days 00:00:00
19,Avengers Prime,2010,3,Issue,2010-11-01,Comicvine,33495,236711,Avengers: Prime,2010, ,https://comicvine.gamespot.com/avengers-prime-3-the-forces-of-hel/4000-236711/,61 days 00:00:00
20,Avengers Prime,2010,4,Issue,2011-01-01,Comicvine,33495,242900,Avengers: Prime,2010, ,https://comicvine.gamespot.com/avengers-prime-4-hela-victorious/4000-242900/,59 days 00:00:00
21,Avengers Prime,2010,5,Issue,2011-03-01,Comicvine,33495,254666,Avengers: Prime,2010, ,https://comicvine.gamespot.com/avengers-prime-5-brothers-in-arms/4000-254666/,243 days 00:00:00
22,Avengers,2010,1,Issue,2010-07-01,Comicvine,33227,214810,Avengers,2010, ,https://comicvine.gamespot.com/avengers-1-next-avengers-part-1/4000-214810/,31 days 00:00:00
23,Avengers,2010,2,Issue,2010-08-01,Comicvine,33227,220585,Avengers,2010, ,https://comicvine.gamespot.com/avengers-2-wonder-man-attacks/4000-220585/,31 days 00:00:00
24,Avengers,2010,3,Issue,2010-09-01,Comicvine,33227,225674,Avengers,2010, ,https://comicvine.gamespot.com/avengers-3-menace-from-beyond-time/4000-225674/,30 days 00:00:00
25,Avengers,2010,4,Issue,2010-10-01,Comicvine,33227,231595,Avengers,2010, ,https://comicvine.gamespot.com/avengers-4-only-the-good-die-young/4000-231595/,31 days 00:00:00
26,Avengers,2010,5,Issue,2010-11-01,Comicvine,33227,235387,Avengers,2010, ,https://comicvine.gamespot.com/avengers-5-battle-for-the-future/4000-235387/,30 days 00:00:00
27,Avengers,2010,6,Issue,2010-12-01,Comicvine,33227,239856,Avengers,2010, ,https://comicvine.gamespot.com/avengers-6-next-avengers-part-6/4000-239856/,122 days 00:00:00
28,Avengers Academy,2010,1,Issue,2010-08-01,Comicvine,33633,218352,Avengers Academy,2010, ,https://comicvine.gamespot.com/avengers-academy-1-permanent-record-part-1/4000-218352/,31 days 00:00:00
29,Avengers Academy,2010,2,Issue,2010-09-01,Comicvine,33633,224566,Avengers Academy,2010, ,https://comicvine.gamespot.com/avengers-academy-2-gifted-talented/4000-224566/,31 days 00:00:00
30,New Avengers,2010,1,Issue,2010-08-01,Comicvine,33777,219558,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-1-possession/4000-219558/,31 days 00:00:00
31,New Avengers,2010,2,Issue,2010-09-01,Comicvine,33777,225782,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-2-all-eyes-on-cage/4000-225782/,30 days 00:00:00
32,New Avengers,2010,3,Issue,2010-10-01,Comicvine,33777,230322,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-3-yeah-its-on/4000-230322/,31 days 00:00:00
33,New Avengers,2010,4,Issue,2010-11-01,Comicvine,33777,233761,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-4-the-ancient-one-throws-down/4000-233761/,30 days 00:00:00
34,New Avengers,2010,5,Issue,2010-12-01,Comicvine,33777,238232,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-5-magic-gone-berserker/4000-238232/,31 days 00:00:00
35,New Avengers,2010,6,Issue,2011-01-01,Comicvine,33777,242246,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-6/4000-242246/,184 days 00:00:00
36,Secret Avengers,2010,1,Issue,2010-07-01,Comicvine,33350,216182,Secret Avengers,2010, ,https://comicvine.gamespot.com/secret-avengers-1-secret-histories-part-1/4000-216182/,31 days 00:00:00
37,Secret Avengers,2010,2,Issue,2010-08-01,Comicvine,33350,221791,Secret Avengers,2010, ,https://comicvine.gamespot.com/secret-avengers-2-secret-histories-part-two/4000-221791/,31 days 00:00:00
38,Secret Avengers,2010,3,Issue,2010-09-01,Comicvine,33350,226878,Secret Avengers,2010, ,https://comicvine.gamespot.com/secret-avengers-3-secret-histories-part-3/4000-226878/,30 days 00:00:00
39,Secret Avengers,2010,4,Issue,2010-10-01,Comicvine,33350,230303,Secret Avengers,2010, ,https://comicvine.gamespot.com/secret-avengers-4-secret-histories-part-four/4000-230303/,31 days 00:00:00
40,Secret Avengers,2010,5,Issue,2010-11-01,Comicvine,33350,235393,Secret Avengers,2010, ,https://comicvine.gamespot.com/secret-avengers-5-the-secret-life-of-max-fury/4000-235393/,92 days 00:00:00
41,Hawkeye & Mockingbird,2010,1,Issue,2010-08-01,Comicvine,33513,217486,Hawkeye & Mockingbird,2010, ,https://comicvine.gamespot.com/hawkeye-mockingbird-1-ghosts-part-1/4000-217486/,31 days 00:00:00
42,Hawkeye & Mockingbird,2010,2,Issue,2010-09-01,Comicvine,33513,223278,Hawkeye & Mockingbird,2010, ,https://comicvine.gamespot.com/hawkeye-mockingbird-2-ghosts-part-2-rumors-of-deat/4000-223278/,30 days 00:00:00
43,Hawkeye & Mockingbird,2010,3,Issue,2010-10-01,Comicvine,33513,227822,Hawkeye & Mockingbird,2010, ,https://comicvine.gamespot.com/hawkeye-mockingbird-3-ghosts-part-3lex-talionis/4000-227822/,31 days 00:00:00
44,Hawkeye & Mockingbird,2010,4,Issue,2010-11-01,Comicvine,33513,232565,Hawkeye & Mockingbird,2010, ,https://comicvine.gamespot.com/hawkeye-mockingbird-4-ghosts-part-4-unnatural-hist/4000-232565/,30 days 00:00:00
45,Hawkeye & Mockingbird,2010,5,Issue,2010-12-01,Comicvine,33513,237169,Hawkeye & Mockingbird,2010, ,https://comicvine.gamespot.com/hawkeye-mockingbird-5-ghost-part-5-let-go/4000-237169/,31 days 00:00:00
46,Hawkeye & Mockingbird,2010,6,Issue,2011-01-01,Comicvine,33513,240964,Hawkeye & Mockingbird,2010, ,https://comicvine.gamespot.com/hawkeye-mockingbird-6-ghosts-part-6-hunted/4000-240964/,123 days 00:00:00
47,Young Allies,2010,1,Issue,2010-08-31,Comicvine,33644,218425,Young Allies,2010, ,https://comicvine.gamespot.com/young-allies-1-now-not-tommorow-part-1-no-turning-/4000-218425/,30 days 00:00:00
48,Young Allies,2010,2,Issue,2010-09-30,Comicvine,33644,223382,Young Allies,2010, ,https://comicvine.gamespot.com/young-allies-2-now-not-tomorrow-part-2/4000-223382/,31 days 00:00:00
49,Young Allies,2010,3,Issue,2010-10-31,Comicvine,33644,227876,Young Allies,2010, ,https://comicvine.gamespot.com/young-allies-3-now-not-tomorrow-part-3down-time/4000-227876/,30 days 00:00:00
50,Young Allies,2010,4,Issue,2010-11-30,Comicvine,33644,232760,Young Allies,2010, ,https://comicvine.gamespot.com/young-allies-4-now-not-tomorrow-part-4-the-lie/4000-232760/,31 days 00:00:00
