,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Excalibur,2004,13,Issue,2005-07-31,Comicvine,11292,120015,Excalibur,2004, ,https://comicvine.gamespot.com/excalibur-13-the-devils-own-part-3-the-world-is-mi/4000-120015/,31 days 00:00:00
2,Excalibur,2004,14,Issue,2005-08-31,Comicvine,11292,117978,Excalibur,2004, ,https://comicvine.gamespot.com/excalibur-14-the-devils-own-part-4the-end-of-the-w/4000-117978/,30 days 00:00:00
3,House of M,2005,1,Issue,2005-08-01,Comicvine,12049,104861,House of M,2005, ,https://comicvine.gamespot.com/house-of-m-1/4000-104861/,0 days 00:00:00
4,House of M,2005,2,Issue,2005-08-01,Comicvine,12049,104862,House of M,2005, ,https://comicvine.gamespot.com/house-of-m-2/4000-104862/,1188 days 00:00:00
5,Civil War: House of M,2008,1,Issue,2008-11-01,Comicvine,22973,138414,House of M: Civil War,2008, ,https://comicvine.gamespot.com/issue/4000-138414/,30 days 00:00:00
6,Civil War: House of M,2008,2,Issue,2008-12-01,Comicvine,22973,139693,House of M: Civil War,2008, ,https://comicvine.gamespot.com/issue/4000-139693/,31 days 00:00:00
7,Civil War: House of M,2008,3,Issue,2009-01-01,Comicvine,22973,141552,House of M: Civil War,2008, ,https://comicvine.gamespot.com/issue/4000-141552/,31 days 00:00:00
8,Civil War: House of M,2008,4,Issue,2009-02-01,Comicvine,22973,145605,House of M: Civil War,2008, ,https://comicvine.gamespot.com/issue/4000-145605/,28 days 00:00:00
9,Civil War: House of M,2008,5,Issue,2009-03-01,Comicvine,22973,150049,House of M: Civil War,2008, ,https://comicvine.gamespot.com/issue/4000-150049/,214 days 00:00:00
10,House of M: Masters of Evil,2009,1,Issue,2009-10-01,Comicvine,27286,166276,House of M: Masters of Evil,2009, ,https://comicvine.gamespot.com/house-of-m-masters-of-evil-1-this-thing-of-ours/4000-166276/,31 days 00:00:00
11,House of M: Masters of Evil,2009,2,Issue,2009-11-01,Comicvine,27286,169225,House of M: Masters of Evil,2009, ,https://comicvine.gamespot.com/house-of-m-masters-of-evil-2-unity/4000-169225/,30 days 00:00:00
12,House of M: Masters of Evil,2009,3,Issue,2009-12-01,Comicvine,27286,175230,House of M: Masters of Evil,2009, ,https://comicvine.gamespot.com/house-of-m-masters-of-evil-3-shangri-la/4000-175230/,31 days 00:00:00
13,House of M: Masters of Evil,2009,4,Issue,2010-01-01,Comicvine,27286,181091,House of M: Masters of Evil,2009, ,https://comicvine.gamespot.com/house-of-m-masters-of-evil-4-honor-among-thieves/4000-181091/,731 days 00:00:00
14,House of M: Avengers,2008,1,Issue,2008-01-01,Comicvine,19668,118013,House of M: Avengers,2008, ,https://comicvine.gamespot.com/house-of-m-avengers-1/4000-118013/,31 days 00:00:00
15,House of M: Avengers,2008,2,Issue,2008-02-01,Comicvine,19668,119712,House of M: Avengers,2008, ,https://comicvine.gamespot.com/house-of-m-avengers-2/4000-119712/,0 days 00:00:00
