,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Uncanny X-Men,1981,239,Issue,1988-12-01,Comicvine,3092,30448,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-239-vanities/4000-30448/,31 days 00:00:00
2,X-Terminators,1988,1,Issue,1988-10-31,Comicvine,4082,30213,X-Terminators,1988, ,https://comicvine.gamespot.com/x-terminators-1-invasion-of-the-baby-snatchers/4000-30213/,30 days 00:00:00
3,X-Terminators,1988,2,Issue,1988-11-30,Comicvine,4082,30342,X-Terminators,1988, ,https://comicvine.gamespot.com/x-terminators-2-speed-demon/4000-30342/,31 days 00:00:00
4,X-Terminators,1988,3,Issue,1988-12-31,Comicvine,4082,30460,X-Terminators,1988, ,https://comicvine.gamespot.com/x-terminators-3-guess-whos-coming-to-dinner/4000-30460/,1 days 00:00:00
5,X-Factor,1986,36,Issue,1989-01-01,Comicvine,3657,30800,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-36-transformations/4000-30800/,0 days 00:00:00
6,Uncanny X-Men,1981,240,Issue,1989-01-01,Comicvine,3092,30797,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-240-strike-the-match/4000-30797/,31 days 00:00:00
7,Uncanny X-Men,1981,241,Issue,1989-02-01,Comicvine,3092,30905,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-241-fan-the-flames/4000-30905/,1 days 00:00:00
8,Fantastic Four,1961,322,Issue,1989-01-31,Comicvine,2045,30780,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-322-between-a-rock-and-a-hard-place/4000-30780/,31 days 00:00:00
9,Avengers,1963,298,Issue,1988-12-31,Comicvine,2128,30424,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-298-disaster/4000-30424/,31 days 00:00:00
10,Amazing Spider-Man,1963,311,Issue,1989-01-31,Comicvine,2127,30773,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-311-mysteries-of-the-dead/4000-30773/,30 days 00:00:00
11,Spectacular Spider-Man,1976,146,Issue,1989-01-01,Comicvine,2870,30792,The Spectacular Spider-Man,1976, ,https://comicvine.gamespot.com/the-spectacular-spider-man-146-demon-night/4000-30792/,58 days 00:00:00
12,Web of Spider-Man,1985,47,Issue,1989-02-28,Comicvine,3519,30906,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-47-the-face-in-the-mirror/4000-30906/,0 days 00:00:00
13,Amazing Spider-Man,1963,312,Issue,1989-02-28,Comicvine,2127,30883,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-312-the-goblin-war/4000-30883/,27 days 00:00:00
14,Spectacular Spider-Man,1976,147,Issue,1989-02-01,Comicvine,2870,30901,The Spectacular Spider-Man,1976, ,https://comicvine.gamespot.com/the-spectacular-spider-man-147-when-the-bugle-blow/4000-30901/,58 days 00:00:00
15,Web of Spider-Man,1985,48,Issue,1989-03-31,Comicvine,3519,31007,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-48-eyes-of-the-demon/4000-31007/,59 days 00:00:00
16,Daredevil,1964,262,Issue,1989-01-31,Comicvine,2190,30778,Daredevil,1964, ,https://comicvine.gamespot.com/daredevil-262-never-disturb-a-demon/4000-30778/,31 days 00:00:00
17,Power Pack,1984,42,Issue,1988-12-31,Comicvine,3358,30435,Power Pack,1984, ,https://comicvine.gamespot.com/power-pack-42-revenge-of-the-boogyman-part-1/4000-30435/,31 days 00:00:00
18,Power Pack,1984,43,Issue,1989-01-31,Comicvine,3358,30785,Power Pack,1984, ,https://comicvine.gamespot.com/power-pack-43-revenge-of-the-boogeyman-part-2-the-/4000-30785/,59 days 00:00:00
19,Amazing Spider-Man,1963,313,Issue,1989-03-31,Comicvine,2127,113269,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-313-slithereens/4000-113269/,59 days 00:00:00
20,Avengers,1963,299,Issue,1989-01-31,Comicvine,2128,30774,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-299-i-love-ny/4000-30774/,1 days 00:00:00
21,Avengers,1963,300,Issue,1989-02-01,Comicvine,2128,30884,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-300-inferno2/4000-30884/,27 days 00:00:00
22,Daredevil,1964,263,Issue,1989-02-28,Comicvine,2190,30887,Daredevil,1964, ,https://comicvine.gamespot.com/daredevil-263-in-bitterness-not-far-from-death/4000-30887/,58 days 00:00:00
23,New Mutants,1983,71,Issue,1989-01-01,Comicvine,3234,30824,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-71-limbo/4000-30824/,30 days 00:00:00
24,X-Terminators,1988,4,Issue,1989-01-31,Comicvine,4082,30811,X-Terminators,1988, ,https://comicvine.gamespot.com/x-terminators-4-finale/4000-30811/,1 days 00:00:00
25,New Mutants,1983,72,Issue,1989-02-01,Comicvine,3234,30929,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-72-demon-reign/4000-30929/,28 days 00:00:00
26,New Mutants,1983,73,Issue,1989-03-01,Comicvine,3234,31027,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-73-the-gift/4000-31027/,1 days 00:00:00
27,Fantastic Four,1961,323,Issue,1989-02-28,Comicvine,2045,30889,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-323-orphan-of-the-storm/4000-30889/,32 days 00:00:00
28,Daredevil,1964,265,Issue,1989-04-01,Comicvine,2190,31098,Daredevil,1964, ,https://comicvine.gamespot.com/daredevil-265-we-again-beheld-the-stars/4000-31098/,59 days 00:00:00
29,X-Factor,1986,37,Issue,1989-02-01,Comicvine,3657,30908,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-37-a-matter-of-honor/4000-30908/,28 days 00:00:00
30,Uncanny X-Men,1981,242,Issue,1989-03-01,Comicvine,3092,31006,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-242-burn/4000-31006/,0 days 00:00:00
31,X-Factor,1986,38,Issue,1989-03-01,Comicvine,3657,31009,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-38-duet/4000-31009/,31 days 00:00:00
32,Uncanny X-Men,1981,243,Issue,1989-04-01,Comicvine,3092,31117,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-243-ashes/4000-31117/,0 days 00:00:00
33,X-Factor,1986,39,Issue,1989-04-01,Comicvine,3657,31120,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-39-ashes-to-ashes/4000-31120/,1 days 00:00:00
34,Excalibur,1988,6,Issue,1989-03-31,Comicvine,4052,30989,Excalibur,1988, ,https://comicvine.gamespot.com/excalibur-6-goblin-night/4000-30989/,30 days 00:00:00
