,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Avengers,2013,14,Issue,2013-08-31,Comicvine,54428,411825,Avengers,2012, ,https://comicvine.gamespot.com/issue/4000-411825/,1 days 00:00:00
2,Avengers,2013,15,Issue,2013-09-01,Comicvine,54428,415233,Avengers,2012, ,https://comicvine.gamespot.com/issue/4000-415233/,0 days 00:00:00
3,Avengers,2013,16,Issue,2013-09-01,Comicvine,54428,417831,Avengers,2012, ,https://comicvine.gamespot.com/issue/4000-417831/,30 days 00:00:00
4,Avengers,2013,17,Issue,2013-10-01,Comicvine,54428,420634,Avengers,2012, ,https://comicvine.gamespot.com/issue/4000-420634/,30 days 00:00:00
5,Infinity,2013,1,Issue,2013-10-31,Comicvine,66319,421691,Infinity,2013, ,https://comicvine.gamespot.com/infinity-1-infinity/4000-421691/,61 days 00:00:00
6,Infinity: Against the Tide,2013,1,Issue,2013-08-31,Comicvine,66403,421892,Infinity: Against the Tide,2013, ,https://comicvine.gamespot.com/infinity-against-the-tide-1-against-the-tide/4000-421892/,30 days 00:00:00
7,Infinity: Against the Tide,2013,2,Issue,2013-09-30,Comicvine,66403,426123,Infinity: Against the Tide,2013, ,https://comicvine.gamespot.com/infinity-against-the-tide-2-against-the-tide-concl/4000-426123/,31 days 00:00:00
8,Thunderbolts,2013,14,Issue,2013-10-31,Comicvine,54429,422502,Thunderbolts,2013, ,https://comicvine.gamespot.com/thunderbolts-14/4000-422502/,30 days 00:00:00
9,Nova,2013,8,Issue,2013-11-30,Comicvine,57535,426879,Nova,2013, ,https://comicvine.gamespot.com/nova-8-chapter-eight-infinity/4000-426879/,31 days 00:00:00
10,Nova,2013,9,Issue,2013-12-31,Comicvine,57535,430759,Nova,2013, ,https://comicvine.gamespot.com/nova-9-chapter-nine-infinity2/4000-430759/,60 days 00:00:00
11,Infinity: The Hunt,2013,1,Issue,2013-11-01,Comicvine,67222,425029,Infinity: The Hunt,2013, ,https://comicvine.gamespot.com/infinity-the-hunt-1-the-hunt/4000-425029/,60 days 00:00:00
12,Infinity: The Hunt,2013,2,Issue,2013-12-31,Comicvine,67222,427688,Infinity: The Hunt,2013, ,https://comicvine.gamespot.com/infinity-the-hunt-2-school-s-out-forever/4000-427688/,121 days 00:00:00
13,New Avengers,2013,8,Issue,2013-09-01,Comicvine,55330,418821,New Avengers,2013, ,https://comicvine.gamespot.com/new-avengers-8-what-maximus-made-prelude-to-infini/4000-418821/,60 days 00:00:00
14,New Avengers,2013,9,Issue,2013-10-31,Comicvine,55330,423677,New Avengers,2013, ,https://comicvine.gamespot.com/new-avengers-9-the-cull-obsidian/4000-423677/,30 days 00:00:00
15,Thunderbolts,2013,15,Issue,2013-11-30,Comicvine,54429,425942,Thunderbolts,2013, ,https://comicvine.gamespot.com/thunderbolts-15/4000-425942/,31 days 00:00:00
16,Thunderbolts,2013,16,Issue,2013-12-31,Comicvine,54429,427696,Thunderbolts,2013, ,https://comicvine.gamespot.com/thunderbolts-16/4000-427696/,31 days 00:00:00
17,Mighty Avengers,2013,1,Issue,2013-11-30,Comicvine,67223,425032,Mighty Avengers,2013, ,https://comicvine.gamespot.com/mighty-avengers-1/4000-425032/,31 days 00:00:00
18,Mighty Avengers,2013,2,Issue,2013-12-31,Comicvine,67223,427692,Mighty Avengers,2013, ,https://comicvine.gamespot.com/mighty-avengers-2/4000-427692/,1 days 00:00:00
19,Mighty Avengers,2013,3,Issue,2014-01-01,Comicvine,67223,432335,Mighty Avengers,2013, ,https://comicvine.gamespot.com/mighty-avengers-3-no-single-hero/4000-432335/,77 days 00:00:00
20,Avengers,2013,18,Issue,2013-10-16,Comicvine,54428,422493,Avengers,2012, ,https://comicvine.gamespot.com/issue/4000-422493/,15 days 00:00:00
21,Avengers Assemble,2012,18,Issue,2013-10-31,Comicvine,46569,422494,Avengers Assemble,2012, ,https://comicvine.gamespot.com/avengers-assemble-18-infinity-part-1-of-2/4000-422494/,0 days 00:00:00
22,Captain Marvel,2012,15,Issue,2013-10-31,Comicvine,50575,423672,Captain Marvel,2012, ,https://comicvine.gamespot.com/captain-marvel-15-kiss-today-goodbye-part-one-of-t/4000-423672/,30 days 00:00:00
23,Infinity,2013,2,Issue,2013-11-30,Comicvine,66319,424535,Infinity,2013, ,https://comicvine.gamespot.com/infinity-2-fall/4000-424535/,0 days 00:00:00
24,New Avengers,2013,10,Issue,2013-11-30,Comicvine,55330,425935,New Avengers,2013, ,https://comicvine.gamespot.com/new-avengers-10-the-thanos-seed/4000-425935/,0 days 00:00:00
25,Avengers,2013,19,Issue,2013-11-30,Comicvine,54428,425022,Avengers,2012, ,https://comicvine.gamespot.com/issue/4000-425022/,0 days 00:00:00
26,Infinity,2013,3,Issue,2013-11-30,Comicvine,66319,425933,Infinity,2013, ,https://comicvine.gamespot.com/infinity-3-kingdoms-fall/4000-425933/,29 days 00:00:00
27,Infinity: Heist,2013,1,Issue,2013-11-01,Comicvine,67698,426877,Infinity: Heist,2013, ,https://comicvine.gamespot.com/infinity-heist-1-the-heist/4000-426877/,60 days 00:00:00
28,Infinity: The Hunt,2013,3,Issue,2013-12-31,Comicvine,67222,430756,Infinity: The Hunt,2013, ,https://comicvine.gamespot.com/infinity-the-hunt-3-pass-fail/4000-430756/,31 days 00:00:00
29,Captain Marvel,2012,16,Issue,2013-11-30,Comicvine,50575,425931,Captain Marvel,2012, ,https://comicvine.gamespot.com/captain-marvel-16-kiss-today-goodbye-part-2-of-2/4000-425931/,0 days 00:00:00
30,Avengers Assemble,2012,19,Issue,2013-11-30,Comicvine,46569,426872,Avengers Assemble,2012, ,https://comicvine.gamespot.com/avengers-assemble-19-infinity-part-2-of-2/4000-426872/,0 days 00:00:00
31,Avengers,2013,20,Issue,2013-11-30,Comicvine,54428,426871,Avengers,2012, ,https://comicvine.gamespot.com/issue/4000-426871/,1 days 00:00:00
32,Infinity,2013,4,Issue,2013-12-01,Comicvine,66319,428297,Infinity,2013, ,https://comicvine.gamespot.com/infinity-4-thane/4000-428297/,30 days 00:00:00
33,Avengers,2013,21,Issue,2013-12-31,Comicvine,54428,428855,Avengers,2012, ,https://comicvine.gamespot.com/issue/4000-428855/,0 days 00:00:00
34,New Avengers,2013,11,Issue,2013-12-31,Comicvine,55330,428865,New Avengers,2013, ,https://comicvine.gamespot.com/new-avengers-11-builders/4000-428865/,30 days 00:00:00
35,Infinity: Heist,2013,2,Issue,2013-12-01,Comicvine,67698,430755,Infinity: Heist,2013, ,https://comicvine.gamespot.com/infinity-heist-2-part-2/4000-430755/,30 days 00:00:00
36,Superior Spider-Man Team-Up,2013,3,Issue,2013-11-01,Comicvine,65629,426882,Superior Spider-Man Team-Up,2013, ,https://comicvine.gamespot.com/superior-spider-man-team-up-3-infinity-part-1/4000-426882/,30 days 00:00:00
37,Superior Spider-Man Team-Up,2013,4,Issue,2013-12-01,Comicvine,65629,428299,Superior Spider-Man Team-Up,2013, ,https://comicvine.gamespot.com/superior-spider-man-team-up-4-infinity-part-2/4000-428299/,30 days 00:00:00
38,Fearless Defenders,2013,10,Issue,2013-12-31,Comicvine,56878,428296,Fearless Defenders,2013, ,https://comicvine.gamespot.com/fearless-defenders-10/4000-428296/,30 days 00:00:00
39,Infinity,2013,5,Issue,2013-12-01,Comicvine,66319,431441,Infinity,2013, ,https://comicvine.gamespot.com/infinity-5-the-left-hand-of-death/4000-431441/,30 days 00:00:00
40,Avengers,2013,22,Issue,2013-12-31,Comicvine,54428,431435,Avengers,2012, ,https://comicvine.gamespot.com/issue/4000-431435/,1 days 00:00:00
41,Infinity: Heist,2013,3,Issue,2014-01-01,Comicvine,67698,435056,Infinity: Heist,2013, ,https://comicvine.gamespot.com/infinity-heist-3-part-3/4000-435056/,31 days 00:00:00
42,Infinity: Heist,2013,4,Issue,2014-02-01,Comicvine,67698,441414,Infinity: Heist,2013, ,https://comicvine.gamespot.com/infinity-heist-4-part-4/4000-441414/,32 days 00:00:00
43,Secret Avengers,2013,10,Issue,2013-12-31,Comicvine,57180,430761,Secret Avengers,2013, ,https://comicvine.gamespot.com/secret-avengers-10-mission-010-brooklyn/4000-430761/,31 days 00:00:00
44,Secret Avengers,2013,11,Issue,2014-01-31,Comicvine,57180,433848,Secret Avengers,2013, ,https://comicvine.gamespot.com/secret-avengers-11-mission-011-brooklyn-pt-2/4000-433848/,31 days 00:00:00
45,Avengers Assemble,2012,20,Issue,2013-12-31,Comicvine,46569,428856,Avengers Assemble,2012, ,https://comicvine.gamespot.com/avengers-assemble-20-infinity-part-3-give-em-a-han/4000-428856/,0 days 00:00:00
46,Thunderbolts,2013,17,Issue,2013-12-31,Comicvine,54429,430764,Thunderbolts,2013, ,https://comicvine.gamespot.com/thunderbolts-17/4000-430764/,31 days 00:00:00
47,Thunderbolts,2013,18,Issue,2014-01-31,Comicvine,54429,433851,Thunderbolts,2013, ,https://comicvine.gamespot.com/thunderbolts-18/4000-433851/,0 days 00:00:00
48,Infinity: The Hunt,2013,4,Issue,2014-01-31,Comicvine,67222,435057,Infinity: The Hunt,2013, ,https://comicvine.gamespot.com/infinity-the-hunt-4-final-exam/4000-435057/,0 days 00:00:00
49,Avengers,2013,23,Issue,2014-01-31,Comicvine,54428,433840,Avengers,2012, ,https://comicvine.gamespot.com/issue/4000-433840/,31 days 00:00:00
50,Guardians of the Galaxy,2013,8,Issue,2013-12-31,Comicvine,57960,431440,Guardians of the Galaxy,2013, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-8/4000-431440/,31 days 00:00:00
51,Guardians of the Galaxy,2013,9,Issue,2014-01-31,Comicvine,57960,435580,Guardians of the Galaxy,2013, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-9/4000-435580/,30 days 00:00:00
52,Infinity,2013,6,Issue,2014-01-01,Comicvine,66319,435055,Infinity,2013, ,https://comicvine.gamespot.com/infinity-6-amber/4000-435055/,30 days 00:00:00
53,New Avengers,2013,12,Issue,2014-01-31,Comicvine,55330,435060,New Avengers,2013, ,https://comicvine.gamespot.com/new-avengers-12-epilogue/4000-435060/,0 days 00:00:00
54,Wolverine and the X-Men Annual,2013,1,Issue,2014-01-31,Comicvine,69573,435070,Wolverine & the X-Men Annual,2013, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-annual-1-gladiator-zero/4000-435070/,0 days 00:00:00
