,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Infinity Countdown: Adam Warlock,2018,1,Issue,2018-04-30,Comicvine,108528,658723,Infinity Countdown: Adam Warlock,2018, ,https://comicvine.gamespot.com/infinity-countdown-adam-warlock-1/4000-658723/,0 days 00:00:00
2,Infinity Countdown Prime,2018,1,Issue,2018-04-30,Comicvine,108818,660664,Infinity Countdown Prime,2018, ,https://comicvine.gamespot.com/infinity-countdown-prime-1/4000-660664/,31 days 00:00:00
3,Infinity Countdown,2018,1,Issue,2018-05-31,Comicvine,109103,662090,Infinity Countdown,2018, ,https://comicvine.gamespot.com/infinity-countdown-1/4000-662090/,30 days 00:00:00
4,Infinity Countdown,2018,2,Issue,2018-06-30,Comicvine,109103,666805,Infinity Countdown,2018, ,https://comicvine.gamespot.com/infinity-countdown-2/4000-666805/,31 days 00:00:00
5,Infinity Countdown,2018,3,Issue,2018-07-31,Comicvine,109103,668778,Infinity Countdown,2018, ,https://comicvine.gamespot.com/infinity-countdown-3/4000-668778/,30 days 00:00:00
6,Infinity Countdown: Captain Marvel,2018,1,Issue,2018-07-01,Comicvine,111142,671331,Infinity Countdown: Captain Marvel,2018, ,https://comicvine.gamespot.com/infinity-countdown-captain-marvel-1/4000-671331/,0 days 00:00:00
7,Infinity Countdown: Daredevil,2018,1,Issue,2018-07-01,Comicvine,110922,670116,Infinity Countdown: Daredevil,2018, ,https://comicvine.gamespot.com/infinity-countdown-daredevil-1/4000-670116/,0 days 00:00:00
8,Infinity Countdown: Darkhawk,2018,1,Issue,2018-07-01,Comicvine,111044,670746,Infinity Countdown: Darkhawk,2018, ,https://comicvine.gamespot.com/infinity-countdown-darkhawk-1/4000-670746/,31 days 00:00:00
9,Infinity Countdown: Darkhawk,2018,2,Issue,2018-08-01,Comicvine,111044,673020,Infinity Countdown: Darkhawk,2018, ,https://comicvine.gamespot.com/infinity-countdown-darkhawk-2/4000-673020/,0 days 00:00:00
10,Infinity Countdown: Darkhawk,2018,3,Issue,2018-08-01,Comicvine,111044,675141,Infinity Countdown: Darkhawk,2018, ,https://comicvine.gamespot.com/infinity-countdown-darkhawk-3/4000-675141/,31 days 00:00:00
11,Infinity Countdown: Darkhawk,2018,4,Issue,2018-09-01,Comicvine,111044,676701,Infinity Countdown: Darkhawk,2018, ,https://comicvine.gamespot.com/infinity-countdown-darkhawk-4/4000-676701/,31 days 00:00:00
12,Infinity Countdown: Black Widow,2018,1,Issue,2018-08-01,Comicvine,111676,674133,Infinity Countdown: Black Widow,2018, ,https://comicvine.gamespot.com/infinity-countdown-black-widow-1/4000-674133/,0 days 00:00:00
13,Infinity Countdown: Champions,2018,1,Issue,2018-08-01,Comicvine,111677,674134,Infinity Countdown: Champions,2018, ,https://comicvine.gamespot.com/infinity-countdown-champions-1/4000-674134/,31 days 00:00:00
14,Infinity Countdown: Champions,2018,2,Issue,2018-09-01,Comicvine,111677,675982,Infinity Countdown: Champions,2018, ,https://comicvine.gamespot.com/infinity-countdown-champions-2/4000-675982/,31 days 00:00:00
15,Infinity Countdown,2018,4,Issue,2018-08-01,Comicvine,109103,672286,Infinity Countdown,2018, ,https://comicvine.gamespot.com/infinity-countdown-4/4000-672286/,31 days 00:00:00
16,Infinity Countdown,2018,5,Issue,2018-09-01,Comicvine,109103,677280,Infinity Countdown,2018, ,https://comicvine.gamespot.com/infinity-countdown-5/4000-677280/,0 days 00:00:00
