,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Infinity Crusade,1993,1,Issue,1993-06-01,Comicvine,5019,108552,The Infinity Crusade,1993, ,https://comicvine.gamespot.com/the-infinity-crusade-1-epiphany/4000-108552/,30 days 00:00:00
2,Iron Man,1968,294,Issue,1993-07-01,Comicvine,2407,134719,Iron Man,1968, ,https://comicvine.gamespot.com/iron-man-294-orbital-resonances/4000-134719/,31 days 00:00:00
3,Iron Man,1968,295,Issue,1993-08-01,Comicvine,2407,134720,Iron Man,1968, ,https://comicvine.gamespot.com/iron-man-295-into-the-void/4000-134720/,31 days 00:00:00
4,Warlock and the Infinity Watch,1992,18,Issue,1993-07-01,Comicvine,4818,136883,Warlock and the Infinity Watch,1992, ,https://comicvine.gamespot.com/warlock-and-the-infinity-watch-18-power-play/4000-136883/,30 days 00:00:00
5,Doctor Strange: Sorcerer Supreme,1988,54,Issue,1993-06-01,Comicvine,4049,37399,"Doctor Strange, Sorcerer Supreme",1988, ,https://comicvine.gamespot.com/doctor-strange-sorcerer-supreme-54-from-hereto-the/4000-37399/,30 days 00:00:00
6,Alpha Flight,1983,122,Issue,1993-07-01,Comicvine,3217,37509,Alpha Flight,1983, ,https://comicvine.gamespot.com/alpha-flight-122-holy-terror-part-1/4000-37509/,123 days 00:00:00
7,Marc Spector: Moon Knight,1989,56,Issue,1993-11-01,Comicvine,4230,38099,Marc Spector: Moon Knight,1989, ,https://comicvine.gamespot.com/marc-spector-moon-knight-56-skeletons-in-the-close/4000-38099/,123 days 00:00:00
8,Terror Inc.,1992,13,Issue,1993-07-01,Comicvine,4814,37429,Terror Inc.,1992, ,https://comicvine.gamespot.com/terror-inc-13-settling-accounts/4000-37429/,30 days 00:00:00
9,The Mighty Thor,1989,463,Issue,1993-06-01,Comicvine,61213,37376,The Mighty Thor,1989, ,https://comicvine.gamespot.com/the-mighty-thor-463-devotions/4000-37376/,60 days 00:00:00
10,Avengers: West Coast,1989,96,Issue,1993-07-31,Comicvine,18494,114290,Avengers West Coast,1989, ,https://comicvine.gamespot.com/avengers-west-coast-96-many-are-called/4000-114290/,30 days 00:00:00
11,The Mighty Thor,1989,464,Issue,1993-07-01,Comicvine,61213,37528,The Mighty Thor,1989, ,https://comicvine.gamespot.com/the-mighty-thor-464-blessed-obedience/4000-37528/,0 days 00:00:00
12,Warlock Chronicles,1993,1,Issue,1993-07-01,Comicvine,5062,37559,Warlock Chronicles,1993, ,https://comicvine.gamespot.com/warlock-chronicles-1-things-past/4000-37559/,0 days 00:00:00
13,Infinity Crusade,1993,2,Issue,1993-07-01,Comicvine,5019,37517,The Infinity Crusade,1993, ,https://comicvine.gamespot.com/the-infinity-crusade-2-enlightenment/4000-37517/,62 days 00:00:00
14,Web of Spider-Man,1985,104,Issue,1993-09-01,Comicvine,3519,37811,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-104-crisis-of-conscience-part-1-/4000-37811/,62 days 00:00:00
15,Doctor Strange: Sorcerer Supreme,1988,55,Issue,1993-07-01,Comicvine,4049,37550,"Doctor Strange, Sorcerer Supreme",1988, ,https://comicvine.gamespot.com/doctor-strange-sorcerer-supreme-55-servant-of-dorm/4000-37550/,31 days 00:00:00
16,The Mighty Thor,1989,465,Issue,1993-08-01,Comicvine,61213,37670,The Mighty Thor,1989, ,https://comicvine.gamespot.com/the-mighty-thor-465-holy-sacrifice/4000-37670/,0 days 00:00:00
