,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Silver Surfer,1987,34,Issue,1990-02-28,Comicvine,3857,32433,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-34-even-demigods-must-dream/4000-32433/,1 days 00:00:00
2,Silver Surfer,1987,35,Issue,1990-03-01,Comicvine,3857,32532,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-35-the-name-is-thanos/4000-32532/,31 days 00:00:00
3,Silver Surfer,1987,36,Issue,1990-04-01,Comicvine,3857,32645,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-36-the-lesson/4000-32645/,30 days 00:00:00
4,Silver Surfer,1987,37,Issue,1990-05-01,Comicvine,3857,32739,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-37-a-destructive-encounter/4000-32739/,31 days 00:00:00
5,Silver Surfer,1987,38,Issue,1990-06-01,Comicvine,3857,32859,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-38-the-answer/4000-32859/,30 days 00:00:00
6,The Thanos Quest,1990,1,Issue,1990-07-01,Comicvine,4425,32212,The Thanos Quest,1990, ,https://comicvine.gamespot.com/the-thanos-quest-1-schemes-and-dreams/4000-32212/,31 days 00:00:00
7,The Thanos Quest,1990,2,Issue,1990-08-01,Comicvine,4425,32247,The Thanos Quest,1990, ,https://comicvine.gamespot.com/the-thanos-quest-2-games-and-prizes/4000-32247/,0 days 00:00:00
8,Silver Surfer,1987,40,Issue,1990-08-01,Comicvine,3857,33096,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-40-welcome-to-dynamo-city/4000-33096/,31 days 00:00:00
9,Silver Surfer,1987,41,Issue,1990-09-01,Comicvine,3857,33211,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-41-job-hunting/4000-33211/,30 days 00:00:00
10,Silver Surfer,1987,42,Issue,1990-10-01,Comicvine,3857,110128,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-42-a-second-chance/4000-110128/,31 days 00:00:00
11,Silver Surfer,1987,43,Issue,1990-11-01,Comicvine,3857,33441,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-43-termination/4000-33441/,30 days 00:00:00
12,Silver Surfer,1987,44,Issue,1990-12-01,Comicvine,3857,33549,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-44-epiphany/4000-33549/,31 days 00:00:00
13,Silver Surfer,1987,45,Issue,1991-01-01,Comicvine,3857,33791,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-45-thanos-vs-mephisto/4000-33791/,90 days 00:00:00
14,Cloak and Dagger,1985,17,Issue,1991-04-01,Comicvine,4060,132449,The Mutant Misadventures of Cloak and Dagger,1988, ,https://comicvine.gamespot.com/issue/4000-132449/,90 days 00:00:00
15,Cloak and Dagger,1985,18,Issue,1991-06-30,Comicvine,4060,132450,The Mutant Misadventures of Cloak and Dagger,1988, ,https://comicvine.gamespot.com/issue/4000-132450/,154 days 00:00:00
16,Spider-Man,1990,17,Issue,1991-12-01,Comicvine,4421,64619,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-17-no-one-gets-outta-here-alive/4000-64619/,303 days 00:00:00
17,Silver Surfer,1987,46,Issue,1991-02-01,Comicvine,3857,33891,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-46-the-soul-world/4000-33891/,28 days 00:00:00
18,Silver Surfer,1987,47,Issue,1991-03-01,Comicvine,3857,34005,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-47-adam-warlock-protector-of-the-sou/4000-34005/,31 days 00:00:00
19,Silver Surfer,1987,48,Issue,1991-04-01,Comicvine,3857,34109,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-48-confroting-ones-maker/4000-34109/,30 days 00:00:00
20,Silver Surfer,1987,49,Issue,1991-05-01,Comicvine,3857,34212,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-49-detour/4000-34212/,31 days 00:00:00
