,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Captain America,1968,408,Issue,1992-10-01,Comicvine,2400,36269,Captain America,1968, ,https://comicvine.gamespot.com/captain-america-408-dark-dawn/4000-36269/,93 days 00:00:00
2,Infinity War,1992,1,Issue,1992-06-30,Comicvine,4795,35783,The Infinity War,1992, ,https://comicvine.gamespot.com/the-infinity-war-1-chthonic-maneuvers/4000-35783/,31 days 00:00:00
3,Fantastic Four,1961,366,Issue,1992-07-31,Comicvine,2045,136888,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-366-the-enemy-within/4000-136888/,60 days 00:00:00
4,Doctor Strange: Sorcerer Supreme,1988,42,Issue,1992-06-01,Comicvine,4049,35804,"Doctor Strange, Sorcerer Supreme",1988, ,https://comicvine.gamespot.com/doctor-strange-sorcerer-supreme-42-galactus-go-hom/4000-35804/,30 days 00:00:00
5,Silver Surfer,1987,67,Issue,1992-07-01,Comicvine,3857,35913,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-67-sins-of-the-fathers/4000-35913/,0 days 00:00:00
6,Doctor Strange: Sorcerer Supreme,1988,43,Issue,1992-07-01,Comicvine,4049,35928,"Doctor Strange, Sorcerer Supreme",1988, ,https://comicvine.gamespot.com/doctor-strange-sorcerer-supreme-43-an-eye-for-an-e/4000-35928/,0 days 00:00:00
7,Spider-Man,1990,24,Issue,1992-07-01,Comicvine,4421,64626,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-24-double-infinity/4000-64626/,92 days 00:00:00
8,Deathlok,1991,16,Issue,1992-10-01,Comicvine,4589,77511,Deathlok,1991, ,https://comicvine.gamespot.com/deathlok-16-just-following-orders/4000-77511/,92 days 00:00:00
9,Infinity War,1992,2,Issue,1992-07-01,Comicvine,4795,35907,The Infinity War,1992, ,https://comicvine.gamespot.com/the-infinity-war-2-ethereal-revisionism/4000-35907/,0 days 00:00:00
10,Alpha Flight,1983,110,Issue,1992-07-01,Comicvine,3217,35899,Alpha Flight,1983, ,https://comicvine.gamespot.com/alpha-flight-110-bare-bones-part-1/4000-35899/,19 days 00:00:00
11,Silver Surfer,1987,68,Issue,1992-07-20,Comicvine,3857,35957,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-68-lost/4000-35957/,12 days 00:00:00
12,Silver Surfer,1987,69,Issue,1992-08-01,Comicvine,3857,36030,Silver Surfer,1987, ,https://comicvine.gamespot.com/silver-surfer-69-the-explorer/4000-36030/,0 days 00:00:00
13,Doctor Strange: Sorcerer Supreme,1988,44,Issue,1992-08-01,Comicvine,4049,36052,"Doctor Strange, Sorcerer Supreme",1988, ,https://comicvine.gamespot.com/doctor-strange-sorcerer-supreme-44-the-color-crims/4000-36052/,30 days 00:00:00
14,Fantastic Four,1961,367,Issue,1992-08-31,Comicvine,2045,130905,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-367-by-reed-betrayed/4000-130905/,30 days 00:00:00
15,Infinity War,1992,3,Issue,1992-08-01,Comicvine,4795,36025,The Infinity War,1992, ,https://comicvine.gamespot.com/the-infinity-war-3-nefarious-rhapsodies/4000-36025/,0 days 00:00:00
16,Marvel Comics Presents,1988,108,Issue,1992-08-01,Comicvine,4058,35835,Marvel Comics Presents,1988, ,https://comicvine.gamespot.com/marvel-comics-presents-108-male-bonding-other-stor/4000-35835/,15 days 00:00:00
17,Marvel Comics Presents,1988,109,Issue,1992-08-16,Comicvine,4058,35909,Marvel Comics Presents,1988, ,https://comicvine.gamespot.com/marvel-comics-presents-109-typhoids-kiss-other-sto/4000-35909/,16 days 00:00:00
18,Marvel Comics Presents,1988,110,Issue,1992-09-01,Comicvine,4058,35956,Marvel Comics Presents,1988, ,https://comicvine.gamespot.com/marvel-comics-presents-110-typhoids-kiss-other-sto/4000-35956/,15 days 00:00:00
19,Marvel Comics Presents,1988,111,Issue,1992-09-16,Comicvine,4058,36027,Marvel Comics Presents,1988, ,https://comicvine.gamespot.com/marvel-comics-presents-111-typhoids-kiss-other-sto/4000-36027/,15 days 00:00:00
20,Silver Sable and the Wild Pack,1992,4,Issue,1992-09-01,Comicvine,4810,107806,Silver Sable and the Wild Pack,1992, ,https://comicvine.gamespot.com/silver-sable-and-the-wild-pack-4-my-dinner-with-do/4000-107806/,0 days 00:00:00
21,New Warriors,1990,27,Issue,1992-09-01,Comicvine,4407,105458,The New Warriors,1990, ,https://comicvine.gamespot.com/the-new-warriors-27-dark-side/4000-105458/,0 days 00:00:00
22,Wonder Man,1991,13,Issue,1992-09-01,Comicvine,4603,136857,Wonder Man,1991, ,https://comicvine.gamespot.com/wonder-man-13-into-infinity/4000-136857/,29 days 00:00:00
23,Fantastic Four,1961,368,Issue,1992-09-30,Comicvine,2045,130903,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-368-day-of-the-dark-side/4000-130903/,0 days 00:00:00
