,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Infinity Wars Prime,2018,1,Issue,2018-09-01,Comicvine,112453,677966,Infinity Wars Prime,2018, ,https://comicvine.gamespot.com/infinity-wars-prime-1/4000-677966/,30 days 00:00:00
2,Infinity Wars,2018,1,Issue,2018-10-01,Comicvine,112585,678536,Infinity Wars,2018, ,https://comicvine.gamespot.com/infinity-wars-1/4000-678536/,0 days 00:00:00
3,Infinity Wars,2018,2,Issue,2018-10-01,Comicvine,112585,679996,Infinity Wars,2018, ,https://comicvine.gamespot.com/infinity-wars-2/4000-679996/,31 days 00:00:00
4,Thanos Legacy,2018,1,Issue,2018-11-01,Comicvine,113264,683839,Thanos Legacy,2018, ,https://comicvine.gamespot.com/thanos-legacy-1-thanos-legacy-one/4000-683839/,0 days 00:00:00
5,Asgardians of the Galaxy,2018,1,Issue,2018-11-01,Comicvine,113217,683818,Asgardians of the Galaxy,2018, ,https://comicvine.gamespot.com/asgardians-of-the-galaxy-1/4000-683818/,0 days 00:00:00
6,Infinity Wars,2018,3,Issue,2018-11-01,Comicvine,112585,684909,Infinity Wars,2018, ,https://comicvine.gamespot.com/infinity-wars-3/4000-684909/,30 days 00:00:00
7,Asgardians of the Galaxy,2018,2,Issue,2018-12-01,Comicvine,113217,687002,Asgardians of the Galaxy,2018, ,https://comicvine.gamespot.com/asgardians-of-the-galaxy-2/4000-687002/,0 days 00:00:00
8,Infinity Wars,2018,4,Issue,2018-12-01,Comicvine,112585,688318,Infinity Wars,2018, ,https://comicvine.gamespot.com/infinity-wars-4/4000-688318/,30 days 00:00:00
9,Infinity Wars: Soldier Supreme,2018,1,Issue,2018-11-01,Comicvine,113710,685846,Infinity Wars: Soldier Supreme,2018, ,https://comicvine.gamespot.com/infinity-wars-soldier-supreme-1/4000-685846/,30 days 00:00:00
10,Infinity Wars: Soldier Supreme,2018,2,Issue,2018-12-01,Comicvine,113710,689865,Infinity Wars: Soldier Supreme,2018, ,https://comicvine.gamespot.com/infinity-wars-soldier-supreme-2/4000-689865/,30 days 00:00:00
11,Infinity Wars: Iron Hammer,2018,1,Issue,2018-11-01,Comicvine,113884,686383,Infinity Wars: Iron Hammer,2018, ,https://comicvine.gamespot.com/infinity-wars-iron-hammer-1-journey-into-suspense/4000-686383/,30 days 00:00:00
12,Infinity Wars: Iron Hammer,2018,2,Issue,2018-12-01,Comicvine,113884,690811,Infinity Wars: Iron Hammer,2018, ,https://comicvine.gamespot.com/infinity-wars-iron-hammer-2-the-ragnarmorok-wars/4000-690811/,0 days 00:00:00
13,Infinity Wars: Weapon Hex,2018,1,Issue,2018-12-01,Comicvine,114416,689043,Infinity Wars: Weapon Hex,2018, ,https://comicvine.gamespot.com/infinity-wars-weapon-hex-1/4000-689043/,31 days 00:00:00
14,Infinity Wars: Weapon Hex,2018,2,Issue,2019-01-01,Comicvine,114416,693463,Infinity Wars: Weapon Hex,2018, ,https://comicvine.gamespot.com/infinity-wars-weapon-hex-2/4000-693463/,31 days 00:00:00
15,Infinity Wars: Arachknight,2018,1,Issue,2018-12-01,Comicvine,114715,689863,Infinity Wars: Arachknight,2018, ,https://comicvine.gamespot.com/infinity-wars-arachknight-1/4000-689863/,31 days 00:00:00
16,Infinity Wars: Arachknight,2018,2,Issue,2019-01-01,Comicvine,114715,693462,Infinity Wars: Arachknight,2018, ,https://comicvine.gamespot.com/infinity-wars-arachknight-2/4000-693462/,0 days 00:00:00
17,Infinity Wars: Ghost Panther,2019,1,Issue,2019-01-01,Comicvine,115395,692546,Infinity Wars: Ghost Panther,2018, ,https://comicvine.gamespot.com/issue/4000-692546/,31 days 00:00:00
18,Infinity Wars: Ghost Panther,2019,2,Issue,2019-02-01,Comicvine,115395,694913,Infinity Wars: Ghost Panther,2018, ,https://comicvine.gamespot.com/issue/4000-694913/,62 days 00:00:00
19,Infinity Wars: Sleepwalker,2018,1,Issue,2018-12-01,Comicvine,114061,687013,Infinity Wars: Sleepwalker,2018, ,https://comicvine.gamespot.com/infinity-wars-sleepwalker-1/4000-687013/,0 days 00:00:00
20,Infinity Wars: Sleepwalker,2018,2,Issue,2018-12-01,Comicvine,114061,689864,Infinity Wars: Sleepwalker,2018, ,https://comicvine.gamespot.com/infinity-wars-sleepwalker-2/4000-689864/,31 days 00:00:00
21,Infinity Wars: Sleepwalker,2018,3,Issue,2019-01-01,Comicvine,114061,692547,Infinity Wars: Sleepwalker,2018, ,https://comicvine.gamespot.com/infinity-wars-sleepwalker-3/4000-692547/,31 days 00:00:00
22,Infinity Wars: Sleepwalker,2018,4,Issue,2019-02-01,Comicvine,114061,694914,Infinity Wars: Sleepwalker,2018, ,https://comicvine.gamespot.com/infinity-wars-sleepwalker-4/4000-694914/,31 days 00:00:00
23,Infinity Wars: Infinity Warps,2019,1,Issue,2019-01-01,Comicvine,115259,692069,Infinity Wars: Infinity Warps,2018, ,https://comicvine.gamespot.com/issue/4000-692069/,31 days 00:00:00
24,Infinity Wars: Infinity Warps,2019,2,Issue,2019-02-01,Comicvine,115259,694132,Infinity Wars: Infinity Warps,2018, ,https://comicvine.gamespot.com/issue/4000-694132/,31 days 00:00:00
25,Asgardians of the Galaxy,2018,3,Issue,2019-01-01,Comicvine,113217,691372,Asgardians of the Galaxy,2018, ,https://comicvine.gamespot.com/asgardians-of-the-galaxy-3/4000-691372/,31 days 00:00:00
26,Asgardians of the Galaxy,2018,4,Issue,2019-02-01,Comicvine,113217,694903,Asgardians of the Galaxy,2018, ,https://comicvine.gamespot.com/asgardians-of-the-galaxy-4/4000-694903/,28 days 00:00:00
27,Asgardians of the Galaxy,2018,5,Issue,2019-03-01,Comicvine,113217,697625,Asgardians of the Galaxy,2018, ,https://comicvine.gamespot.com/asgardians-of-the-galaxy-5/4000-697625/,59 days 00:00:00
