,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Inhumanity,2013,1,Issue,2014-03-31,Comicvine,69688,435583,Inhumanity,2013, ,https://comicvine.gamespot.com/inhumanity-1/4000-435583/,58 days 00:00:00
2,Inhumanity: Awakening,2014,1,Issue,2014-02-01,Comicvine,69866,436199,Inhumanity: The Awakening,2013, ,https://comicvine.gamespot.com/issue/4000-436199/,28 days 00:00:00
3,Inhumanity: Awakening,2014,2,Issue,2014-03-01,Comicvine,69866,441415,Inhumanity: The Awakening,2013, ,https://comicvine.gamespot.com/issue/4000-441415/,30 days 00:00:00
4,Uncanny X-Men,2013,15,Issue,2014-03-31,Comicvine,57181,436208,Uncanny X-Men,2013, ,https://comicvine.gamespot.com/uncanny-x-men-15-inh/4000-436208/,0 days 00:00:00
5,Inhumanity,2013,2,Issue,2014-03-31,Comicvine,69688,443983,Inhumanity,2013, ,https://comicvine.gamespot.com/inhumanity-2/4000-443983/,59 days 00:00:00
6,Avengers Assemble,2012,21,Issue,2014-01-31,Comicvine,46569,435049,Avengers Assemble,2012, ,https://comicvine.gamespot.com/avengers-assemble-21-inhumanity-all-the-spider-lad/4000-435049/,59 days 00:00:00
7,Avengers Assemble,2012,22,Issue,2014-03-31,Comicvine,46569,437485,Avengers Assemble,2012, ,https://comicvine.gamespot.com/avengers-assemble-22-along-came-a-spider-girl/4000-437485/,31 days 00:00:00
8,Avengers A.I.,2013,7,Issue,2014-02-28,Comicvine,64683,436192,Avengers A.I.,2013, ,https://comicvine.gamespot.com/avengers-a-i-7-initiate-chapter-7/4000-436192/,1 days 00:00:00
9,Inhumanity: Superior Spider-Man,2014,1,Issue,2014-03-01,Comicvine,70898,442168,Inhumanity: Superior Spider-Man,2014, ,https://comicvine.gamespot.com/inhumanity-the-superior-spider-man-1/4000-442168/,30 days 00:00:00
10,Avengers Assemble,2012,23,Issue,2014-03-31,Comicvine,46569,443979,Avengers Assemble,2012, ,https://comicvine.gamespot.com/avengers-assemble-23-inh-does-whatever-a-wolverine/4000-443979/,58 days 00:00:00
11,Mighty Avengers,2013,4,Issue,2014-02-01,Comicvine,67223,436204,Mighty Avengers,2013, ,https://comicvine.gamespot.com/mighty-avengers-4/4000-436204/,28 days 00:00:00
12,Mighty Avengers,2013,5,Issue,2014-03-01,Comicvine,67223,442926,Mighty Avengers,2013, ,https://comicvine.gamespot.com/mighty-avengers-5/4000-442926/,60 days 00:00:00
13,Avengers Assemble,2012,24,Issue,2014-04-30,Comicvine,46569,446477,Avengers Assemble,2012, ,https://comicvine.gamespot.com/avengers-assemble-24-iron-spider/4000-446477/,31 days 00:00:00
14,Avengers Assemble,2012,25,Issue,2014-05-31,Comicvine,46569,448963,Avengers Assemble,2012, ,https://comicvine.gamespot.com/avengers-assemble-25-bring-it/4000-448963/,61 days 00:00:00
15,Iron Man,2013,20.INH,Issue,2014-03-31,Comicvine,53725,442923,Iron Man,2013, ,https://comicvine.gamespot.com/iron-man-20-inh/4000-442923/,59 days 00:00:00
16,Indestructible Hulk,2013,16,Issue,2014-01-31,Comicvine,54112,435054,Indestructible Hulk,2012, ,https://comicvine.gamespot.com/issue/4000-435054/,59 days 00:00:00
17,Indestructible Hulk,2013,17,Issue,2014-03-31,Comicvine,54112,437491,Indestructible Hulk,2012, ,https://comicvine.gamespot.com/issue/4000-437491/,0 days 00:00:00
18,Indestructible Hulk,2013,18,Issue,2014-03-31,Comicvine,54112,442922,Indestructible Hulk,2012, ,https://comicvine.gamespot.com/issue/4000-442922/,30 days 00:00:00
19,Indestructible Hulk,2013,19,Issue,2014-04-30,Comicvine,54112,446484,Indestructible Hulk,2012, ,https://comicvine.gamespot.com/issue/4000-446484/,31 days 00:00:00
20,Indestructible Hulk,2013,20,Issue,2014-05-31,Comicvine,54112,448969,Indestructible Hulk,2012, ,https://comicvine.gamespot.com/issue/4000-448969/,92 days 00:00:00
21,New Avengers,2013,13,Issue,2014-02-28,Comicvine,55330,440250,New Avengers,2013, ,https://comicvine.gamespot.com/new-avengers-13-inhumanity/4000-440250/,0 days 00:00:00
