,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Dark Reign: New Nation,2009,1,Issue,2009-02-01,Comicvine,24870,146783,Dark Reign: New Nation,2009, ,https://comicvine.gamespot.com/dark-reign-new-nation-1/4000-146783/,59 days 00:00:00
2,Secret Warriors,2009,1,Issue,2009-04-01,Comicvine,25640,151137,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-1-nick-fury-agent-of-nothing-part-/4000-151137/,30 days 00:00:00
3,Secret Warriors,2009,2,Issue,2009-05-01,Comicvine,25640,153061,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-2-nick-fury-agent-of-nothing-part-/4000-153061/,31 days 00:00:00
4,Secret Warriors,2009,3,Issue,2009-06-01,Comicvine,25640,154618,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-3-nick-fury-agent-of-nothing-part-/4000-154618/,30 days 00:00:00
5,Secret Warriors,2009,4,Issue,2009-07-01,Comicvine,25640,156738,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-4-nick-fury-agent-of-nothing-part-/4000-156738/,31 days 00:00:00
6,Secret Warriors,2009,5,Issue,2009-08-01,Comicvine,25640,161533,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-5-nick-fury-agent-of-nothing-part-/4000-161533/,31 days 00:00:00
7,Secret Warriors,2009,6,Issue,2009-09-01,Comicvine,25640,165437,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-6-nick-fury-agent-of-nothing-part-/4000-165437/,123 days 00:00:00
8,Dark Reign: Fantastic Four,2009,1,Issue,2009-05-01,Comicvine,25905,153086,Dark Reign: Fantastic Four,2009, ,https://comicvine.gamespot.com/dark-reign-fantastic-four-1-the-bridge-chapter-one/4000-153086/,31 days 00:00:00
9,Dark Reign: Fantastic Four,2009,2,Issue,2009-06-01,Comicvine,25905,154458,Dark Reign: Fantastic Four,2009, ,https://comicvine.gamespot.com/dark-reign-fantastic-four-2-the-bridge-chapter-two/4000-154458/,30 days 00:00:00
10,Dark Reign: Fantastic Four,2009,3,Issue,2009-07-01,Comicvine,25905,157851,Dark Reign: Fantastic Four,2009, ,https://comicvine.gamespot.com/dark-reign-fantastic-four-3-the-bridge-chapter-thr/4000-157851/,61 days 00:00:00
11,Dark Reign: Fantastic Four,2009,4,Issue,2009-08-31,Comicvine,25905,160863,Dark Reign: Fantastic Four,2009, ,https://comicvine.gamespot.com/dark-reign-fantastic-four-4-the-bridge-chapter-fou/4000-160863/,30 days 00:00:00
12,Dark Reign: Fantastic Four,2009,5,Issue,2009-09-30,Comicvine,25905,164984,Dark Reign: Fantastic Four,2009, ,https://comicvine.gamespot.com/dark-reign-fantastic-four-5-the-bridge-chapter-fiv/4000-164984/,121 days 00:00:00
13,Dark Reign: The Cabal,2009,1,Issue,2009-06-01,Comicvine,26305,156209,Dark Reign: The Cabal,2009, ,https://comicvine.gamespot.com/dark-reign-the-cabal-1/4000-156209/,122 days 00:00:00
14,Secret Warriors,2009,7,Issue,2009-10-01,Comicvine,25640,168311,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-7-i-know-who-you-work-for/4000-168311/,60 days 00:00:00
15,Secret Warriors,2009,8,Issue,2009-11-30,Comicvine,25640,174015,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-8-i-m-the-perfect-means-to-an-end/4000-174015/,1 days 00:00:00
16,Secret Warriors,2009,9,Issue,2009-12-01,Comicvine,25640,179197,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-9-the-starting-point-is-everything/4000-179197/,0 days 00:00:00
17,Dark Reign The List: Secret Warriors,2009,1,Issue,2009-12-01,Comicvine,28411,174972,Dark Reign: The List - Secret Warriors,2009, ,https://comicvine.gamespot.com/dark-reign-the-list-secret-warriors-1-leviathan/4000-174972/,31 days 00:00:00
18,Secret Warriors,2009,10,Issue,2010-01-01,Comicvine,25640,184810,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-10-there-will-always-be-war/4000-184810/,31 days 00:00:00
19,Secret Warriors,2009,11,Issue,2010-02-01,Comicvine,25640,189566,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-11-this-a-blade-with-a-purpose/4000-189566/,28 days 00:00:00
20,Secret Warriors,2009,12,Issue,2010-03-01,Comicvine,25640,194443,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-12-the-old-order-is-waking-from-a-/4000-194443/,31 days 00:00:00
21,Secret Warriors,2009,13,Issue,2010-04-01,Comicvine,25640,198262,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-13-this-is-a-place-of-testing/4000-198262/,30 days 00:00:00
22,Secret Warriors,2009,14,Issue,2010-05-01,Comicvine,25640,201848,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-14-taunt-the-baron-tempt-the-fury/4000-201848/,31 days 00:00:00
23,Secret Warriors,2009,15,Issue,2010-06-01,Comicvine,25640,210239,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-15-death-and-the-dread-that-surely/4000-210239/,30 days 00:00:00
24,Secret Warriors,2009,16,Issue,2010-07-01,Comicvine,25640,216235,Secret Warriors,2009, ,https://comicvine.gamespot.com/secret-warriors-16-become-the-man-you-were-meant-t/4000-216235/,263 days 00:00:00
25,Fantastic Four,1988,570,Issue,2009-10-11,Comicvine,6211,168301,Fantastic Four,1998, ,https://comicvine.gamespot.com/issue/4000-168301/,31 days 00:00:00
