,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Iron Man 2020,2020,1,Issue,2020-03-01,Comicvine,124276,733822,Iron Man 2020,2020, ,https://comicvine.gamespot.com/iron-man-2020-1/4000-733822/,31 days 00:00:00
2,Iron Man 2020,2020,2,Issue,2020-04-01,Comicvine,124276,737160,Iron Man 2020,2020, ,https://comicvine.gamespot.com/iron-man-2020-2-the-rebel-compliance/4000-737160/,0 days 00:00:00
3,2020 Machine Man,2020,1,Issue,2020-04-01,Comicvine,125119,737747,2020 Machine Man,2020, ,https://comicvine.gamespot.com/2020-machine-man-1-computer-love-part-1-if-they-be/4000-737747/,0 days 00:00:00
4,2020 Force Works,2020,1,Issue,2020-04-01,Comicvine,125299,738602,2020 Force Works,2020, ,https://comicvine.gamespot.com/2020-force-works-1/4000-738602/,30 days 00:00:00
5,Iron Man 2020,2020,3,Issue,2020-05-01,Comicvine,124276,739559,Iron Man 2020,2020, ,https://comicvine.gamespot.com/iron-man-2020-3-the-kill-switch/4000-739559/,0 days 00:00:00
6,2020 Machine Man,2020,2,Issue,2020-05-01,Comicvine,125119,742360,2020 Machine Man,2020, ,https://comicvine.gamespot.com/2020-machine-man-2-computer-love-part-2-the-leap/4000-742360/,0 days 00:00:00
7,2020 Force Works,2020,2,Issue,2020-05-01,Comicvine,125299,743434,2020 Force Works,2020, ,https://comicvine.gamespot.com/2020-force-works-2/4000-743434/,0 days 00:00:00
8,2020 Iron Age,2020,1,Issue,2020-05-01,Comicvine,125809,742359,2020 Iron Age,2020, ,https://comicvine.gamespot.com/2020-iron-age-1/4000-742359/,0 days 00:00:00
9,2020 Rescue,2020,1,Issue,2020-05-01,Comicvine,125474,739550,2020 Rescue,2020, ,https://comicvine.gamespot.com/2020-rescue-1/4000-739550/,19 days 00:00:00
10,2020 Iron Heart,2020,1,Issue,2020-05-20,Comicvine,127179,762409,2020 Ironheart,2020, ,https://comicvine.gamespot.com/2020-ironheart-1/4000-762409/,73 days 00:00:00
11,Iron Man 2020,2020,4,Issue,2020-08-01,Comicvine,124276,769753,Iron Man 2020,2020, ,https://comicvine.gamespot.com/iron-man-2020-4/4000-769753/,61 days 00:00:00
12,2020 Force Works,2020,3,Issue,2020-10-01,Comicvine,125299,766403,2020 Force Works,2020, ,https://comicvine.gamespot.com/2020-force-works-3/4000-766403/,61 days 00:00:00
13,2020 Rescue,2020,2,Issue,2020-08-01,Comicvine,125474,769749,2020 Rescue,2020, ,https://comicvine.gamespot.com/2020-rescue-2/4000-769749/,44 days 00:00:00
14,2020 Iron Heart,2020,2,Issue,2020-06-18,Comicvine,127179,768542,2020 Ironheart,2020, ,https://comicvine.gamespot.com/2020-ironheart-2/4000-768542/,75 days 00:00:00
15,iWolverine,2020,1,Issue,2020-09-01,Comicvine,128614,779000,2020 iWolverine,2020, ,https://comicvine.gamespot.com/issue/4000-779000/,0 days 00:00:00
16,Iron Man 2020,2020,5,Issue,2020-09-01,Comicvine,124276,784411,Iron Man 2020,2020, ,https://comicvine.gamespot.com/iron-man-2020-5/4000-784411/,30 days 00:00:00
17,iWolverine,2020,2,Issue,2020-10-01,Comicvine,128614,796291,2020 iWolverine,2020, ,https://comicvine.gamespot.com/issue/4000-796291/,0 days 00:00:00
18,Iron Man 2020,2020,6,Issue,2020-10-01,Comicvine,124276,796299,Iron Man 2020,2020, ,https://comicvine.gamespot.com/iron-man-2020-6/4000-796299/,0 days 00:00:00
