,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,What If?,1989,105,Issue,1998-02-01,Comicvine,4249,44687,What If...?,1989, ,https://comicvine.gamespot.com/what-if-105-legacy-in-black-and-white/4000-44687/,272 days 00:00:00
2,Spider-Girl,1998,1,Issue,1998-10-31,Comicvine,6218,45395,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-1-choices/4000-45395/,0 days 00:00:00
3,J2,1998,1,Issue,1998-10-31,Comicvine,6216,45402,J2,1998, ,https://comicvine.gamespot.com/j2-1-call-the-kid-j2-decisions-decisions-rocked-by/4000-45402/,0 days 00:00:00
4,A-Next,1998,1,Issue,1998-10-31,Comicvine,6205,45394,A-Next,1998, ,https://comicvine.gamespot.com/a-next-1-second-coming/4000-45394/,30 days 00:00:00
5,J2,1998,2,Issue,1998-11-30,Comicvine,6216,45474,J2,1998, ,https://comicvine.gamespot.com/j2-2-secrets-and-lines-or-keeping-a-dual-identity-/4000-45474/,0 days 00:00:00
6,A-Next,1998,2,Issue,1998-11-30,Comicvine,6205,45466,A-Next,1998, ,https://comicvine.gamespot.com/a-next-2-suddenlythe-sentry/4000-45466/,0 days 00:00:00
7,Spider-Girl,1998,2,Issue,1998-11-30,Comicvine,6218,45467,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-2-bedeviled/4000-45467/,31 days 00:00:00
8,Spider-Girl,1998,3,Issue,1998-12-31,Comicvine,6218,45526,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-3-fun-n-games-with-the-fantastic-five/4000-45526/,31 days 00:00:00
9,Spider-Girl,1998,4,Issue,1999-01-31,Comicvine,6218,45618,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-4-deadly-is-the-dragon-king/4000-45618/,31 days 00:00:00
10,A-Next,1998,3,Issue,1998-12-31,Comicvine,6205,45525,A-Next,1998, ,https://comicvine.gamespot.com/a-next-3-down-n-dirty-with-the-defenders/4000-45525/,0 days 00:00:00
11,J2,1998,3,Issue,1998-12-31,Comicvine,6216,45534,J2,1998, ,https://comicvine.gamespot.com/j2-3-hittin-n-hasslin-with-the-hulk/4000-45534/,31 days 00:00:00
12,A-Next,1998,4,Issue,1999-01-31,Comicvine,6205,45617,A-Next,1998, ,https://comicvine.gamespot.com/a-next-4-who-shall-be-worthy/4000-45617/,0 days 00:00:00
13,J2,1998,4,Issue,1999-01-31,Comicvine,6216,45626,J2,1998, ,https://comicvine.gamespot.com/j2-4-father-hunt/4000-45626/,28 days 00:00:00
14,Spider-Girl,1998,5,Issue,1999-02-28,Comicvine,6218,45679,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-5-a-touch-of-venom/4000-45679/,0 days 00:00:00
15,A-Next,1998,5,Issue,1999-02-28,Comicvine,6205,45678,A-Next,1998, ,https://comicvine.gamespot.com/a-next-5-the-gift/4000-45678/,31 days 00:00:00
16,Spider-Girl,1998,6,Issue,1999-03-31,Comicvine,6218,45735,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-6-look-out-for-ladyhawk/4000-45735/,31 days 00:00:00
17,J2,1998,5,Issue,1999-02-28,Comicvine,6216,45687,J2,1998, ,https://comicvine.gamespot.com/j2-5-wild-thing/4000-45687/,31 days 00:00:00
18,A-Next,1998,6,Issue,1999-03-31,Comicvine,6205,45734,A-Next,1998, ,https://comicvine.gamespot.com/a-next-6-and-now-argo-the-almighty/4000-45734/,0 days 00:00:00
19,J2,1998,6,Issue,1999-03-31,Comicvine,6216,45740,J2,1998, ,https://comicvine.gamespot.com/j2-6-when-magneta-strikes-the-letter-little-red-th/4000-45740/,30 days 00:00:00
20,Spider-Girl,1998,7,Issue,1999-04-30,Comicvine,6218,45784,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-7-secrets/4000-45784/,0 days 00:00:00
21,J2,1998,7,Issue,1999-04-30,Comicvine,6216,45791,J2,1998, ,https://comicvine.gamespot.com/j2-7-the-last-days-of-the-original-juggernaut-girl/4000-45791/,0 days 00:00:00
22,A-Next,1998,7,Issue,1999-04-30,Comicvine,6205,45783,A-Next,1998, ,https://comicvine.gamespot.com/a-next-7-after-the-fall/4000-45783/,31 days 00:00:00
23,A-Next,1998,8,Issue,1999-05-31,Comicvine,6205,45832,A-Next,1998, ,https://comicvine.gamespot.com/a-next-8-into-the-depths/4000-45832/,0 days 00:00:00
24,Spider-Girl,1998,8,Issue,1999-05-31,Comicvine,6218,45833,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-8-two-of-a-kind/4000-45833/,0 days 00:00:00
25,J2,1998,8,Issue,1999-05-31,Comicvine,6216,45838,J2,1998, ,https://comicvine.gamespot.com/j2-8-team-up-traumas-j2s-funny-fairy-tales-for-foo/4000-45838/,30 days 00:00:00
26,Spider-Girl,1998,9,Issue,1999-06-30,Comicvine,6218,45877,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-9-training-matters/4000-45877/,0 days 00:00:00
27,J2,1998,9,Issue,1999-06-30,Comicvine,6216,45882,J2,1998, ,https://comicvine.gamespot.com/j2-9-big-julie-the-gangster-gorilla-daddys-little-/4000-45882/,31 days 00:00:00
28,Spider-Girl,1998,10,Issue,1999-07-31,Comicvine,6218,45922,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-10-father-s-day/4000-45922/,31 days 00:00:00
29,Spider-Girl,1998,11,Issue,1999-08-31,Comicvine,6218,45957,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-11-slayers-spiders-and-torches-oh-my/4000-45957/,31 days 00:00:00
30,J2,1998,10,Issue,1999-07-31,Comicvine,6216,45925,J2,1998, ,https://comicvine.gamespot.com/j2-10-on-the-road-with-wolverine-j2s-funny-fairy-t/4000-45925/,31 days 00:00:00
31,J2,1998,11,Issue,1999-08-31,Comicvine,6216,45959,J2,1998, ,https://comicvine.gamespot.com/j2-11-the-master-of-jug-fu-gauntlet/4000-45959/,62 days 00:00:00
32,A-Next,1998,9,Issue,1999-06-30,Comicvine,6205,45876,A-Next,1998, ,https://comicvine.gamespot.com/a-next-9-team-matters/4000-45876/,31 days 00:00:00
33,A-Next,1998,10,Issue,1999-07-31,Comicvine,6205,45921,A-Next,1998, ,https://comicvine.gamespot.com/a-next-10-ragnarok/4000-45921/,31 days 00:00:00
34,A-Next,1998,11,Issue,1999-08-31,Comicvine,6205,45956,A-Next,1998, ,https://comicvine.gamespot.com/a-next-11-crucible/4000-45956/,30 days 00:00:00
35,A-Next,1998,12,Issue,1999-09-30,Comicvine,6205,46003,A-Next,1998, ,https://comicvine.gamespot.com/a-next-12-the-end-of-the-avengers/4000-46003/,0 days 00:00:00
36,Spider-Girl,1998,12,Issue,1999-09-30,Comicvine,6218,46004,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-12-duel-with-darkdevil/4000-46004/,0 days 00:00:00
37,J2,1998,12,Issue,1999-09-30,Comicvine,6216,46006,J2,1998, ,https://comicvine.gamespot.com/j2-12-deadly-reunion/4000-46006/,61 days 00:00:00
38,Spider-Girl,1998,½,Issue,1999-07-31,Comicvine,6218,140972,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-12-seeing-isnt-believing/4000-140972/,61 days 00:00:00
39,Spider-Girl Annual,1999,1,Issue,1999-09-30,Comicvine,23208,139640,Spider-Girl 1999,1999, ,https://comicvine.gamespot.com/issue/4000-139640/,31 days 00:00:00
40,Spider-Girl,1998,13,Issue,1999-10-31,Comicvine,6218,46048,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-13-and-now-the-avengers/4000-46048/,60 days 00:00:00
41,Wild Thing,1999,0,Issue,1999-09-01,Comicvine,6360,106088,Wild Thing,1999, ,https://comicvine.gamespot.com/wild-thing-0-curse-of-the-wendigo/4000-106088/,60 days 00:00:00
42,Fantastic Five,1999,1,Issue,1999-10-31,Comicvine,6355,46075,Fantastic Five,1999, ,https://comicvine.gamespot.com/fantastic-five-1-5/4000-46075/,0 days 00:00:00
43,Wild Thing,1999,1,Issue,1999-10-31,Comicvine,6360,46069,Wild Thing,1999, ,https://comicvine.gamespot.com/wild-thing-1-crash-course-5/4000-46069/,30 days 00:00:00
44,Spider-Girl,1998,14,Issue,1999-11-30,Comicvine,6218,46092,Spider-Girl,1998, ,https://comicvine.gamespot.com/spider-girl-14-defeated-by-kaine/4000-46092/,31 days 00:00:00
