,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Army of Darkness,2006,12,Issue,2008-09-30,Comicvine,19006,137435,Army of Darkness,2007, ,https://comicvine.gamespot.com/issue/4000-137435/,31 days 00:00:00
2,Army of Darkness,2006,13,Issue,2008-10-31,Comicvine,19006,139712,Army of Darkness,2007, ,https://comicvine.gamespot.com/issue/4000-139712/,519 days 00:00:00
3,Marvel Zombies vs The Army of Darkness,2007,1,Issue,2007-05-31,Comicvine,18236,106791,Marvel Zombies/Army of Darkness,2007, ,https://comicvine.gamespot.com/issue/4000-106791/,1 days 00:00:00
4,Marvel Zombies vs The Army of Darkness,2007,2,Issue,2007-06-01,Comicvine,18236,107997,Marvel Zombies/Army of Darkness,2007, ,https://comicvine.gamespot.com/issue/4000-107997/,60 days 00:00:00
5,Marvel Zombies: Dead Days,2007,1,Issue,2007-07-31,Comicvine,18558,109272,Marvel Zombies: Dead Days,2007, ,https://comicvine.gamespot.com/marvel-zombies-dead-days-1/4000-109272/,30 days 00:00:00
6,Marvel Zombies vs The Army of Darkness,2007,3,Issue,2007-07-01,Comicvine,18236,108930,Marvel Zombies/Army of Darkness,2007, ,https://comicvine.gamespot.com/issue/4000-108930/,31 days 00:00:00
7,Marvel Zombies vs The Army of Darkness,2007,4,Issue,2007-08-01,Comicvine,18236,110269,Marvel Zombies/Army of Darkness,2007, ,https://comicvine.gamespot.com/issue/4000-110269/,60 days 00:00:00
8,Marvel Zombies vs The Army of Darkness,2007,5,Issue,2007-09-30,Comicvine,18236,111498,Marvel Zombies/Army of Darkness,2007, ,https://comicvine.gamespot.com/issue/4000-111498/,759 days 00:00:00
9,Ultimate Fantastic Four,2004,21,Issue,2005-09-01,Comicvine,10379,111752,Ultimate Fantastic Four,2004, ,https://comicvine.gamespot.com/ultimate-fantastic-four-21-crossover-part-1/4000-111752/,30 days 00:00:00
10,Ultimate Fantastic Four,2004,22,Issue,2005-10-01,Comicvine,10379,111753,Ultimate Fantastic Four,2004, ,https://comicvine.gamespot.com/ultimate-fantastic-four-22-crossover-part-2/4000-111753/,31 days 00:00:00
11,Ultimate Fantastic Four,2004,23,Issue,2005-11-01,Comicvine,10379,111754,Ultimate Fantastic Four,2004, ,https://comicvine.gamespot.com/ultimate-fantastic-four-23-crossover-part-3/4000-111754/,119 days 00:00:00
12,Marvel Zombies,2006,1,Issue,2006-02-28,Comicvine,19252,115533,Marvel Zombies,2005, ,https://comicvine.gamespot.com/issue/4000-115533/,31 days 00:00:00
13,Marvel Zombies,2006,2,Issue,2006-03-31,Comicvine,19252,115536,Marvel Zombies,2005, ,https://comicvine.gamespot.com/issue/4000-115536/,30 days 00:00:00
14,Marvel Zombies,2006,3,Issue,2006-04-30,Comicvine,19252,115537,Marvel Zombies,2005, ,https://comicvine.gamespot.com/issue/4000-115537/,31 days 00:00:00
15,Marvel Zombies,2006,4,Issue,2006-05-31,Comicvine,19252,115538,Marvel Zombies,2005, ,https://comicvine.gamespot.com/issue/4000-115538/,30 days 00:00:00
16,Marvel Zombies,2006,5,Issue,2006-06-30,Comicvine,19252,115539,Marvel Zombies,2005, ,https://comicvine.gamespot.com/issue/4000-115539/,1 days 00:00:00
17,Ultimate Fantastic Four,2004,30,Issue,2006-07-01,Comicvine,10379,108690,Ultimate Fantastic Four,2004, ,https://comicvine.gamespot.com/ultimate-fantastic-four-30-frightful-part-1/4000-108690/,31 days 00:00:00
18,Ultimate Fantastic Four,2004,31,Issue,2006-08-01,Comicvine,10379,111731,Ultimate Fantastic Four,2004, ,https://comicvine.gamespot.com/ultimate-fantastic-four-31-frightful-part-2/4000-111731/,0 days 00:00:00
19,Ultimate Fantastic Four,2004,32,Issue,2006-08-01,Comicvine,10379,111732,Ultimate Fantastic Four,2004, ,https://comicvine.gamespot.com/ultimate-fantastic-four-32-frightful-part-3/4000-111732/,61 days 00:00:00
20,Exiles,2001,85,Issue,2006-10-01,Comicvine,6983,106038,Exiles,2001, ,https://comicvine.gamespot.com/exiles-85-the-new-exiles-part-1-of-2/4000-106038/,31 days 00:00:00
21,Exiles,2001,86,Issue,2006-11-01,Comicvine,6983,106039,Exiles,2001, ,https://comicvine.gamespot.com/exiles-86-the-new-exiles-part-2-of-2/4000-106039/,150 days 00:00:00
22,Ultimate Civil War: Spider-Ham,2007,1,Issue,2007-03-31,Comicvine,18141,106287,Ultimate Civil War: Spider-Ham,2007, ,https://comicvine.gamespot.com/ultimate-civil-war-spider-ham-1-pig-tale/4000-106287/,31 days 00:00:00
23,Black Panther,2005,26,Issue,2007-05-01,Comicvine,11502,107598,Black Panther,2005, ,https://comicvine.gamespot.com/black-panther-26-two-plus-two-part-1-home-invasion/4000-107598/,10 days 00:00:00
24,Fantastic Four,1988,544,Issue,2007-05-11,Comicvine,6211,107597,Fantastic Four,1998, ,https://comicvine.gamespot.com/issue/4000-107597/,31 days 00:00:00
25,Fantastic Four,1988,545,Issue,2007-06-11,Comicvine,6211,108761,Fantastic Four,1998, ,https://comicvine.gamespot.com/issue/4000-108761/,30 days 00:00:00
26,Fantastic Four,1988,546,Issue,2007-07-11,Comicvine,6211,109820,Fantastic Four,1998, ,https://comicvine.gamespot.com/issue/4000-109820/,40 days 00:00:00
27,Black Panther,2005,27,Issue,2007-06-01,Comicvine,11502,109262,Black Panther,2005, ,https://comicvine.gamespot.com/black-panther-27-two-plus-two-part-2/4000-109262/,30 days 00:00:00
28,Black Panther,2005,28,Issue,2007-07-01,Comicvine,11502,111034,Black Panther,2005, ,https://comicvine.gamespot.com/black-panther-28-hell-of-a-mess/4000-111034/,24 days 00:00:00
29,Black Panther,2005,29,Issue,2007-07-25,Comicvine,11502,112181,Black Panther,2005, ,https://comicvine.gamespot.com/black-panther-29-from-bad-to-worse/4000-112181/,68 days 00:00:00
30,Black Panther,2005,30,Issue,2007-10-01,Comicvine,11502,113968,Black Panther,2005, ,https://comicvine.gamespot.com/black-panther-30-absolutely-no-way-to-win/4000-113968/,91 days 00:00:00
31,Marvel Zombies 2,2007,1,Issue,2007-12-31,Comicvine,19255,115540,Marvel Zombies 2,2007, ,https://comicvine.gamespot.com/marvel-zombies-2-1-untitled/4000-115540/,31 days 00:00:00
