,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Spider-Man Unlimited,1993,1,Issue,1993-05-01,Comicvine,5048,57288,Spider-Man Unlimited,1993, ,https://comicvine.gamespot.com/spider-man-unlimited-1-maximum-carnage-part-1-begi/4000-57288/,31 days 00:00:00
2,Web of Spider-Man,1985,101,Issue,1993-06-01,Comicvine,3519,37378,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-101-maximum-carnage-part-2-darkl/4000-37378/,0 days 00:00:00
3,Amazing Spider-Man,1963,378,Issue,1993-06-01,Comicvine,2127,37416,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-378-maximum-carnage-part-3-/4000-37416/,0 days 00:00:00
4,Spider-Man,1990,35,Issue,1993-06-01,Comicvine,4421,37374,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-35-maximum-carnage-part-4-team-venom/4000-37374/,0 days 00:00:00
5,Spectacular Spider-Man,1976,201,Issue,1993-06-01,Comicvine,2870,65595,The Spectacular Spider-Man,1976, ,https://comicvine.gamespot.com/the-spectacular-spider-man-201-maximum-carnage-par/4000-65595/,30 days 00:00:00
6,Web of Spider-Man,1985,102,Issue,1993-07-01,Comicvine,3519,37530,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-102-maximum-carnage-part-6-sinki/4000-37530/,0 days 00:00:00
7,Amazing Spider-Man,1963,379,Issue,1993-07-01,Comicvine,2127,37565,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-379-maximum-carnage-part-7-/4000-37565/,0 days 00:00:00
8,Spider-Man,1990,36,Issue,1993-07-01,Comicvine,4421,37526,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-36-maximum-carnage-part-8-hate-is-in-th/4000-37526/,0 days 00:00:00
9,Spectacular Spider-Man,1976,202,Issue,1993-07-01,Comicvine,2870,65596,The Spectacular Spider-Man,1976, ,https://comicvine.gamespot.com/the-spectacular-spider-man-202-maximum-carnage-par/4000-65596/,31 days 00:00:00
10,Web of Spider-Man,1985,103,Issue,1993-08-01,Comicvine,3519,37672,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-103-maximum-carnage-part-10-sin-/4000-37672/,0 days 00:00:00
11,Amazing Spider-Man,1963,380,Issue,1993-08-01,Comicvine,2127,37703,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-380-maximum-carnage-part-11/4000-37703/,0 days 00:00:00
12,Spider-Man,1990,37,Issue,1993-08-01,Comicvine,4421,37668,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-37-maximum-carnage-part-12-the-light/4000-37668/,0 days 00:00:00
13,Spectacular Spider-Man,1976,203,Issue,1993-08-01,Comicvine,2870,65597,The Spectacular Spider-Man,1976, ,https://comicvine.gamespot.com/the-spectacular-spider-man-203-maximum-carnage-par/4000-65597/,0 days 00:00:00
14,Spider-Man Unlimited,1993,2,Issue,1993-08-01,Comicvine,5048,57289,Spider-Man Unlimited,1993, ,https://comicvine.gamespot.com/spider-man-unlimited-2-maximum-carnage-part-14-the/4000-57289/,0 days 00:00:00
