,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Maximum Security: Dangerous Planet,2000,1,Issue,2000-10-01,Comicvine,25647,151181,Maximum Security Dangerous Planet,2000, ,https://comicvine.gamespot.com/maximum-security-dangerous-planet-1-a-very-dangero/4000-151181/,30 days 00:00:00
2,Amazing Spider-Man,1999,22,Issue,2000-10-31,Comicvine,78701,113453,The Amazing Spider-Man,1999, ,https://comicvine.gamespot.com/the-amazing-spider-man-22-the-distinguished-gentle/4000-113453/,30 days 00:00:00
3,Amazing Spider-Man,1999,23,Issue,2000-11-30,Comicvine,78701,113454,The Amazing Spider-Man,1999, ,https://comicvine.gamespot.com/the-amazing-spider-man-23-how-many-times/4000-113454/,31 days 00:00:00
4,Amazing Spider-Man,1999,24,Issue,2000-12-31,Comicvine,78701,113455,The Amazing Spider-Man,1999, ,https://comicvine.gamespot.com/the-amazing-spider-man-24-distinguished-gentleman-/4000-113455/,61 days 00:00:00
5,Iron Man,1998,33,Issue,2000-10-31,Comicvine,6504,131908,Iron Man,1998, ,https://comicvine.gamespot.com/iron-man-33-power/4000-131908/,30 days 00:00:00
6,Iron Man,1998,34,Issue,2000-11-30,Comicvine,6504,131909,Iron Man,1998, ,https://comicvine.gamespot.com/iron-man-34-power-part-2-villains/4000-131909/,29 days 00:00:00
7,Peter Parker: Spider-Man,1999,23,Issue,2000-11-01,Comicvine,9142,68500,Peter Parker: Spider-Man,1999, ,https://comicvine.gamespot.com/peter-parker-spider-man-23-read-em-and-weep/4000-68500/,30 days 00:00:00
8,Peter Parker: Spider-Man,1999,24,Issue,2000-12-01,Comicvine,9142,68501,Peter Parker: Spider-Man,1999, ,https://comicvine.gamespot.com/peter-parker-spider-man-24-warning-signs/4000-68501/,0 days 00:00:00
9,Captain America,1998,36,Issue,2000-12-01,Comicvine,6206,65839,Captain America,1998, ,https://comicvine.gamespot.com/captain-america-36-maelstrom-within/4000-65839/,0 days 00:00:00
10,Maximum Security,2000,1,Issue,2000-12-01,Comicvine,20450,122425,Maximum Security,2000, ,https://comicvine.gamespot.com/maximum-security-1-illegal-aliens/4000-122425/,0 days 00:00:00
11,Thor,1998,30,Issue,2000-12-01,Comicvine,6226,128472,Thor,1998, ,https://comicvine.gamespot.com/thor-30-winters-edge/4000-128472/,0 days 00:00:00
12,Uncanny X-Men,1981,387,Issue,2000-12-01,Comicvine,3092,65163,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-387-cry-justice-cry-vengeance/4000-65163/,0 days 00:00:00
13,Black Panther,1998,25,Issue,2000-12-01,Comicvine,6496,50809,Black Panther,1998, ,https://comicvine.gamespot.com/black-panther-25-passage/4000-50809/,1033 days 00:00:00
14,Captain Marvel,2002,12,Issue,2003-09-30,Comicvine,18296,152552,Captain Marvel,2002, ,https://comicvine.gamespot.com/captain-marvel-12-exhibit-a/4000-152552/,31 days 00:00:00
15,Captain Marvel,2002,13,Issue,2003-10-31,Comicvine,18296,152553,Captain Marvel,2002, ,https://comicvine.gamespot.com/captain-marvel-13-pop/4000-152553/,1044 days 00:00:00
16,Incredible Hulk,2000,21,Issue,2000-12-21,Comicvine,6558,46840,Incredible Hulk,2000, ,https://comicvine.gamespot.com/incredible-hulk-21-the-truth-is-really-out-there/4000-46840/,10 days 00:00:00
