,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Uncanny X-Men,1981,210,Issue,1986-10-01,Comicvine,3092,107057,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-210-the-morning-after/4000-107057/,0 days 00:00:00
2,X-Factor,1986,9,Issue,1986-10-01,Comicvine,3657,27290,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-9-spots/4000-27290/,31 days 00:00:00
3,Uncanny X-Men,1981,211,Issue,1986-11-01,Comicvine,3092,27396,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-211-massacre/4000-27396/,0 days 00:00:00
4,X-Factor,1986,10,Issue,1986-11-01,Comicvine,3657,27399,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-10-falling-angel/4000-27399/,30 days 00:00:00
5,New Mutants,1983,46,Issue,1986-12-01,Comicvine,3234,27523,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-46-bloody-sunday/4000-27523/,30 days 00:00:00
6,Thor,1966,373,Issue,1986-11-01,Comicvine,2294,27395,Thor,1966, ,https://comicvine.gamespot.com/thor-373-the-gift-of-death/4000-27395/,30 days 00:00:00
7,Power Pack,1984,27,Issue,1986-12-01,Comicvine,3358,27494,Power Pack,1984, ,https://comicvine.gamespot.com/power-pack-27-whose-power-/4000-27494/,0 days 00:00:00
8,Uncanny X-Men,1981,212,Issue,1986-12-01,Comicvine,3092,27501,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-212-the-last-run/4000-27501/,0 days 00:00:00
9,Thor,1966,374,Issue,1986-12-01,Comicvine,2294,27500,Thor,1966, ,https://comicvine.gamespot.com/thor-374-fires-of-the-night/4000-27500/,0 days 00:00:00
10,X-Factor,1986,11,Issue,1986-12-01,Comicvine,3657,27504,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-11-redemption/4000-27504/,31 days 00:00:00
11,Uncanny X-Men,1981,213,Issue,1987-01-01,Comicvine,3092,27691,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-213-psylocke/4000-27691/,0 days 00:00:00
12,Daredevil,1964,238,Issue,1987-01-01,Comicvine,2190,27676,Daredevil,1964, ,https://comicvine.gamespot.com/daredevil-238-it-comes-with-the-claws/4000-27676/,0 days 00:00:00
