,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Necrosha: The Gathering,2010,1,Issue,2010-02-01,Comicvine,30314,186683,X Necrosha: The Gathering,2009, ,https://comicvine.gamespot.com/issue/4000-186683/,62 days 00:00:00
2,X-Necrosha,2009,1,Issue,2009-12-01,Comicvine,29125,179203,X Necrosha,2009, ,https://comicvine.gamespot.com/x-necrosha-1-necrosha-chapter-one-binary-the-foret/4000-179203/,0 days 00:00:00
3,New Mutants,2009,6,Issue,2009-12-01,Comicvine,26327,179208,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-6-necrosha-new-mutants-chapter-1-dead-/4000-179208/,31 days 00:00:00
4,X-Force,2008,21,Issue,2010-01-01,Comicvine,20511,182545,X-Force,2008, ,https://comicvine.gamespot.com/x-force-21-necrosha-chapter-2/4000-182545/,0 days 00:00:00
5,New Mutants,2009,7,Issue,2010-01-01,Comicvine,26327,184805,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-7-necrosha-new-mutants-chapter-2-troja/4000-184805/,31 days 00:00:00
6,X-Force Vol. 3 Annual,2010,1,Issue,2010-02-01,Comicvine,30173,185752,X-Force Annual,2009, ,https://comicvine.gamespot.com/issue/4000-185752/,0 days 00:00:00
7,X-Force,2008,22,Issue,2010-02-01,Comicvine,20511,187677,X-Force,2008, ,https://comicvine.gamespot.com/x-force-22-necrosha-chapter-3/4000-187677/,0 days 00:00:00
8,New Mutants,2009,8,Issue,2010-02-01,Comicvine,26327,189509,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-8-necrosha-part-3/4000-189509/,28 days 00:00:00
9,X-Force,2008,23,Issue,2010-03-01,Comicvine,20511,194457,X-Force,2008, ,https://comicvine.gamespot.com/x-force-23-necrosha-chapter-4/4000-194457/,28 days 00:00:00
10,X-Men: Legacy,2008,231,Issue,2010-02-01,Comicvine,20691,189520,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-231-earth-give-up-your-dead-part-1/4000-189520/,28 days 00:00:00
11,X-Men: Legacy,2008,232,Issue,2010-03-01,Comicvine,20691,194468,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-232-earth-give-up-your-dead-part-2/4000-194468/,31 days 00:00:00
12,X-Force,2008,24,Issue,2010-04-01,Comicvine,20511,198343,X-Force,2008, ,https://comicvine.gamespot.com/x-force-24-necrosha-chapter-5/4000-198343/,29 days 00:00:00
13,X-Men: Legacy,2008,233,Issue,2010-04-30,Comicvine,20691,198349,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-233-earth-give-up-your-dead-part-3/4000-198349/,1 days 00:00:00
14,X-Force,2008,25,Issue,2010-05-01,Comicvine,20511,202489,X-Force,2008, ,https://comicvine.gamespot.com/x-force-25-necrosha-conclusion/4000-202489/,91 days 00:00:00
15,Dazzler,2010,1,Issue,2010-07-31,Comicvine,33347,216175,Dazzler,2010, ,https://comicvine.gamespot.com/dazzler-1-in-the-blood-reflections-tough-call/4000-216175/,0 days 00:00:00
