,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X-Men,1991,25,Issue,1993-10-01,Comicvine,4605,65726,X-Men,1991, ,https://comicvine.gamespot.com/x-men-25-fatal-attractions-part-4-dreams-fade/4000-65726/,638 days 00:00:00
2,Uncanny X-Men,1981,322,Issue,1995-07-01,Comicvine,3092,41143,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-322-dark-walk/4000-41143/,62 days 00:00:00
3,X-Force,1991,46,Issue,1995-09-01,Comicvine,4604,64520,X-Force,1991, ,https://comicvine.gamespot.com/x-force-46-behind-closed-doors/4000-64520/,61 days 00:00:00
4,X-Men,1991,46,Issue,1995-11-01,Comicvine,4605,65747,X-Men,1991, ,https://comicvine.gamespot.com/x-men-46-theyre-baaack/4000-65747/,151 days 00:00:00
5,X-Force,1991,52,Issue,1996-03-31,Comicvine,4604,64526,X-Force,1991, ,https://comicvine.gamespot.com/x-force-52-bad-girls/4000-64526/,59 days 00:00:00
6,X-Men,1991,49,Issue,1996-02-01,Comicvine,4605,106669,X-Men,1991, ,https://comicvine.gamespot.com/x-men-49-eyes-of-a-new-york-woman/4000-106669/,90 days 00:00:00
7,Uncanny X-Men,1981,332,Issue,1996-05-01,Comicvine,3092,42416,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-332-the-road-to-casablanca/4000-42416/,60 days 00:00:00
8,X-Force,1991,55,Issue,1996-06-30,Comicvine,4604,64529,X-Force,1991, ,https://comicvine.gamespot.com/x-force-55-without-a-net/4000-64529/,121 days 00:00:00
9,X-Men,1991,50,Issue,1996-03-01,Comicvine,4605,65750,X-Men,1991, ,https://comicvine.gamespot.com/x-men-50-full-court-press/4000-65750/,122 days 00:00:00
10,X-Force,1991,56,Issue,1996-07-01,Comicvine,4604,64530,X-Force,1991, ,https://comicvine.gamespot.com/x-force-56-crazy-for-you/4000-64530/,91 days 00:00:00
11,X-Men,1991,51,Issue,1996-04-01,Comicvine,4605,65751,X-Men,1991, ,https://comicvine.gamespot.com/x-men-51-deathbound-train/4000-65751/,30 days 00:00:00
12,X-Men,1991,52,Issue,1996-05-01,Comicvine,4605,65752,X-Men,1991, ,https://comicvine.gamespot.com/x-men-52-collectors-item/4000-65752/,31 days 00:00:00
13,Uncanny X-Men,1981,333,Issue,1996-06-01,Comicvine,3092,65133,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-333-the-other-shoe/4000-65133/,60 days 00:00:00
14,Excalibur,1988,99,Issue,1996-07-31,Comicvine,4052,66382,Excalibur,1988, ,https://comicvine.gamespot.com/excalibur-99-fire-with-fire/4000-66382/,61 days 00:00:00
15,X-Man,1995,15,Issue,1996-05-31,Comicvine,5567,42403,X-Man,1995, ,https://comicvine.gamespot.com/x-man-15-turning-point/4000-42403/,30 days 00:00:00
16,X-Man,1995,16,Issue,1996-06-30,Comicvine,5567,42499,X-Man,1995, ,https://comicvine.gamespot.com/x-man-16-survivors-of-the-storm/4000-42499/,31 days 00:00:00
17,X-Man,1995,17,Issue,1996-07-31,Comicvine,5567,42607,X-Man,1995, ,https://comicvine.gamespot.com/x-man-17-one-step-forward/4000-42607/,31 days 00:00:00
