,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Captain America,1968,398,Issue,1992-03-01,Comicvine,2400,35466,Captain America,1968, ,https://comicvine.gamespot.com/captain-america-398-it-came-from-outer-space/4000-35466/,0 days 00:00:00
2,Avengers: West Coast,1989,80,Issue,1992-03-01,Comicvine,18494,114272,Avengers West Coast,1989, ,https://comicvine.gamespot.com/avengers-west-coast-80-turn-of-the-sentry/4000-114272/,0 days 00:00:00
3,Quasar,1989,32,Issue,1992-03-01,Comicvine,4242,35475,Quasar,1989, ,https://comicvine.gamespot.com/quasar-32-the-tomb-of-mar-vell/4000-35475/,0 days 00:00:00
4,Wonder Man,1991,7,Issue,1992-03-01,Comicvine,4603,136837,Wonder Man,1991, ,https://comicvine.gamespot.com/wonder-man-7-shared-space/4000-136837/,0 days 00:00:00
5,Avengers,1963,345,Issue,1992-03-01,Comicvine,2128,35465,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-345-storm-gatherings/4000-35465/,0 days 00:00:00
6,Iron Man,1968,278,Issue,1992-03-01,Comicvine,2407,134714,Iron Man,1968, ,https://comicvine.gamespot.com/iron-man-278-decisions-in-a-vacuum/4000-134714/,0 days 00:00:00
7,The Mighty Thor,1989,445,Issue,1992-03-01,Comicvine,61213,35479,The Mighty Thor,1989, ,https://comicvine.gamespot.com/the-mighty-thor-445-the-war-and-the-warrior/4000-35479/,31 days 00:00:00
8,Captain America,1968,399,Issue,1992-04-01,Comicvine,2400,35570,Captain America,1968, ,https://comicvine.gamespot.com/captain-america-399-twenty-million-light-years-fro/4000-35570/,0 days 00:00:00
9,Avengers: West Coast,1989,81,Issue,1992-04-01,Comicvine,18494,114273,Avengers West Coast,1989, ,https://comicvine.gamespot.com/avengers-west-coast-81-they-also-serve/4000-114273/,0 days 00:00:00
10,Quasar,1989,33,Issue,1992-04-01,Comicvine,4242,35579,Quasar,1989, ,https://comicvine.gamespot.com/quasar-33-spatial-deliveries/4000-35579/,0 days 00:00:00
11,Wonder Man,1991,8,Issue,1992-04-01,Comicvine,4603,136836,Wonder Man,1991, ,https://comicvine.gamespot.com/wonder-man-8-death-adrift/4000-136836/,0 days 00:00:00
12,Avengers,1963,346,Issue,1992-04-01,Comicvine,2128,35569,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-346-assassination/4000-35569/,0 days 00:00:00
13,Iron Man,1968,279,Issue,1992-04-01,Comicvine,2407,35576,Iron Man,1968, ,https://comicvine.gamespot.com/iron-man-279-bad-judgment/4000-35576/,0 days 00:00:00
14,The Mighty Thor,1989,446,Issue,1992-04-01,Comicvine,61213,35582,The Mighty Thor,1989, ,https://comicvine.gamespot.com/the-mighty-thor-446-now-strikes-the-starforce/4000-35582/,30 days 00:00:00
15,Captain America,1968,400,Issue,1992-05-01,Comicvine,2400,35672,Captain America,1968, ,https://comicvine.gamespot.com/captain-america-400-murder-by-decree/4000-35672/,0 days 00:00:00
16,Avengers: West Coast,1989,82,Issue,1992-05-01,Comicvine,18494,114274,Avengers West Coast,1989, ,https://comicvine.gamespot.com/avengers-west-coast-82-shiar-hatred/4000-114274/,0 days 00:00:00
17,Quasar,1989,34,Issue,1992-05-01,Comicvine,4242,35682,Quasar,1989, ,https://comicvine.gamespot.com/quasar-34-the-scorched-sun/4000-35682/,0 days 00:00:00
18,Wonder Man,1991,9,Issue,1992-05-01,Comicvine,4603,35689,Wonder Man,1991, ,https://comicvine.gamespot.com/wonder-man-9-big-decisions/4000-35689/,0 days 00:00:00
19,Avengers,1963,347,Issue,1992-05-01,Comicvine,2128,35671,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-347-empires-end/4000-35671/,31 days 00:00:00
20,Captain America,1968,401,Issue,1992-06-01,Comicvine,2400,35777,Captain America,1968, ,https://comicvine.gamespot.com/captain-america-401-after-the-storm/4000-35777/,0 days 00:00:00
21,Quasar,1989,35,Issue,1992-06-01,Comicvine,4242,35787,Quasar,1989, ,https://comicvine.gamespot.com/quasar-35-empire-of-dust/4000-35787/,60 days 00:00:00
22,Quasar,1989,36,Issue,1992-07-31,Comicvine,4242,35911,Quasar,1989, ,https://comicvine.gamespot.com/quasar-36-soul-cage/4000-35911/,0 days 00:00:00
