,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Generation X,1994,27,Issue,1997-05-01,Comicvine,5300,43683,Generation X,1994, ,https://comicvine.gamespot.com/generation-x-27-the-last-x-man/4000-43683/,31 days 00:00:00
2,X-Men,1991,65,Issue,1997-06-01,Comicvine,4605,65765,X-Men,1991, ,https://comicvine.gamespot.com/x-men-65-first-blood-operation-zero-tolerance-prol/4000-65765/,0 days 00:00:00
3,X-Force,1991,67,Issue,1997-06-01,Comicvine,4604,64540,X-Force,1991, ,https://comicvine.gamespot.com/x-force-67-stand-off/4000-64540/,61 days 00:00:00
4,Cable,1993,45,Issue,1997-08-01,Comicvine,4993,44004,Cable,1993, ,https://comicvine.gamespot.com/cable-45-moving-target-part-one-no-escape/4000-44004/,0 days 00:00:00
5,X-Force,1991,68,Issue,1997-08-01,Comicvine,4604,64541,X-Force,1991, ,https://comicvine.gamespot.com/x-force-68-girl-talk/4000-64541/,31 days 00:00:00
6,Cable,1993,46,Issue,1997-09-01,Comicvine,4993,44117,Cable,1993, ,https://comicvine.gamespot.com/cable-46-moving-target-part-two-siege/4000-44117/,0 days 00:00:00
7,X-Force,1991,69,Issue,1997-09-01,Comicvine,4604,64542,X-Force,1991, ,https://comicvine.gamespot.com/x-force-69-roadside-attractions/4000-64542/,30 days 00:00:00
8,Cable,1993,47,Issue,1997-10-01,Comicvine,4993,44220,Cable,1993, ,https://comicvine.gamespot.com/cable-47-moving-target-part-three-man-to-man/4000-44220/,61 days 00:00:00
9,Uncanny X-Men,1981,346,Issue,1997-08-01,Comicvine,3092,44006,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-346-the-story-of-the-year/4000-44006/,0 days 00:00:00
10,Generation X,1994,29,Issue,1997-08-01,Comicvine,5300,43971,Generation X,1994, ,https://comicvine.gamespot.com/generation-x-29-to-face-the-fury-of-the-sentinels/4000-43971/,0 days 00:00:00
11,X-Men,1991,66,Issue,1997-08-01,Comicvine,4605,65766,X-Men,1991, ,https://comicvine.gamespot.com/x-men-66-start-spreadin-the-news/4000-65766/,0 days 00:00:00
12,Wolverine,1988,115,Issue,1997-08-01,Comicvine,4250,51184,Wolverine,1988, ,https://comicvine.gamespot.com/wolverine-115-in-the-face-of-it/4000-51184/,31 days 00:00:00
13,X-Men,1991,67,Issue,1997-09-01,Comicvine,4605,65767,X-Men,1991, ,https://comicvine.gamespot.com/x-men-67-the-end-of-days/4000-65767/,0 days 00:00:00
14,Wolverine,1988,116,Issue,1997-09-01,Comicvine,4250,51185,Wolverine,1988, ,https://comicvine.gamespot.com/wolverine-116-what-the-blind-man-saw/4000-51185/,0 days 00:00:00
15,Generation X,1994,30,Issue,1997-09-01,Comicvine,5300,44081,Generation X,1994, ,https://comicvine.gamespot.com/generation-x-30-by-the-white-queen-betrayed/4000-44081/,30 days 00:00:00
16,Generation X,1994,31,Issue,1997-10-01,Comicvine,5300,83096,Generation X,1994, ,https://comicvine.gamespot.com/generation-x-31-rites-of-passage/4000-83096/,0 days 00:00:00
17,X-Men,1991,68,Issue,1997-10-01,Comicvine,4605,65768,X-Men,1991, ,https://comicvine.gamespot.com/x-men-68-heart-of-the-matter/4000-65768/,0 days 00:00:00
18,Wolverine,1988,117,Issue,1997-10-01,Comicvine,4250,51186,Wolverine,1988, ,https://comicvine.gamespot.com/wolverine-117-a-divine-image/4000-51186/,31 days 00:00:00
19,X-Men,1991,69,Issue,1997-11-01,Comicvine,4605,65769,X-Men,1991, ,https://comicvine.gamespot.com/x-men-69-last-exit/4000-65769/,0 days 00:00:00
20,Wolverine,1988,118,Issue,1997-11-01,Comicvine,4250,51187,Wolverine,1988, ,https://comicvine.gamespot.com/wolverine-118-out-of-darkness-into-light/4000-51187/,0 days 00:00:00
