,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Original Sin,2014,0,Issue,2014-06-30,Comicvine,73241,451088,Original Sin,2014, ,https://comicvine.gamespot.com/original-sin-0-who-is-the-watcher/4000-451088/,31 days 00:00:00
2,Original Sin,2014,1,Issue,2014-07-31,Comicvine,73241,452317,Original Sin,2014, ,https://comicvine.gamespot.com/original-sin-1-no-one-is-watching/4000-452317/,0 days 00:00:00
3,Mighty Avengers,2013,10,Issue,2014-07-31,Comicvine,67223,454104,Mighty Avengers,2013, ,https://comicvine.gamespot.com/mighty-avengers-10/4000-454104/,0 days 00:00:00
4,Original Sin,2014,2,Issue,2014-07-31,Comicvine,73241,453417,Original Sin,2014, ,https://comicvine.gamespot.com/original-sin-2-bomb-full-of-secrets/4000-453417/,31 days 00:00:00
5,Nova,2013,18,Issue,2014-08-31,Comicvine,57535,456551,Nova,2013, ,https://comicvine.gamespot.com/nova-18-chapter-xviii-dia-de-los-muertos/4000-456551/,0 days 00:00:00
6,Original Sin,2014,3.1,Issue,2014-08-31,Comicvine,73241,457647,Original Sin,2014, ,https://comicvine.gamespot.com/original-sin-3-1-hulk-vs-iron-man-part-1/4000-457647/,30 days 00:00:00
7,Original Sin,2014,3.2,Issue,2014-09-30,Comicvine,73241,459676,Original Sin,2014, ,https://comicvine.gamespot.com/original-sin-3-2-hulk-vs-iron-man-part-2/4000-459676/,0 days 00:00:00
8,Original Sin,2014,3.3,Issue,2014-09-30,Comicvine,73241,460970,Original Sin,2014, ,https://comicvine.gamespot.com/original-sin-3-3-hulk-vs-iron-man-part-3/4000-460970/,31 days 00:00:00
9,Original Sin,2014,3.4,Issue,2014-10-31,Comicvine,73241,461733,Original Sin,2014, ,https://comicvine.gamespot.com/original-sin-3-4-hulk-vs-iron-man-part-4/4000-461733/,61 days 00:00:00
10,Fantastic Four,2014,6,Issue,2014-08-31,Comicvine,71949,457641,Fantastic Four,2014, ,https://comicvine.gamespot.com/fantastic-four-6-the-fateful-four-part-1/4000-457641/,30 days 00:00:00
11,Fantastic Four,2014,7,Issue,2014-09-30,Comicvine,71949,459171,Fantastic Four,2014, ,https://comicvine.gamespot.com/fantastic-four-7-the-fateful-four-part-2/4000-459171/,31 days 00:00:00
