,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Realm of Kings,2010,1,Issue,2010-01-31,Comicvine,29846,183724,Realm of Kings,2010, ,https://comicvine.gamespot.com/realm-of-kings-1-the-stars-are-wrong/4000-183724/,30 days 00:00:00
2,Guardians of the Galaxy,2008,20,Issue,2010-01-01,Comicvine,21550,184817,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-20-fault-lines/4000-184817/,31 days 00:00:00
3,Guardians of the Galaxy,2008,21,Issue,2010-02-01,Comicvine,21550,189505,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-21-a-headful-of-surprises/4000-189505/,28 days 00:00:00
4,Guardians of the Galaxy,2008,22,Issue,2010-03-01,Comicvine,21550,194623,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-22-happy-birthday/4000-194623/,31 days 00:00:00
5,Guardians of the Galaxy,2008,23,Issue,2010-04-01,Comicvine,21550,197493,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-23-mad-god-triumphant/4000-197493/,0 days 00:00:00
6,Guardians of the Galaxy,2008,24,Issue,2010-04-01,Comicvine,21550,201001,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-24-holy-terror/4000-201001/,59 days 00:00:00
7,Nova,2007,32,Issue,2010-02-01,Comicvine,18462,185622,Nova,2007, ,https://comicvine.gamespot.com/nova-32-riddle-of-the-sphinx-part-1-the-gathering/4000-185622/,28 days 00:00:00
8,Nova,2007,33,Issue,2010-03-01,Comicvine,18462,193354,Nova,2007, ,https://comicvine.gamespot.com/nova-33-riddle-of-the-sphinx-part-two-the-book-of-/4000-193354/,31 days 00:00:00
9,Nova,2007,34,Issue,2010-04-01,Comicvine,18462,195403,Nova,2007, ,https://comicvine.gamespot.com/nova-34/4000-195403/,30 days 00:00:00
10,Nova,2007,35,Issue,2010-05-01,Comicvine,18462,201033,Nova,2007, ,https://comicvine.gamespot.com/nova-35-time-out/4000-201033/,90 days 00:00:00
11,Realm of Kings: Imperial Guard,2010,1,Issue,2010-01-31,Comicvine,29722,182952,Realm of Kings: Imperial Guard,2010, ,https://comicvine.gamespot.com/realm-of-kings-imperial-guard-1-part-one/4000-182952/,28 days 00:00:00
12,Realm of Kings: Imperial Guard,2010,2,Issue,2010-02-28,Comicvine,29722,186676,Realm of Kings: Imperial Guard,2010, ,https://comicvine.gamespot.com/realm-of-kings-imperial-guard-2-part-two/4000-186676/,31 days 00:00:00
13,Realm of Kings: Imperial Guard,2010,3,Issue,2010-03-31,Comicvine,29722,192405,Realm of Kings: Imperial Guard,2010, ,https://comicvine.gamespot.com/realm-of-kings-imperial-guard-3-part-three/4000-192405/,30 days 00:00:00
14,Realm of Kings: Imperial Guard,2010,4,Issue,2010-04-30,Comicvine,29722,196456,Realm of Kings: Imperial Guard,2010, ,https://comicvine.gamespot.com/realm-of-kings-imperial-guard-4-part-four/4000-196456/,31 days 00:00:00
15,Realm of Kings: Imperial Guard,2010,5,Issue,2010-05-31,Comicvine,29722,201034,Realm of Kings: Imperial Guard,2010, ,https://comicvine.gamespot.com/realm-of-kings-imperial-guard-5-part-five/4000-201034/,120 days 00:00:00
16,Realm of Kings: Inhumans,2010,1,Issue,2010-01-31,Comicvine,29913,184031,Realm of Kings Inhumans,2010, ,https://comicvine.gamespot.com/realm-of-kings-inhumans-1-duty-calls/4000-184031/,28 days 00:00:00
17,Realm of Kings: Inhumans,2010,2,Issue,2010-02-28,Comicvine,29913,187674,Realm of Kings Inhumans,2010, ,https://comicvine.gamespot.com/realm-of-kings-inhumans-2-high-and-mighty/4000-187674/,31 days 00:00:00
18,Realm of Kings: Inhumans,2010,3,Issue,2010-03-31,Comicvine,29913,193356,Realm of Kings Inhumans,2010, ,https://comicvine.gamespot.com/realm-of-kings-inhumans-3-weapon-of-mass-distracti/4000-193356/,30 days 00:00:00
19,Realm of Kings: Inhumans,2010,4,Issue,2010-04-30,Comicvine,29913,198366,Realm of Kings Inhumans,2010, ,https://comicvine.gamespot.com/realm-of-kings-inhumans-4-devices-desires/4000-198366/,31 days 00:00:00
20,Realm of Kings: Inhumans,2010,5,Issue,2010-05-31,Comicvine,29913,202680,Realm of Kings Inhumans,2010, ,https://comicvine.gamespot.com/realm-of-kings-inhumans-5-untitled/4000-202680/,31 days 00:00:00
21,Realm of Kings: Son of Hulk,2010,1,Issue,2010-04-30,Comicvine,31366,195366,Realm of Kings Son of Hulk,2010, ,https://comicvine.gamespot.com/realm-of-kings-son-of-hulk-1-conquest-of-jarellas-/4000-195366/,31 days 00:00:00
22,Realm of Kings: Son of Hulk,2010,2,Issue,2010-05-31,Comicvine,31366,199046,Realm of Kings Son of Hulk,2010, ,https://comicvine.gamespot.com/realm-of-kings-son-of-hulk-2-the-conquest-of-jarel/4000-199046/,30 days 00:00:00
23,Realm of Kings: Son of Hulk,2010,3,Issue,2010-06-30,Comicvine,31366,204630,Realm of Kings Son of Hulk,2010, ,https://comicvine.gamespot.com/realm-of-kings-son-of-hulk-3-the-conquest-of-jarel/4000-204630/,31 days 00:00:00
24,Realm of Kings: Son of Hulk,2010,4,Issue,2010-07-31,Comicvine,31366,212044,Realm of Kings Son of Hulk,2010, ,https://comicvine.gamespot.com/realm-of-kings-son-of-hulk-4-the-conquest-of-jarel/4000-212044/,0 days 00:00:00
