,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Spider-Man: The Lost Years,1996,0,Issue,1996-01-31,Comicvine,20732,124299,Spider-Man: The Lost Years,1995, ,https://comicvine.gamespot.com/issue/4000-124299/,7397 days 00:00:00
2,Amazing Spider-Man,1963,149,Issue,1975-10-31,Comicvine,2127,15668,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-149-even-if-i-live-i-die/4000-15668/,61 days 00:00:00
3,Amazing Spider-Man,1963,151,Issue,1975-12-31,Comicvine,2127,15855,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-151-skirmish-beneath-the-st/4000-15855/,7183 days 00:00:00
4,Spider-Man: The Lost Years,1996,1,Issue,1995-08-31,Comicvine,20732,124917,Spider-Man: The Lost Years,1995, ,https://comicvine.gamespot.com/issue/4000-124917/,30 days 00:00:00
5,Spider-Man: The Lost Years,1996,2,Issue,1995-09-30,Comicvine,20732,125622,Spider-Man: The Lost Years,1995, ,https://comicvine.gamespot.com/issue/4000-125622/,31 days 00:00:00
6,Spider-Man: The Lost Years,1996,3,Issue,1995-10-31,Comicvine,20732,125623,Spider-Man: The Lost Years,1995, ,https://comicvine.gamespot.com/issue/4000-125623/,487 days 00:00:00
7,Web of Spider-Man,1985,114,Issue,1994-07-01,Comicvine,3519,39381,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-114-live-and-let-die-part-two-wh/4000-39381/,0 days 00:00:00
8,Spider-Man,1990,48,Issue,1994-07-01,Comicvine,4421,39378,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-48-demons-of-our-past/4000-39378/,31 days 00:00:00
9,Web of Spider-Man,1985,115,Issue,1994-08-01,Comicvine,3519,39513,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-115-live-and-let-die-part-three-/4000-39513/,0 days 00:00:00
10,Spider-Man,1990,49,Issue,1994-08-01,Comicvine,4421,39511,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-49-cold-hearts/4000-39511/,0 days 00:00:00
11,Spectacular Spider-Man,1976,215,Issue,1994-08-01,Comicvine,2870,65609,The Spectacular Spider-Man,1976, ,https://comicvine.gamespot.com/the-spectacular-spider-man-215-the-predator-and-th/4000-65609/,31 days 00:00:00
12,Web of Spider-Man,1985,116,Issue,1994-09-01,Comicvine,3519,39654,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-116-live-and-let-die-part-four-c/4000-39654/,29 days 00:00:00
13,Amazing Spider-Man,1963,393,Issue,1994-09-30,Comicvine,2127,39704,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-393-shrieking-part-four-mot/4000-39704/,29 days 00:00:00
14,Spider-Man,1990,50,Issue,1994-09-01,Comicvine,4421,64629,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-50-son-of-the-hunter/4000-64629/,0 days 00:00:00
15,Spectacular Spider-Man,1976,216,Issue,1994-09-01,Comicvine,2870,65610,The Spectacular Spider-Man,1976, ,https://comicvine.gamespot.com/the-spectacular-spider-man-216-the-predator-and-th/4000-65610/,30 days 00:00:00
16,Web of Spider-Man,1985,117,Issue,1994-10-01,Comicvine,3519,65542,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-117-power-and-responsibility-par/4000-65542/,0 days 00:00:00
17,Amazing Spider-Man,1963,394,Issue,1994-10-01,Comicvine,2127,64433,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-394-power-and-responsibilit/4000-64433/,0 days 00:00:00
18,Spider-Man,1990,51,Issue,1994-10-01,Comicvine,4421,64630,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-51-power-and-responsibility-part-3-a-he/4000-64630/,0 days 00:00:00
19,Spectacular Spider-Man,1976,217,Issue,1994-10-01,Comicvine,2870,65611,The Spectacular Spider-Man,1976, ,https://comicvine.gamespot.com/the-spectacular-spider-man-217-power-and-responsib/4000-65611/,31 days 00:00:00
20,Web of Spider-Man,1985,118,Issue,1994-11-01,Comicvine,3519,65543,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-118-the-exile-returns-part-1-of-/4000-65543/,0 days 00:00:00
21,Spider-Man,1990,52,Issue,1994-11-01,Comicvine,4421,64631,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-52-the-exile-returns-part-2-of-4-deadli/4000-64631/,0 days 00:00:00
22,Spider-Man Unlimited,1993,7,Issue,1994-11-01,Comicvine,5048,57294,Spider-Man Unlimited,1993, ,https://comicvine.gamespot.com/spider-man-unlimited-7-second-rate-choices-a-confl/4000-57294/,30 days 00:00:00
23,Web of Spider-Man,1985,119,Issue,1994-12-01,Comicvine,3519,65544,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-119-the-exile-returns-part-3-of-/4000-65544/,0 days 00:00:00
24,Spider-Man,1990,53,Issue,1994-12-01,Comicvine,4421,64632,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-53-the-exile-returns-part-4-of-4-gather/4000-64632/,31 days 00:00:00
25,Web of Spider-Man,1985,120,Issue,1995-01-01,Comicvine,3519,65545,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-120-web-of-life-part-1-lure-of-t/4000-65545/,0 days 00:00:00
26,Spider-Man,1990,54,Issue,1995-01-01,Comicvine,4421,64633,Spider-Man,1990, ,https://comicvine.gamespot.com/spider-man-54-web-of-life-part-2-of-4-snared/4000-64633/,58 days 00:00:00
