,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Amazing Spider-Man,2015,25,Issue,2017-05-31,Comicvine,85076,587400,The Amazing Spider-Man,2015, ,https://comicvine.gamespot.com/the-amazing-spider-man-25-part-one-bug-hunt-police/4000-587400/,30 days 00:00:00
2,Captain America: Sam Wilson,2015,21,Issue,2017-06-30,Comicvine,85274,591751,Captain America: Sam Wilson,2015, ,https://comicvine.gamespot.com/captain-america-sam-wilson-21/4000-591751/,0 days 00:00:00
3,Captain America: Steve Rogers,2016,15,Issue,2017-06-30,Comicvine,90698,590790,Captain America: Steve Rogers,2016, ,https://comicvine.gamespot.com/captain-america-steve-rogers-15/4000-590790/,31 days 00:00:00
4,Deadpool,2015,31,Issue,2017-07-31,Comicvine,85750,598369,Deadpool,2015, ,https://comicvine.gamespot.com/deadpool-31-meifumado/4000-598369/,31 days 00:00:00
5,U.S.Avengers,2017,5,Issue,2017-06-30,Comicvine,97772,592616,U.S.Avengers,2017, ,https://comicvine.gamespot.com/usavengers-5-meet-the-new-boss/4000-592616/,0 days 00:00:00
6,Thunderbolts,2016,12,Issue,2017-06-30,Comicvine,90125,592614,Thunderbolts,2016, ,https://comicvine.gamespot.com/thunderbolts-12-return-of-the-masters-part-three-b/4000-592614/,0 days 00:00:00
7,Captain America: Steve Rogers,2016,16,Issue,2017-06-30,Comicvine,90698,592593,Captain America: Steve Rogers,2016, ,https://comicvine.gamespot.com/captain-america-steve-rogers-16/4000-592593/,0 days 00:00:00
8,Secret Empire,2017,0,Issue,2017-06-30,Comicvine,100840,592609,Secret Empire,2017, ,https://comicvine.gamespot.com/secret-empire-0/4000-592609/,31 days 00:00:00
9,Mighty Captain Marvel,2017,5,Issue,2017-07-31,Comicvine,97062,597196,The Mighty Captain Marvel,2016, ,https://comicvine.gamespot.com/issue/4000-597196/,0 days 00:00:00
10,U.S.Avengers,2017,6,Issue,2017-07-31,Comicvine,97772,595705,U.S.Avengers,2017, ,https://comicvine.gamespot.com/usavengers-6-the-cavalry-stayed-home/4000-595705/,61 days 00:00:00
11,X-Men: Gold,2017,7,Issue,2017-09-30,Comicvine,100603,606647,X-Men: Gold,2017, ,https://comicvine.gamespot.com/x-men-gold-7-secret-empire-part-1/4000-606647/,0 days 00:00:00
12,X-Men: Gold,2017,8,Issue,2017-09-30,Comicvine,100603,609368,X-Men: Gold,2017, ,https://comicvine.gamespot.com/x-men-gold-8-secret-empire-part-2/4000-609368/,30 days 00:00:00
13,Uncanny Avengers,2015,24,Issue,2017-08-31,Comicvine,85318,601808,Uncanny Avengers,2015, ,https://comicvine.gamespot.com/uncanny-avengers-24-the-night-shift-part-one/4000-601808/,30 days 00:00:00
