,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,New Avengers Illuminati,2007,1,Issue,2007-02-28,Comicvine,18113,106129,New Avengers: Illuminati,2007, ,https://comicvine.gamespot.com/new-avengers-illuminati-1-untitled/4000-106129/,1 days 00:00:00
2,New Avengers Illuminati,2007,2,Issue,2007-03-01,Comicvine,18113,106630,New Avengers: Illuminati,2007, ,https://comicvine.gamespot.com/new-avengers-illuminati-2-untitled/4000-106630/,122 days 00:00:00
3,New Avengers Illuminati,2007,3,Issue,2007-07-01,Comicvine,18113,110053,New Avengers: Illuminati,2007, ,https://comicvine.gamespot.com/new-avengers-illuminati-3-untitled/4000-110053/,62 days 00:00:00
4,New Avengers Illuminati,2007,4,Issue,2007-09-01,Comicvine,18113,112408,New Avengers: Illuminati,2007, ,https://comicvine.gamespot.com/new-avengers-illuminati-4-untitled/4000-112408/,213 days 00:00:00
5,Secret Invasion: Prologue,2008,1,Issue,2008-04-01,Comicvine,61177,126865,Secret Invasion Prologue,2008, ,https://comicvine.gamespot.com/secret-invasion-prologue-1/4000-126865/,213 days 00:00:00
6,New Avengers,2005,32,Issue,2007-09-01,Comicvine,11497,111511,New Avengers,2004, ,https://comicvine.gamespot.com/issue/4000-111511/,30 days 00:00:00
7,New Avengers,2005,33,Issue,2007-10-01,Comicvine,11497,112960,New Avengers,2004, ,https://comicvine.gamespot.com/issue/4000-112960/,152 days 00:00:00
8,Mighty Avengers,2007,7,Issue,2008-03-01,Comicvine,18239,121087,The Mighty Avengers,2007, ,https://comicvine.gamespot.com/the-mighty-avengers-7-the-venom-bomb-part-1/4000-121087/,121 days 00:00:00
9,New Avengers,2005,34,Issue,2007-11-01,Comicvine,11497,114394,New Avengers,2004, ,https://comicvine.gamespot.com/issue/4000-114394/,152 days 00:00:00
10,Mighty Avengers,2007,8,Issue,2008-04-01,Comicvine,18239,122068,The Mighty Avengers,2007, ,https://comicvine.gamespot.com/the-mighty-avengers-8-the-venom-bomb-pt-2/4000-122068/,122 days 00:00:00
11,New Avengers,2005,35,Issue,2007-12-01,Comicvine,11497,115395,New Avengers,2004, ,https://comicvine.gamespot.com/issue/4000-115395/,31 days 00:00:00
12,New Avengers,2005,36,Issue,2008-01-01,Comicvine,11497,117753,New Avengers,2004, ,https://comicvine.gamespot.com/issue/4000-117753/,31 days 00:00:00
13,New Avengers,2005,37,Issue,2008-02-01,Comicvine,11497,119888,New Avengers,2004, ,https://comicvine.gamespot.com/issue/4000-119888/,0 days 00:00:00
14,New Avengers Annual,2006,2,Issue,2008-02-01,Comicvine,18198,122202,New Avengers Annual,2006, ,https://comicvine.gamespot.com/new-avengers-annual-2-the-trust-pt-7/4000-122202/,31 days 00:00:00
15,New Avengers Illuminati,2007,5,Issue,2008-01-01,Comicvine,18113,116954,New Avengers: Illuminati,2007, ,https://comicvine.gamespot.com/new-avengers-illuminati-5-secret-invasion-the-infi/4000-116954/,91 days 00:00:00
16,New Avengers,2005,38,Issue,2008-04-01,Comicvine,11497,122774,New Avengers,2004, ,https://comicvine.gamespot.com/issue/4000-122774/,61 days 00:00:00
17,Avengers: The Initiative Annual,2008,1,Issue,2008-01-31,Comicvine,19935,119280,Avengers: The Initiative Annual,2008, ,https://comicvine.gamespot.com/avengers-the-initiative-annual-1-second-best-reaso/4000-119280/,61 days 00:00:00
18,Mighty Avengers,2007,9,Issue,2008-04-01,Comicvine,18239,123373,The Mighty Avengers,2007, ,https://comicvine.gamespot.com/the-mighty-avengers-9-the-venom-bomb-pt-3/4000-123373/,30 days 00:00:00
19,Mighty Avengers,2007,10,Issue,2008-05-01,Comicvine,18239,125180,The Mighty Avengers,2007, ,https://comicvine.gamespot.com/the-mighty-avengers-10-time-is-on-no-one-s-side/4000-125180/,0 days 00:00:00
