,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Black Widow,2014,19,Issue,2015-08-31,Comicvine,70705,493038,Black Widow,2014, ,https://comicvine.gamespot.com/black-widow-19-january-part-one/4000-493038/,30 days 00:00:00
2,Black Widow,2014,20,Issue,2015-09-30,Comicvine,70705,496386,Black Widow,2014, ,https://comicvine.gamespot.com/black-widow-20-january-part-two/4000-496386/,61 days 00:00:00
3,Free Comic Book Day 2015 (Secret Wars),2015,0,Issue,2015-07-31,Comicvine,81729,487501,Free Comic Book Day 2015 (Secret Wars),2015, ,https://comicvine.gamespot.com/issue/4000-487501/,0 days 00:00:00
4,Secret Wars,2015,1,Issue,2015-07-31,Comicvine,81833,487843,Secret Wars,2015, ,https://comicvine.gamespot.com/secret-wars-1-the-end-times/4000-487843/,0 days 00:00:00
5,Loki: Agent of Asgard,2014,14,Issue,2015-07-31,Comicvine,71432,489320,Loki: Agent of Asgard,2014, ,https://comicvine.gamespot.com/loki-agent-of-asgard-14-born-one-morning-and-the-s/4000-489320/,31 days 00:00:00
6,Loki: Agent of Asgard,2014,15,Issue,2015-08-31,Comicvine,71432,493045,Loki: Agent of Asgard,2014, ,https://comicvine.gamespot.com/loki-agent-of-asgard-15-the-old-army-game/4000-493045/,0 days 00:00:00
7,Captain America & the Mighty Avengers,2014,9,Issue,2015-08-31,Comicvine,78045,491510,Captain America & the Mighty Avengers,2014, ,https://comicvine.gamespot.com/captain-america-and-the-mighty-avengers-9-sorry-we/4000-491510/,0 days 00:00:00
8,Ms. Marvel,2014,16,Issue,2015-08-31,Comicvine,71457,492221,Ms. Marvel,2014, ,https://comicvine.gamespot.com/ms-marvel-16-last-days-part-one/4000-492221/,61 days 00:00:00
9,Ms. Marvel,2014,17,Issue,2015-10-31,Comicvine,71457,496886,Ms. Marvel,2014, ,https://comicvine.gamespot.com/ms-marvel-17-last-days-part-two/4000-496886/,30 days 00:00:00
10,Ms. Marvel,2014,18,Issue,2015-11-30,Comicvine,71457,499749,Ms. Marvel,2014, ,https://comicvine.gamespot.com/ms-marvel-18-last-days-part-three/4000-499749/,31 days 00:00:00
