,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Secret Wars II,1985,1,Issue,1985-07-10,Comicvine,3506,57516,Secret Wars II,1985, ,https://comicvine.gamespot.com/secret-wars-ii-1-earthfall/4000-57516/,22 days 00:00:00
2,New Mutants,1983,30,Issue,1985-08-01,Comicvine,3234,25811,The New Mutants,1983, ,https://comicvine.gamespot.com/the-new-mutants-30-the-singer-her-song/4000-25811/,0 days 00:00:00
3,Uncanny X-Men,1981,196,Issue,1985-08-01,Comicvine,3092,25801,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-196-what-was-that/4000-25801/,9 days 00:00:00
4,Secret Wars II,1985,2,Issue,1985-08-10,Comicvine,3506,105303,Secret Wars II,1985, ,https://comicvine.gamespot.com/secret-wars-ii-2-ill-take-manhattan/4000-105303/,22 days 00:00:00
5,Web of Spider-Man,1985,6,Issue,1985-09-01,Comicvine,3519,25897,Web of Spider-Man,1985, ,https://comicvine.gamespot.com/web-of-spider-man-6-gold-rush/4000-25897/,29 days 00:00:00
6,Amazing Spider-Man,1963,268,Issue,1985-09-30,Comicvine,2127,25866,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-268-this-gold-is-mine/4000-25866/,0 days 00:00:00
7,Fantastic Four,1961,282,Issue,1985-09-30,Comicvine,2045,25876,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-282-inwards-to-infinity/4000-25876/,20 days 00:00:00
8,Secret Wars II,1985,3,Issue,1985-09-10,Comicvine,3506,57517,Secret Wars II,1985, ,https://comicvine.gamespot.com/secret-wars-ii-3-this-world-is-mine/4000-57517/,21 days 00:00:00
9,Avengers,1963,260,Issue,1985-10-01,Comicvine,2128,25972,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-260-assault-on-sanctuary-ii/4000-25972/,30 days 00:00:00
10,Daredevil,1964,223,Issue,1985-10-31,Comicvine,2190,25977,Daredevil,1964, ,https://comicvine.gamespot.com/daredevil-223-the-price/4000-25977/,61 days 00:00:00
11,Fantastic Four,1961,285,Issue,1985-12-31,Comicvine,2045,26193,Fantastic Four,1961, ,https://comicvine.gamespot.com/fantastic-four-285-hero/4000-26193/,61 days 00:00:00
12,Incredible Hulk,1968,312,Issue,1985-10-31,Comicvine,2406,25984,The Incredible Hulk,1968, ,https://comicvine.gamespot.com/the-incredible-hulk-312-monster/4000-25984/,0 days 00:00:00
13,Secret Wars II,1985,4,Issue,1985-10-31,Comicvine,3506,57518,Secret Wars II,1985, ,https://comicvine.gamespot.com/secret-wars-ii-4-love-is-the-answer/4000-57518/,30 days 00:00:00
14,Alpha Flight,1983,28,Issue,1985-11-30,Comicvine,3217,26070,Alpha Flight,1983, ,https://comicvine.gamespot.com/alpha-flight-28-cross-over/4000-26070/,29 days 00:00:00
15,Avengers,1963,261,Issue,1985-11-01,Comicvine,2128,26072,The Avengers,1963, ,https://comicvine.gamespot.com/the-avengers-261-earth-and-beyond/4000-26072/,0 days 00:00:00
16,Secret Wars II,1985,5,Issue,1985-11-01,Comicvine,3506,57519,Secret Wars II,1985, ,https://comicvine.gamespot.com/secret-wars-ii-5-despair/4000-57519/,60 days 00:00:00
