,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Shadowland,2010,1,Issue,2010-09-30,Comicvine,34243,223400,Shadowland,2010, ,https://comicvine.gamespot.com/shadowland-1-chapter-1/4000-223400/,31 days 00:00:00
2,Shadowland: Bullseye,2010,1,Issue,2010-10-31,Comicvine,34718,227713,Shadowland: Bullseye,2010, ,https://comicvine.gamespot.com/shadowland-bullseye-1-bullseye-dead-on-a-rival/4000-227713/,30 days 00:00:00
3,Shadowland: Elektra,2010,1,Issue,2010-11-30,Comicvine,35274,232574,Shadowland: Elektra,2010, ,https://comicvine.gamespot.com/shadowland-elektra-1/4000-232574/,90 days 00:00:00
4,Daredevil,1998,508,Issue,2010-09-01,Comicvine,6209,224616,Daredevil,1998, ,https://comicvine.gamespot.com/daredevil-508-shadowland-part-1/4000-224616/,30 days 00:00:00
5,Daredevil,1998,509,Issue,2010-10-01,Comicvine,6209,228894,Daredevil,1998, ,https://comicvine.gamespot.com/daredevil-509-shadowland-part-2/4000-228894/,30 days 00:00:00
6,Shadowland: Moon Knight,2010,1,Issue,2010-10-31,Comicvine,35109,231674,Shadowland: Moon Knight,2010, ,https://comicvine.gamespot.com/shadowland-moon-knight-1-shadowknight/4000-231674/,0 days 00:00:00
7,Shadowland,2010,2,Issue,2010-10-31,Comicvine,34243,227712,Shadowland,2010, ,https://comicvine.gamespot.com/shadowland-2-chapter-2/4000-227712/,30 days 00:00:00
8,Shadowland,2010,3,Issue,2010-11-30,Comicvine,34243,232570,Shadowland,2010, ,https://comicvine.gamespot.com/shadowland-3-chapter-3/4000-232570/,31 days 00:00:00
9,Shadowland: Spider-Man,2010,1,Issue,2010-12-31,Comicvine,35874,237205,Shadowland: Spider-Man,2010, ,https://comicvine.gamespot.com/shadowland-spider-man-1-imbalanced/4000-237205/,31 days 00:00:00
10,Shadowland: Ghost Rider,2010,1,Issue,2010-11-30,Comicvine,35499,234665,Shadowland: Ghost Rider,2010, ,https://comicvine.gamespot.com/shadowland-ghost-rider-1/4000-234665/,0 days 00:00:00
11,Shadowland: Moon Knight,2010,2,Issue,2010-11-30,Comicvine,35109,235503,Shadowland: Moon Knight,2010, ,https://comicvine.gamespot.com/shadowland-moon-knight-2-eclipsed/4000-235503/,31 days 00:00:00
12,Shadowland: Moon Knight,2010,3,Issue,2010-12-31,Comicvine,35109,239890,Shadowland: Moon Knight,2010, ,https://comicvine.gamespot.com/shadowland-moon-knight-3-brothers-in-arms/4000-239890/,61 days 00:00:00
13,Shadowland: Power Man,2010,1,Issue,2010-10-31,Comicvine,34978,230364,Shadowland: Power Man,2010, ,https://comicvine.gamespot.com/shadowland-power-man-1-extra-life/4000-230364/,30 days 00:00:00
14,Shadowland: Power Man,2010,2,Issue,2010-11-30,Comicvine,34978,234873,Shadowland: Power Man,2010, ,https://comicvine.gamespot.com/shadowland-power-man-2-war-in-the-neighborhood/4000-234873/,30 days 00:00:00
15,Shadowland: Blood On The Streets,2010,1,Issue,2010-10-31,Comicvine,34854,228977,Shadowland: Blood On the Streets,2010, ,https://comicvine.gamespot.com/shadowland-blood-on-the-streets-1-crime-punishment/4000-228977/,30 days 00:00:00
16,Shadowland: Blood On The Streets,2010,2,Issue,2010-11-30,Comicvine,34854,234262,Shadowland: Blood On the Streets,2010, ,https://comicvine.gamespot.com/shadowland-blood-on-the-streets-2-on-the-edge/4000-234262/,31 days 00:00:00
17,Shadowland: Blood On The Streets,2010,3,Issue,2010-12-31,Comicvine,34854,238481,Shadowland: Blood On the Streets,2010, ,https://comicvine.gamespot.com/shadowland-blood-on-the-streets-3-prey-drive/4000-238481/,31 days 00:00:00
18,Shadowland: Blood On The Streets,2010,4,Issue,2011-01-31,Comicvine,34854,246460,Shadowland: Blood On the Streets,2010, ,https://comicvine.gamespot.com/shadowland-blood-on-the-streets-4-shadows-fall/4000-246460/,92 days 00:00:00
19,Shadowland: Daughters Of The Shadow,2010,1,Issue,2010-10-31,Comicvine,34976,230348,Shadowland: Daughters of the Shadow,2010, ,https://comicvine.gamespot.com/shadowland-daughters-of-the-shadow-1/4000-230348/,30 days 00:00:00
20,Shadowland: Daughters Of The Shadow,2010,2,Issue,2010-11-30,Comicvine,34976,235502,Shadowland: Daughters of the Shadow,2010, ,https://comicvine.gamespot.com/shadowland-daughters-of-the-shadow-2/4000-235502/,62 days 00:00:00
21,Shadowland: Daughters Of The Shadow,2010,3,Issue,2011-01-31,Comicvine,34976,243338,Shadowland: Daughters of the Shadow,2010, ,https://comicvine.gamespot.com/shadowland-daughters-of-the-shadow-3/4000-243338/,91 days 00:00:00
22,Thunderbolts,2006,148,Issue,2010-11-01,Comicvine,18128,234695,Thunderbolts,2006, ,https://comicvine.gamespot.com/thunderbolts-148-lightning-in-shadows-pt-1/4000-234695/,30 days 00:00:00
23,Thunderbolts,2006,149,Issue,2010-12-01,Comicvine,18128,239889,Thunderbolts,2006, ,https://comicvine.gamespot.com/thunderbolts-149-lightning-in-shadows-pt-2/4000-239889/,30 days 00:00:00
24,Daredevil,1998,510,Issue,2010-11-01,Comicvine,6209,233759,Daredevil,1998, ,https://comicvine.gamespot.com/daredevil-510-shadowland-part-3/4000-233759/,60 days 00:00:00
25,Shadowland: Power Man,2010,3,Issue,2010-12-31,Comicvine,34978,239034,Shadowland: Power Man,2010, ,https://comicvine.gamespot.com/shadowland-power-man-3-la-casa-de-los-santos/4000-239034/,31 days 00:00:00
26,Shadowland: Power Man,2010,4,Issue,2011-01-31,Comicvine,34978,246459,Shadowland: Power Man,2010, ,https://comicvine.gamespot.com/shadowland-power-man-4-school-of-thunder/4000-246459/,31 days 00:00:00
27,Shadowland,2010,4,Issue,2010-12-31,Comicvine,34243,238178,Shadowland,2010, ,https://comicvine.gamespot.com/shadowland-4-chapter-4/4000-238178/,30 days 00:00:00
28,Daredevil,1998,511,Issue,2010-12-01,Comicvine,6209,239035,Daredevil,1998, ,https://comicvine.gamespot.com/daredevil-511-shadowland-part-4/4000-239035/,61 days 00:00:00
29,Shadowland,2010,5,Issue,2011-01-31,Comicvine,34243,247321,Shadowland,2010, ,https://comicvine.gamespot.com/shadowland-5-chapter-5/4000-247321/,1 days 00:00:00
