,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Fear Itself: The Fearless,2011,1,Issue,2011-12-31,Comicvine,43215,297579,Fear Itself: The Fearless,2011, ,https://comicvine.gamespot.com/fear-itself-the-fearless-1-battle-lines/4000-297579/,1 days 00:00:00
2,Avengers Academy,2010,21,Issue,2012-01-01,Comicvine,33633,301050,Avengers Academy,2010, ,https://comicvine.gamespot.com/avengers-academy-21-welcome-students/4000-301050/,0 days 00:00:00
3,Invincible Iron Man,2008,510,Issue,2012-01-01,Comicvine,21487,303430,Invincible Iron Man,2008, ,https://comicvine.gamespot.com/invincible-iron-man-510-demon-part-1-the-beast-in-/4000-303430/,31 days 00:00:00
4,Invincible Iron Man,2008,511,Issue,2012-02-01,Comicvine,21487,307518,Invincible Iron Man,2008, ,https://comicvine.gamespot.com/invincible-iron-man-511-demon-part-2-exposure/4000-307518/,29 days 00:00:00
5,Invincible Iron Man,2008,512,Issue,2012-03-01,Comicvine,21487,311755,Invincible Iron Man,2008, ,https://comicvine.gamespot.com/invincible-iron-man-512-demon-part-3-control/4000-311755/,31 days 00:00:00
6,Invincible Iron Man,2008,513,Issue,2012-04-01,Comicvine,21487,315804,Invincible Iron Man,2008, ,https://comicvine.gamespot.com/invincible-iron-man-513-demon-4-control/4000-315804/,30 days 00:00:00
7,Invincible Iron Man,2008,514,Issue,2012-05-01,Comicvine,21487,323376,Invincible Iron Man,2008, ,https://comicvine.gamespot.com/invincible-iron-man-514-demon-5-melt/4000-323376/,31 days 00:00:00
8,Invincible Iron Man,2008,515,Issue,2012-06-01,Comicvine,21487,331872,Invincible Iron Man,2008, ,https://comicvine.gamespot.com/invincible-iron-man-515-demon-6-fall/4000-331872/,152 days 00:00:00
9,Journey into Mystery,2011,631,Issue,2012-01-01,Comicvine,39761,301962,Journey into Mystery,2011, ,https://comicvine.gamespot.com/journey-into-mystery-631-for-the-crime-of-fratrici/4000-301962/,31 days 00:00:00
10,Journey into Mystery,2011,632,Issue,2012-02-01,Comicvine,39761,306629,Journey into Mystery,2011, ,https://comicvine.gamespot.com/journey-into-mystery-632-issue-632/4000-306629/,29 days 00:00:00
11,Journey into Mystery,2011,633,Issue,2012-03-01,Comicvine,39761,310922,Journey into Mystery,2011, ,https://comicvine.gamespot.com/journey-into-mystery-633-the-terrorism-myth-part-o/4000-310922/,31 days 00:00:00
12,Journey into Mystery,2011,634,Issue,2012-04-01,Comicvine,39761,315172,Journey into Mystery,2011, ,https://comicvine.gamespot.com/journey-into-mystery-634-the-terrorism-myth-part-2/4000-315172/,30 days 00:00:00
13,Journey into Mystery,2011,635,Issue,2012-05-01,Comicvine,39761,321320,Journey into Mystery,2011, ,https://comicvine.gamespot.com/journey-into-mystery-635-the-terrorism-myth-part-t/4000-321320/,31 days 00:00:00
14,Journey into Mystery,2011,636,Issue,2012-06-01,Comicvine,39761,329222,Journey into Mystery,2011, ,https://comicvine.gamespot.com/journey-into-mystery-636-the-terrorism-myth-conclu/4000-329222/,152 days 00:00:00
15,Mighty Thor,2011,8,Issue,2012-01-01,Comicvine,39763,303552,The Mighty Thor,2011, ,https://comicvine.gamespot.com/the-mighty-thor-8-the-mighty-tanarus-part-1-lost/4000-303552/,31 days 00:00:00
16,Mighty Thor,2011,9,Issue,2012-02-01,Comicvine,39763,308696,The Mighty Thor,2011, ,https://comicvine.gamespot.com/the-mighty-thor-9-the-mighty-tanarus-part-2-the-wa/4000-308696/,29 days 00:00:00
17,Mighty Thor,2011,10,Issue,2012-03-01,Comicvine,39763,312810,The Mighty Thor,2011, ,https://comicvine.gamespot.com/the-mighty-thor-10-the-mighty-tanarus-part-3-doome/4000-312810/,31 days 00:00:00
18,Mighty Thor,2011,11,Issue,2012-04-01,Comicvine,39763,316682,The Mighty Thor,2011, ,https://comicvine.gamespot.com/the-mighty-thor-11-the-mighty-tanarus-part-4-the-a/4000-316682/,30 days 00:00:00
19,Mighty Thor,2011,12,Issue,2012-05-01,Comicvine,39763,325032,The Mighty Thor,2011, ,https://comicvine.gamespot.com/the-mighty-thor-12-the-mighty-tanarus-part-5-the-r/4000-325032/,90 days 00:00:00
20,Captain America,2011,6,Issue,2012-02-01,Comicvine,41245,308841,Captain America,2011, ,https://comicvine.gamespot.com/captain-america-6-powerless-part-1/4000-308841/,59 days 00:00:00
21,Captain America,2011,7,Issue,2012-03-31,Comicvine,41245,310916,Captain America,2011, ,https://comicvine.gamespot.com/captain-america-7-powerless-part-2/4000-310916/,1 days 00:00:00
22,Captain America,2011,8,Issue,2012-04-01,Comicvine,41245,315148,Captain America,2011, ,https://comicvine.gamespot.com/captain-america-8-powerless-part-3/4000-315148/,30 days 00:00:00
23,Captain America,2011,9,Issue,2012-05-01,Comicvine,41245,321311,Captain America,2011, ,https://comicvine.gamespot.com/captain-america-9-powerless-part-4/4000-321311/,31 days 00:00:00
24,Captain America,2011,10,Issue,2012-06-01,Comicvine,41245,333399,Captain America,2011, ,https://comicvine.gamespot.com/captain-america-10-powerless-part-5/4000-333399/,152 days 00:00:00
25,Avengers Academy,2010,22,Issue,2012-01-01,Comicvine,33633,302682,Avengers Academy,2010, ,https://comicvine.gamespot.com/avengers-academy-22-disappointments/4000-302682/,61 days 00:00:00
26,New Avengers,2010,16.1,Issue,2011-11-01,Comicvine,33777,293633,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-16-1-osborn-rises/4000-293633/,48 days 00:00:00
27,Avengers,2010,18,Issue,2011-12-19,Comicvine,33227,298471,Avengers,2010, ,https://comicvine.gamespot.com/avengers-18-who-are-the-avengers/4000-298471/,18 days 00:00:00
28,New Avengers,2010,17,Issue,2011-12-01,Comicvine,33777,295041,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-17/4000-295041/,31 days 00:00:00
29,New Avengers,2010,18,Issue,2012-01-01,Comicvine,33777,301727,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-18/4000-301727/,31 days 00:00:00
30,New Avengers,2010,19,Issue,2012-02-01,Comicvine,33777,306639,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-19/4000-306639/,29 days 00:00:00
31,New Avengers,2010,20,Issue,2012-03-01,Comicvine,33777,311038,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-20/4000-311038/,1369 days 00:00:00
32,Quake: S.H.I.E.L.D. 50th Anniversary,2015,1,Issue,2015-11-30,Comicvine,84439,499751,Quake: S.H.I.E.L.D. 50th Anniversary,2015, ,https://comicvine.gamespot.com/quake-shield-50th-anniversary-1/4000-499751/,1429 days 00:00:00
33,Avengers,2010,19,Issue,2012-01-01,Comicvine,33227,302678,Avengers,2010, ,https://comicvine.gamespot.com/avengers-19-avengers-assemble/4000-302678/,31 days 00:00:00
34,Avengers,2010,20,Issue,2012-02-01,Comicvine,33227,307605,Avengers,2010, ,https://comicvine.gamespot.com/avengers-20-hail-hulk/4000-307605/,29 days 00:00:00
35,Avengers,2010,21,Issue,2012-03-01,Comicvine,33227,311987,Avengers,2010, ,https://comicvine.gamespot.com/avengers-21-mess-with-the-goddessget-the-storm/4000-311987/,31 days 00:00:00
36,Avengers,2010,22,Issue,2012-04-01,Comicvine,33227,315754,Avengers,2010, ,https://comicvine.gamespot.com/avengers-22-beware-the-gorgon/4000-315754/,0 days 00:00:00
37,Avengers,2010,23,Issue,2012-04-01,Comicvine,33227,317925,Avengers,2010, ,https://comicvine.gamespot.com/avengers-23-the-hammer-falls/4000-317925/,0 days 00:00:00
38,New Avengers,2010,21,Issue,2012-04-01,Comicvine,33777,315829,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-21/4000-315829/,0 days 00:00:00
39,New Avengers,2010,22,Issue,2012-04-01,Comicvine,33777,317930,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-22-the-new-avengers-versus-authority/4000-317930/,30 days 00:00:00
40,New Avengers,2010,23,Issue,2012-05-01,Comicvine,33777,324984,New Avengers,2010, ,https://comicvine.gamespot.com/new-avengers-23-untitled/4000-324984/,0 days 00:00:00
41,Avengers,2010,24,Issue,2012-05-01,Comicvine,33227,321300,Avengers,2010, ,https://comicvine.gamespot.com/avengers-24-the-great-and-powerful-osborn/4000-321300/,90 days 00:00:00
42,Avengers Academy,2010,23,Issue,2012-02-01,Comicvine,33633,306627,Avengers Academy,2010, ,https://comicvine.gamespot.com/avengers-academy-23-second-chances/4000-306627/,29 days 00:00:00
43,Avengers Academy,2010,24,Issue,2012-03-01,Comicvine,33633,309476,Avengers Academy,2010, ,https://comicvine.gamespot.com/avengers-academy-24-family/4000-309476/,31 days 00:00:00
44,Avengers Academy,2010,25,Issue,2012-04-01,Comicvine,33633,313901,Avengers Academy,2010, ,https://comicvine.gamespot.com/avengers-academy-25-class-reunion/4000-313901/,0 days 00:00:00
45,Avengers Academy,2010,26,Issue,2012-04-01,Comicvine,33633,316708,Avengers Academy,2010, ,https://comicvine.gamespot.com/avengers-academy-26-career-day/4000-316708/,91 days 00:00:00
46,Fear Itself: The Fearless,2011,2,Issue,2012-01-01,Comicvine,43215,301072,Fear Itself: The Fearless,2011, ,https://comicvine.gamespot.com/fear-itself-the-fearless-2-death-wish/4000-301072/,0 days 00:00:00
47,Fear Itself: The Fearless,2011,3,Issue,2012-01-01,Comicvine,43215,302677,Fear Itself: The Fearless,2011, ,https://comicvine.gamespot.com/fear-itself-the-fearless-3-angels-demons/4000-302677/,0 days 00:00:00
48,Battle Scars,2012,1,Issue,2012-01-01,Comicvine,43894,301666,Battle Scars,2012, ,https://comicvine.gamespot.com/battle-scars-1/4000-301666/,31 days 00:00:00
49,Battle Scars,2012,2,Issue,2012-02-01,Comicvine,43894,306645,Battle Scars,2012, ,https://comicvine.gamespot.com/battle-scars-2/4000-306645/,29 days 00:00:00
50,Battle Scars,2012,3,Issue,2012-03-01,Comicvine,43894,310917,Battle Scars,2012, ,https://comicvine.gamespot.com/battle-scars-3/4000-310917/,31 days 00:00:00
51,Battle Scars,2012,4,Issue,2012-04-01,Comicvine,43894,315288,Battle Scars,2012, ,https://comicvine.gamespot.com/battle-scars-4/4000-315288/,30 days 00:00:00
52,Battle Scars,2012,5,Issue,2012-05-01,Comicvine,43894,321359,Battle Scars,2012, ,https://comicvine.gamespot.com/battle-scars-5/4000-321359/,31 days 00:00:00
