,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Nightstalkers,1992,14,Issue,1993-12-01,Comicvine,4802,104487,Nightstalkers,1992, ,https://comicvine.gamespot.com/nightstalkers-14-siege-of-darkness-part-1-the-stor/4000-104487/,0 days 00:00:00
2,Ghost Rider,1990,44,Issue,1993-12-01,Comicvine,4397,66459,Ghost Rider,1990, ,https://comicvine.gamespot.com/ghost-rider-44-siege-of-darkness-part-2-into-the-m/4000-66459/,0 days 00:00:00
3,Darkhold,1992,15,Issue,1993-12-01,Comicvine,4784,51669,Darkhold: Pages from the Book of Sins,1992, ,https://comicvine.gamespot.com/issue/4000-51669/,0 days 00:00:00
4,Morbius: The Living Vampire,1992,16,Issue,1993-12-01,Comicvine,4798,38259,Morbius: The Living Vampire,1992, ,https://comicvine.gamespot.com/morbius-the-living-vampire-16-siege-of-darkness-pa/4000-38259/,0 days 00:00:00
5,Doctor Strange: Sorcerer Supreme,1988,60,Issue,1993-12-01,Comicvine,4049,38285,"Doctor Strange, Sorcerer Supreme",1988, ,https://comicvine.gamespot.com/doctor-strange-sorcerer-supreme-60-siege-of-darkne/4000-38285/,0 days 00:00:00
6,Spirits of Vengeance,1992,17,Issue,1993-12-01,Comicvine,4790,66535,Ghost Rider/Blaze: Spirits of Vengeance,1992, ,https://comicvine.gamespot.com/issue/4000-66535/,31 days 00:00:00
7,Nightstalkers,1992,15,Issue,1994-01-01,Comicvine,4802,104488,Nightstalkers,1992, ,https://comicvine.gamespot.com/nightstalkers-15-siege-of-darkness-part-9-bad-bloo/4000-104488/,0 days 00:00:00
8,Ghost Rider,1990,45,Issue,1994-01-01,Comicvine,4397,66460,Ghost Rider,1990, ,https://comicvine.gamespot.com/ghost-rider-45-seige-of-darkness-part-10-blood/4000-66460/,0 days 00:00:00
9,Darkhold,1992,16,Issue,1994-01-01,Comicvine,4784,51670,Darkhold: Pages from the Book of Sins,1992, ,https://comicvine.gamespot.com/issue/4000-51670/,0 days 00:00:00
10,Morbius: The Living Vampire,1992,17,Issue,1994-01-01,Comicvine,4798,38507,Morbius: The Living Vampire,1992, ,https://comicvine.gamespot.com/morbius-the-living-vampire-17-siege-of-darkness-pa/4000-38507/,0 days 00:00:00
11,Doctor Strange: Sorcerer Supreme,1988,61,Issue,1994-01-01,Comicvine,4049,38541,"Doctor Strange, Sorcerer Supreme",1988, ,https://comicvine.gamespot.com/doctor-strange-sorcerer-supreme-61-siege-of-darkne/4000-38541/,0 days 00:00:00
12,Spirits of Vengeance,1992,18,Issue,1994-01-01,Comicvine,4790,66536,Ghost Rider/Blaze: Spirits of Vengeance,1992, ,https://comicvine.gamespot.com/issue/4000-66536/,0 days 00:00:00
