,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Edge of Spider-Geddon,2018,1,Issue,2018-10-01,Comicvine,112806,679991,Edge of Spider-Geddon,2018, ,https://comicvine.gamespot.com/edge-of-spider-geddon-1-the-anarchic-spider-man-se/4000-679991/,0 days 00:00:00
2,Edge of Spider-Geddon,2018,2,Issue,2018-10-01,Comicvine,112806,682652,Edge of Spider-Geddon,2018, ,https://comicvine.gamespot.com/edge-of-spider-geddon-2/4000-682652/,31 days 00:00:00
3,Edge of Spider-Geddon,2018,3,Issue,2018-11-01,Comicvine,112806,685842,Edge of Spider-Geddon,2018, ,https://comicvine.gamespot.com/edge-of-spider-geddon-3/4000-685842/,0 days 00:00:00
4,Edge of Spider-Geddon,2018,4,Issue,2018-11-01,Comicvine,112806,686377,Edge of Spider-Geddon,2018, ,https://comicvine.gamespot.com/edge-of-spider-geddon-4/4000-686377/,0 days 00:00:00
5,Spider-Geddon,2018,0,Issue,2018-11-01,Comicvine,113899,686392,Spider-Geddon,2018, ,https://comicvine.gamespot.com/spider-geddon-0-new-players-check-in/4000-686392/,30 days 00:00:00
6,Superior Octopus,2018,1,Issue,2018-12-01,Comicvine,114089,687020,Superior Octopus,2018, ,https://comicvine.gamespot.com/superior-octopus-1/4000-687020/,0 days 00:00:00
7,Spider-Geddon,2018,1,Issue,2018-12-01,Comicvine,113899,688324,Spider-Geddon,2018, ,https://comicvine.gamespot.com/spider-geddon-1/4000-688324/,0 days 00:00:00
8,Peter Parker: The Spectacular Spider-Man,2017,311,Issue,2018-12-01,Comicvine,102272,689051,Peter Parker: The Spectacular Spider-Man,2017, ,https://comicvine.gamespot.com/peter-parker-the-spectacular-spider-man-311/4000-689051/,31 days 00:00:00
9,Peter Parker: The Spectacular Spider-Man,2017,312,Issue,2019-01-01,Comicvine,102272,692075,Peter Parker: The Spectacular Spider-Man,2017, ,https://comicvine.gamespot.com/peter-parker-the-spectacular-spider-man-312/4000-692075/,31 days 00:00:00
10,Spider-Geddon,2018,2,Issue,2018-12-01,Comicvine,113899,689873,Spider-Geddon,2018, ,https://comicvine.gamespot.com/spider-geddon-2/4000-689873/,0 days 00:00:00
11,Spider-Girls,2018,1,Issue,2018-12-01,Comicvine,114733,689874,Spider-Girls,2018, ,https://comicvine.gamespot.com/spider-girls-1/4000-689874/,0 days 00:00:00
12,Spider-Gwen: Ghost-Spider,2018,1,Issue,2018-12-01,Comicvine,114734,689875,Spider-Gwen: Ghost-Spider,2018, ,https://comicvine.gamespot.com/spider-gwen-ghost-spider-1-spider-geddon-part-1-un/4000-689875/,0 days 00:00:00
13,Spider-Force,2018,1,Issue,2018-12-01,Comicvine,114912,690818,Spider-Force,2018, ,https://comicvine.gamespot.com/spider-force-1-15-minutes/4000-690818/,0 days 00:00:00
14,Vault of Spiders,2018,1,Issue,2018-12-01,Comicvine,114916,690820,Vault of Spiders,2018, ,https://comicvine.gamespot.com/vault-of-spiders-1/4000-690820/,31 days 00:00:00
15,Spider-Geddon,2018,3,Issue,2019-01-01,Comicvine,113899,691391,Spider-Geddon,2018, ,https://comicvine.gamespot.com/spider-geddon-3/4000-691391/,0 days 00:00:00
16,Vault of Spiders,2018,2,Issue,2019-01-01,Comicvine,114916,692090,Vault of Spiders,2018, ,https://comicvine.gamespot.com/vault-of-spiders-2/4000-692090/,0 days 00:00:00
17,Spider-Force,2018,2,Issue,2019-01-01,Comicvine,114912,692556,Spider-Force,2018, ,https://comicvine.gamespot.com/spider-force-2-scream/4000-692556/,31 days 00:00:00
18,Spider-Force,2018,3,Issue,2019-02-01,Comicvine,114912,694922,Spider-Force,2018, ,https://comicvine.gamespot.com/spider-force-3-breathe/4000-694922/,31 days 00:00:00
19,Spider-Geddon,2018,4,Issue,2019-01-01,Comicvine,113899,692557,Spider-Geddon,2018, ,https://comicvine.gamespot.com/spider-geddon-4/4000-692557/,0 days 00:00:00
20,Spider-Gwen: Ghost-Spider,2018,2,Issue,2019-01-01,Comicvine,114734,693472,Spider-Gwen: Ghost-Spider,2018, ,https://comicvine.gamespot.com/spider-gwen-ghost-spider-2-spider-geddon-part-2-th/4000-693472/,0 days 00:00:00
21,Spider-Girls,2018,2,Issue,2019-01-01,Comicvine,114733,693471,Spider-Girls,2018, ,https://comicvine.gamespot.com/spider-girls-2/4000-693471/,31 days 00:00:00
22,Spider-Girls,2018,3,Issue,2019-02-01,Comicvine,114733,694923,Spider-Girls,2018, ,https://comicvine.gamespot.com/spider-girls-3/4000-694923/,0 days 00:00:00
23,Spider-Gwen: Ghost-Spider,2018,3,Issue,2019-02-01,Comicvine,114734,694924,Spider-Gwen: Ghost-Spider,2018, ,https://comicvine.gamespot.com/spider-gwen-ghost-spider-3-spider-geddon-part-3-be/4000-694924/,0 days 00:00:00
24,Peter Parker: The Spectacular Spider-Man,2017,313,Issue,2019-02-01,Comicvine,102272,694919,Peter Parker: The Spectacular Spider-Man,2017, ,https://comicvine.gamespot.com/peter-parker-the-spectacular-spider-man-313/4000-694919/,0 days 00:00:00
25,Spider-Geddon,2018,5,Issue,2019-02-01,Comicvine,113899,695660,Spider-Geddon,2018, ,https://comicvine.gamespot.com/spider-geddon-5/4000-695660/,28 days 00:00:00
26,Spider-Gwen: Ghost-Spider,2018,4,Issue,2019-03-01,Comicvine,114734,696953,Spider-Gwen: Ghost-Spider,2018, ,https://comicvine.gamespot.com/spider-gwen-ghost-spider-4-spider-geddon-part-4-li/4000-696953/,0 days 00:00:00
