,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Spider-Island: Infested,2011,1,Issue,2011-10-01,Comicvine,42589,291101,Amazing Spider-Man: Infested,2011, ,https://comicvine.gamespot.com/issue/4000-291101/,62 days 00:00:00
2,Spider-Island Daily Bugle,2011,1,Issue,2011-07-31,Comicvine,41280,278722,Spider-Island Daily Bugle,2011, ,https://comicvine.gamespot.com/spider-island-daily-bugle-1/4000-278722/,44 days 00:00:00
3,Amazing Spider-Man,1963,665,Issue,2011-09-13,Comicvine,2127,278710,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-665-crossroads/4000-278710/,14 days 00:00:00
4,Amazing Spider-Man,1963,666,Issue,2011-09-27,Comicvine,2127,281822,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-666-spider-island-prologue-/4000-281822/,26 days 00:00:00
5,Venom,2011,5,Issue,2011-09-01,Comicvine,39301,281845,Venom,2011, ,https://comicvine.gamespot.com/venom-5-fathers-day/4000-281845/,39 days 00:00:00
6,Amazing Spider-Man,1963,667,Issue,2011-10-10,Comicvine,2127,285544,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-667-spider-island-part-one-/4000-285544/,21 days 00:00:00
7,Spider-Island: Cloak and Dagger,2011,1,Issue,2011-10-31,Comicvine,41955,285497,Spider-Island: Cloak & Dagger,2011, ,https://comicvine.gamespot.com/spider-island-cloak-dagger-1-part-1/4000-285497/,0 days 00:00:00
8,Spider-Island: Deadly Hands of Kung Fu,2011,1,Issue,2011-10-31,Comicvine,42513,290625,Spider-Island: Deadly Hands of Kung Fu,2011, ,https://comicvine.gamespot.com/spider-island-deadly-hands-of-kung-fu-1-part-one-d/4000-290625/,0 days 00:00:00
9,Amazing Spider-Man,1963,668,Issue,2011-10-31,Comicvine,2127,290665,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-668-spider-island-part-two-/4000-290665/,0 days 00:00:00
10,Spider-Island: Deadly Foes,2011,1,Issue,2011-10-31,Comicvine,42012,286181,Spider-Island: Deadly Foes,2011, ,https://comicvine.gamespot.com/spider-island-deadly-foes-1-out-of-the-picture-wha/4000-286181/,30 days 00:00:00
11,Spider-Island: The Amazing Spider-Girl,2011,1,Issue,2011-10-01,Comicvine,42131,286920,Spider-Island: The Amazing Spider-Girl,2011, ,https://comicvine.gamespot.com/spider-island-the-amazing-spider-girl-1-class-warf/4000-286920/,31 days 00:00:00
12,Spider-Island: The Amazing Spider-Girl,2011,2,Issue,2011-11-01,Comicvine,42131,292619,Spider-Island: The Amazing Spider-Girl,2011, ,https://comicvine.gamespot.com/spider-island-the-amazing-spider-girl-2-and-crept-/4000-292619/,31 days 00:00:00
13,Venom,2011,6,Issue,2011-10-01,Comicvine,39301,286935,Venom,2011, ,https://comicvine.gamespot.com/venom-6-spider-island-part-1/4000-286935/,0 days 00:00:00
14,Spider-Island: I Love New York,2011,1,Issue,2011-10-01,Comicvine,42657,291609,Spider-Island: I Love New York City,2011, ,https://comicvine.gamespot.com/issue/4000-291609/,60 days 00:00:00
15,Spider-Island: Emergence of Evil: Jackal & Hobgoblin,2011,1,Issue,2011-11-30,Comicvine,42547,290910,Spider-Island: Emergence of Evil - Jackal & Hobgoblin,2011, ,https://comicvine.gamespot.com/spider-island-emergence-of-evil-jackal-hobgoblin-1/4000-290910/,16 days 00:00:00
16,Amazing Spider-Man,1963,669,Issue,2011-11-14,Comicvine,2127,292609,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-669-spider-island-part-thre/4000-292609/,16 days 00:00:00
17,Spider-Island: Cloak and Dagger,2011,2,Issue,2011-11-30,Comicvine,41955,293399,Spider-Island: Cloak & Dagger,2011, ,https://comicvine.gamespot.com/spider-island-cloak-dagger-2-part-2/4000-293399/,31 days 00:00:00
18,Spider-Island: Cloak and Dagger,2011,3,Issue,2011-12-31,Comicvine,41955,299872,Spider-Island: Cloak & Dagger,2011, ,https://comicvine.gamespot.com/spider-island-cloak-dagger-3-part-3/4000-299872/,60 days 00:00:00
19,Spider-Island: Avengers,2011,1,Issue,2011-11-01,Comicvine,42663,292003,Spider-Island: The Avengers,2011, ,https://comicvine.gamespot.com/spider-island-the-avengers-1-amphibians-assemble/4000-292003/,60 days 00:00:00
20,Black Panther: The Most Dangerous Man Alive,2011,524,Issue,2011-12-31,Comicvine,59534,295601,Black Panther: The Most Dangerous Man Alive,2011, ,https://comicvine.gamespot.com/black-panther-the-most-dangerous-man-alive-524/4000-295601/,60 days 00:00:00
21,Herc,2011,7,Issue,2011-11-01,Comicvine,39639,292712,Herc,2011, ,https://comicvine.gamespot.com/herc-7-spider-story-part-1/4000-292712/,0 days 00:00:00
22,Herc,2011,8,Issue,2011-11-01,Comicvine,39639,293632,Herc,2011, ,https://comicvine.gamespot.com/herc-8-spider-story-part-2/4000-293632/,0 days 00:00:00
23,Spider-Island: Spider-Woman,2011,1,Issue,2011-11-01,Comicvine,42978,293441,Spider-Island: Spider-Woman,2011, ,https://comicvine.gamespot.com/spider-island-spider-woman-1/4000-293441/,27 days 00:00:00
24,Amazing Spider-Man,1963,670,Issue,2011-11-28,Comicvine,2127,293619,The Amazing Spider-Man,1963, ,https://comicvine.gamespot.com/the-amazing-spider-man-670-spider-island-part-four/4000-293619/,27 days 00:00:00
25,Venom,2011,7,Issue,2011-11-01,Comicvine,39301,293634,Venom,2011, ,https://comicvine.gamespot.com/venom-7-spider-island-part-2/4000-293634/,29 days 00:00:00
