,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Superior Spider-Man,2013,32,Issue,2014-10-31,Comicvine,55552,461740,Superior Spider-Man,2013, ,https://comicvine.gamespot.com/superior-spider-man-32-edge-of-spider-verse-prolog/4000-461740/,30 days 00:00:00
2,Superior Spider-Man,2013,33,Issue,2014-11-30,Comicvine,55552,465850,Superior Spider-Man,2013, ,https://comicvine.gamespot.com/superior-spider-man-33-edge-of-spider-verse-prolog/4000-465850/,31 days 00:00:00
3,Amazing Spider-Man,2014,7,Issue,2014-12-31,Comicvine,73420,467646,The Amazing Spider-Man,2014, ,https://comicvine.gamespot.com/the-amazing-spider-man-7-ms-marvel-team-up-edge-of/4000-467646/,0 days 00:00:00
4,Amazing Spider-Man,2014,8,Issue,2014-12-31,Comicvine,73420,468455,The Amazing Spider-Man,2014, ,https://comicvine.gamespot.com/the-amazing-spider-man-8-msadventures-in-babysitti/4000-468455/,31 days 00:00:00
5,Edge of Spider-Verse,2014,1,Issue,2014-11-30,Comicvine,76863,464979,Edge of Spider-Verse,2014, ,https://comicvine.gamespot.com/edge-of-spider-verse-1-spider-man-noir/4000-464979/,0 days 00:00:00
6,Edge of Spider-Verse,2014,2,Issue,2014-11-30,Comicvine,76863,465842,Edge of Spider-Verse,2014, ,https://comicvine.gamespot.com/edge-of-spider-verse-2-gwen-stacy-spider-woman/4000-465842/,0 days 00:00:00
7,Edge of Spider-Verse,2014,3,Issue,2014-11-30,Comicvine,76863,466326,Edge of Spider-Verse,2014, ,https://comicvine.gamespot.com/edge-of-spider-verse-3-aaron-aikman-the-spider-man/4000-466326/,31 days 00:00:00
8,Edge of Spider-Verse,2014,4,Issue,2014-12-31,Comicvine,76863,467035,Edge of Spider-Verse,2014, ,https://comicvine.gamespot.com/edge-of-spider-verse-4-i-walked-with-a-spider/4000-467035/,0 days 00:00:00
9,Edge of Spider-Verse,2014,5,Issue,2014-12-31,Comicvine,76863,468077,Edge of Spider-Verse,2014, ,https://comicvine.gamespot.com/edge-of-spider-verse-5-sp-dr-nu-xing-cao-zong-shi/4000-468077/,31 days 00:00:00
10,Spider-Verse Team-Up,2015,1,Issue,2015-01-31,Comicvine,77941,469497,Spider-Verse Team-Up,2014, ,https://comicvine.gamespot.com/issue/4000-469497/,181 days 00:00:00
11,Spider-Verse,2015,1,Issue,2015-07-31,Comicvine,82108,489327,Spider-Verse,2015, ,https://comicvine.gamespot.com/Spider-Verse-1/4000-489327/,31 days 00:00:00
12,Spider-Verse,2015,2,Issue,2015-08-31,Comicvine,82108,491530,Spider-Verse,2015, ,https://comicvine.gamespot.com/spider-verse-2/4000-491530/,212 days 00:00:00
13,Amazing Spider-Man,2014,9,Issue,2015-01-31,Comicvine,73420,469487,The Amazing Spider-Man,2014, ,https://comicvine.gamespot.com/the-amazing-spider-man-9-spider-verse-part-1-the-g/4000-469487/,0 days 00:00:00
14,Amazing Spider-Man,2014,10,Issue,2015-01-31,Comicvine,73420,470416,The Amazing Spider-Man,2014, ,https://comicvine.gamespot.com/the-amazing-spider-man-10-spider-verse-part-2-supe/4000-470416/,0 days 00:00:00
15,Scarlet Spiders,2015,1,Issue,2015-01-31,Comicvine,78356,471321,Scarlet Spiders,2014, ,https://comicvine.gamespot.com/issue/4000-471321/,1 days 00:00:00
16,Scarlet Spiders,2015,2,Issue,2015-02-01,Comicvine,78356,473654,Scarlet Spiders,2014, ,https://comicvine.gamespot.com/issue/4000-473654/,0 days 00:00:00
17,Amazing Spider-Man,2014,11,Issue,2015-02-01,Comicvine,73420,472897,The Amazing Spider-Man,2014, ,https://comicvine.gamespot.com/the-amazing-spider-man-11-spider-verse-part-3-high/4000-472897/,0 days 00:00:00
18,Spider-Verse Team-Up,2015,2,Issue,2015-02-01,Comicvine,77941,472912,Spider-Verse Team-Up,2014, ,https://comicvine.gamespot.com/issue/4000-472912/,1 days 00:00:00
19,Spider-Woman,2014,1,Issue,2015-01-31,Comicvine,78202,470434,Spider-Woman,2014, ,https://comicvine.gamespot.com/spider-woman-1/4000-470434/,1 days 00:00:00
20,Spider-Woman,2014,2,Issue,2015-02-01,Comicvine,78202,473656,Spider-Woman,2014, ,https://comicvine.gamespot.com/spider-woman-2/4000-473656/,58 days 00:00:00
21,Amazing Spider-Man,2014,12,Issue,2015-03-31,Comicvine,73420,475450,The Amazing Spider-Man,2014, ,https://comicvine.gamespot.com/the-amazing-spider-man-12-spider-verse-part-four-a/4000-475450/,0 days 00:00:00
22,Scarlet Spiders,2015,3,Issue,2015-03-31,Comicvine,78356,476793,Scarlet Spiders,2014, ,https://comicvine.gamespot.com/issue/4000-476793/,0 days 00:00:00
23,Amazing Spider-Man,2014,13,Issue,2015-03-31,Comicvine,73420,476779,The Amazing Spider-Man,2014, ,https://comicvine.gamespot.com/the-amazing-spider-man-13-spider-verse-part-5-spid/4000-476779/,0 days 00:00:00
24,Spider-Verse Team-Up,2015,3,Issue,2015-03-31,Comicvine,77941,476794,Spider-Verse Team-Up,2014, ,https://comicvine.gamespot.com/issue/4000-476794/,0 days 00:00:00
25,Spider-Woman,2014,3,Issue,2015-03-31,Comicvine,78202,476795,Spider-Woman,2014, ,https://comicvine.gamespot.com/spider-woman-3/4000-476795/,0 days 00:00:00
