,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Civil War: The Initiative,2007,1,Issue,2007-04-01,Comicvine,18235,106789,Civil War: The Initiative,2007, ,https://comicvine.gamespot.com/civil-war-the-initiative-1-the-initiative/4000-106789/,20 days 00:00:00
2,Ms. Marvel,2006,13,Issue,2007-04-21,Comicvine,17990,107228,Ms. Marvel,2006, ,https://comicvine.gamespot.com/ms-marvel-13-the-deal-part-1/4000-107228/,20 days 00:00:00
3,Ms. Marvel,2006,14,Issue,2007-04-01,Comicvine,17990,107995,Ms. Marvel,2006, ,https://comicvine.gamespot.com/ms-marvel-14-the-deal-part-2/4000-107995/,30 days 00:00:00
4,Ms. Marvel,2006,15,Issue,2007-05-01,Comicvine,17990,109131,Ms. Marvel,2006, ,https://comicvine.gamespot.com/ms-marvel-15-ready-aim-fire-part-1/4000-109131/,31 days 00:00:00
5,Ms. Marvel,2006,16,Issue,2007-06-01,Comicvine,17990,110265,Ms. Marvel,2006, ,https://comicvine.gamespot.com/ms-marvel-16-ready-aim-fire-part-2/4000-110265/,30 days 00:00:00
6,Ms. Marvel,2006,17,Issue,2007-07-01,Comicvine,17990,111348,Ms. Marvel,2006, ,https://comicvine.gamespot.com/ms-marvel-17-ready-aim-fire-part-3/4000-111348/,61 days 00:00:00
7,Thunderbolts,2006,112,Issue,2007-05-01,Comicvine,18128,106910,Thunderbolts,2006, ,https://comicvine.gamespot.com/thunderbolts-112-faith-in-monsters-pt-3/4000-106910/,31 days 00:00:00
8,Thunderbolts,2006,113,Issue,2007-06-01,Comicvine,18128,108363,Thunderbolts,2006, ,https://comicvine.gamespot.com/thunderbolts-113-faith-in-monsters-pt-4/4000-108363/,30 days 00:00:00
9,Thunderbolts,2006,114,Issue,2007-07-01,Comicvine,18128,109265,Thunderbolts,2006, ,https://comicvine.gamespot.com/thunderbolts-114-faith-in-monsters-pt-5/4000-109265/,31 days 00:00:00
10,Thunderbolts,2006,115,Issue,2007-08-01,Comicvine,18128,111038,Thunderbolts,2006, ,https://comicvine.gamespot.com/thunderbolts-115-faith-in-monsters-pt-6/4000-111038/,32 days 00:00:00
11,Omega Flight,2007,1,Issue,2007-06-30,Comicvine,18441,108222,Omega Flight,2007, ,https://comicvine.gamespot.com/omega-flight-1-alpha-to-omega-part-1/4000-108222/,31 days 00:00:00
12,Omega Flight,2007,2,Issue,2007-07-31,Comicvine,18441,108924,Omega Flight,2007, ,https://comicvine.gamespot.com/omega-flight-2-alpha-to-omega-part-2/4000-108924/,31 days 00:00:00
13,Omega Flight,2007,3,Issue,2007-08-31,Comicvine,18441,110279,Omega Flight,2007, ,https://comicvine.gamespot.com/omega-flight-3-alpha-to-omega-part-3/4000-110279/,30 days 00:00:00
14,Omega Flight,2007,4,Issue,2007-09-30,Comicvine,18441,111508,Omega Flight,2007, ,https://comicvine.gamespot.com/omega-flight-4-alpha-to-omega-part-4/4000-111508/,31 days 00:00:00
15,Omega Flight,2007,5,Issue,2007-10-31,Comicvine,18441,113246,Omega Flight,2007, ,https://comicvine.gamespot.com/omega-flight-5-alpha-to-omega-part-5/4000-113246/,31 days 00:00:00
16,Moon Knight,2006,13,Issue,2007-12-01,Comicvine,18105,117585,Moon Knight,2006, ,https://comicvine.gamespot.com/moon-knight-13-the-uses-of-restraint/4000-117585/,214 days 00:00:00
17,Captain America,2005,26,Issue,2007-05-01,Comicvine,11499,109835,Captain America,2004, ,https://comicvine.gamespot.com/issue/4000-109835/,92 days 00:00:00
18,Captain America,2005,27,Issue,2007-08-01,Comicvine,11499,110669,Captain America,2004, ,https://comicvine.gamespot.com/issue/4000-110669/,31 days 00:00:00
19,Captain America,2005,28,Issue,2007-09-01,Comicvine,11499,111671,Captain America,2004, ,https://comicvine.gamespot.com/issue/4000-111671/,30 days 00:00:00
20,Captain America,2005,29,Issue,2007-10-01,Comicvine,11499,113543,Captain America,2004, ,https://comicvine.gamespot.com/issue/4000-113543/,31 days 00:00:00
21,Captain America,2005,30,Issue,2007-11-01,Comicvine,11499,114665,Captain America,2004, ,https://comicvine.gamespot.com/issue/4000-114665/,214 days 00:00:00
22,New Avengers,2005,27,Issue,2007-04-01,Comicvine,11497,106364,New Avengers,2004, ,https://comicvine.gamespot.com/issue/4000-106364/,30 days 00:00:00
23,New Avengers,2005,28,Issue,2007-05-01,Comicvine,11497,106902,New Avengers,2004, ,https://comicvine.gamespot.com/issue/4000-106902/,31 days 00:00:00
