,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Guardians of the Galaxy,2008,25,Issue,2010-06-01,Comicvine,21550,208674,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-25-thanos-lives/4000-208674/,0 days 00:00:00
2,Nova,2007,36,Issue,2010-06-01,Comicvine,18462,208675,Nova,2007, ,https://comicvine.gamespot.com/nova-36/4000-208675/,60 days 00:00:00
3,The Thanos Imperative: Ignition,2010,1,Issue,2010-07-31,Comicvine,33348,216176,The Thanos Imperative: Ignition,2010, ,https://comicvine.gamespot.com/the-thanos-imperative-ignition-1/4000-216176/,31 days 00:00:00
4,The Thanos Imperative,2010,1,Issue,2010-08-31,Comicvine,33509,217441,The Thanos Imperative,2010, ,https://comicvine.gamespot.com/the-thanos-imperative-1/4000-217441/,30 days 00:00:00
5,The Thanos Imperative,2010,2,Issue,2010-09-30,Comicvine,33509,224702,The Thanos Imperative,2010, ,https://comicvine.gamespot.com/the-thanos-imperative-2/4000-224702/,31 days 00:00:00
6,The Thanos Imperative,2010,3,Issue,2010-10-31,Comicvine,33509,228973,The Thanos Imperative,2010, ,https://comicvine.gamespot.com/the-thanos-imperative-3/4000-228973/,30 days 00:00:00
7,The Thanos Imperative,2010,4,Issue,2010-11-30,Comicvine,33509,233762,The Thanos Imperative,2010, ,https://comicvine.gamespot.com/the-thanos-imperative-4-part-4/4000-233762/,31 days 00:00:00
8,The Thanos Imperative,2010,5,Issue,2010-12-31,Comicvine,33509,238172,The Thanos Imperative,2010, ,https://comicvine.gamespot.com/the-thanos-imperative-5/4000-238172/,31 days 00:00:00
9,The Thanos Imperative,2010,6,Issue,2011-01-31,Comicvine,33509,242319,The Thanos Imperative,2010, ,https://comicvine.gamespot.com/the-thanos-imperative-6/4000-242319/,59 days 00:00:00
10,The Thanos Imperative: Devastation,2011,1,Issue,2011-03-31,Comicvine,38068,254490,The Thanos Imperative: Devastation,2011, ,https://comicvine.gamespot.com/the-thanos-imperative-devastation-1/4000-254490/,0 days 00:00:00
