,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Ultimate Spider-Man,2000,1,Issue,2000-10-01,Comicvine,7257,51619,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-1-powerless/4000-51619/,61 days 00:00:00
2,Ultimate Spider-Man,2000,2,Issue,2000-12-01,Comicvine,7257,51620,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-2-growing-pains/4000-51620/,31 days 00:00:00
3,Ultimate Spider-Man,2000,3,Issue,2001-01-01,Comicvine,7257,51621,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-3-wannabe/4000-51621/,31 days 00:00:00
4,Ultimate Spider-Man,2000,4,Issue,2001-02-01,Comicvine,7257,51622,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-4-with-great-power/4000-51622/,28 days 00:00:00
5,Ultimate Spider-Man,2000,5,Issue,2001-03-01,Comicvine,7257,51623,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-5-life-lessons/4000-51623/,31 days 00:00:00
6,Ultimate Spider-Man,2000,6,Issue,2001-04-01,Comicvine,7257,51624,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-6-big-time-super-hero/4000-51624/,30 days 00:00:00
7,Ultimate Spider-Man,2000,7,Issue,2001-05-01,Comicvine,7257,51625,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-7-secret-identity/4000-51625/,1 days 00:00:00
8,Ultimate Marvel Team-Up,2001,1,Issue,2001-04-30,Comicvine,7515,113552,Ultimate Marvel Team-Up,2001, ,https://comicvine.gamespot.com/ultimate-marvel-team-up-1-spider-man-wolverine/4000-113552/,31 days 00:00:00
9,Ultimate Marvel Team-Up,2001,2,Issue,2001-05-31,Comicvine,7515,55325,Ultimate Marvel Team-Up,2001, ,https://comicvine.gamespot.com/ultimate-marvel-team-up-2-spider-man-hulk-part-one/4000-55325/,30 days 00:00:00
10,Ultimate Marvel Team-Up,2001,3,Issue,2001-06-30,Comicvine,7515,55326,Ultimate Marvel Team-Up,2001, ,https://comicvine.gamespot.com/ultimate-marvel-team-up-3-spider-man-hulk-part-two/4000-55326/,29 days 00:00:00
11,Ultimate Spider-Man,2000,8,Issue,2001-06-01,Comicvine,7257,69351,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-8-working-stiff/4000-69351/,30 days 00:00:00
12,Ultimate Spider-Man,2000,9,Issue,2001-07-01,Comicvine,7257,69352,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-9-meet-the-enforcers/4000-69352/,31 days 00:00:00
13,Ultimate Spider-Man,2000,10,Issue,2001-08-01,Comicvine,7257,69353,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-10-the-worst-thing/4000-69353/,31 days 00:00:00
14,Ultimate Spider-Man,2000,11,Issue,2001-09-01,Comicvine,7257,69354,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-11-discovery/4000-69354/,30 days 00:00:00
15,Ultimate Spider-Man,2000,12,Issue,2001-10-01,Comicvine,7257,69355,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-12-battle-royal/4000-69355/,60 days 00:00:00
16,Ultimate Spider-Man,2000,13,Issue,2001-11-30,Comicvine,7257,69356,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-13-confessions/4000-69356/,122 days 00:00:00
17,Ultimate Marvel Team-Up,2001,4,Issue,2001-07-31,Comicvine,7515,55327,Ultimate Marvel Team-Up,2001, ,https://comicvine.gamespot.com/ultimate-marvel-team-up-4-spider-man-iron-man-part/4000-55327/,31 days 00:00:00
18,Ultimate Marvel Team-Up,2001,5,Issue,2001-08-31,Comicvine,7515,55328,Ultimate Marvel Team-Up,2001, ,https://comicvine.gamespot.com/ultimate-marvel-team-up-5-spider-man-iron-man-part/4000-55328/,488 days 00:00:00
19,Ultimate Daredevil and Elektra,2002,1,Issue,2003-01-01,Comicvine,23003,138725,Ultimate Daredevil/Elektra,2003, ,https://comicvine.gamespot.com/issue/4000-138725/,31 days 00:00:00
20,Ultimate Daredevil and Elektra,2002,2,Issue,2003-02-01,Comicvine,23003,138726,Ultimate Daredevil/Elektra,2003, ,https://comicvine.gamespot.com/issue/4000-138726/,0 days 00:00:00
21,Ultimate Daredevil and Elektra,2002,3,Issue,2003-02-01,Comicvine,23003,138727,Ultimate Daredevil/Elektra,2003, ,https://comicvine.gamespot.com/issue/4000-138727/,28 days 00:00:00
22,Ultimate Daredevil and Elektra,2002,4,Issue,2003-03-01,Comicvine,23003,138728,Ultimate Daredevil/Elektra,2003, ,https://comicvine.gamespot.com/issue/4000-138728/,580 days 00:00:00
23,Ultimate Elektra,2004,1,Issue,2004-10-01,Comicvine,20985,125640,Ultimate Elektra,2004, ,https://comicvine.gamespot.com/ultimate-elektra-1-devils-due-part-1/4000-125640/,31 days 00:00:00
24,Ultimate Elektra,2004,2,Issue,2004-11-01,Comicvine,20985,137356,Ultimate Elektra,2004, ,https://comicvine.gamespot.com/ultimate-elektra-2-devils-due-part-2/4000-137356/,30 days 00:00:00
25,Ultimate Elektra,2004,3,Issue,2004-12-01,Comicvine,20985,137355,Ultimate Elektra,2004, ,https://comicvine.gamespot.com/ultimate-elektra-3-devils-due-part-3/4000-137355/,31 days 00:00:00
26,Ultimate Elektra,2004,4,Issue,2005-01-01,Comicvine,20985,137950,Ultimate Elektra,2004, ,https://comicvine.gamespot.com/ultimate-elektra-4-devils-due-part-4/4000-137950/,31 days 00:00:00
27,Ultimate Elektra,2004,5,Issue,2005-02-01,Comicvine,20985,137951,Ultimate Elektra,2004, ,https://comicvine.gamespot.com/ultimate-elektra-5-devils-due-part-5/4000-137951/,1220 days 00:00:00
28,Ultimate Marvel Team-Up,2001,6,Issue,2001-09-30,Comicvine,7515,55329,Ultimate Marvel Team-Up,2001, ,https://comicvine.gamespot.com/ultimate-marvel-team-up-6-spider-man-the-punisher/4000-55329/,31 days 00:00:00
29,Ultimate Marvel Team-Up,2001,7,Issue,2001-10-31,Comicvine,7515,55330,Ultimate Marvel Team-Up,2001, ,https://comicvine.gamespot.com/ultimate-marvel-team-up-7-spider-man-the-punisher-/4000-55330/,30 days 00:00:00
30,Ultimate Marvel Team-Up,2001,8,Issue,2001-11-30,Comicvine,7515,55331,Ultimate Marvel Team-Up,2001, ,https://comicvine.gamespot.com/ultimate-marvel-team-up-8-spider-man-the-punisher-/4000-55331/,275 days 00:00:00
31,Ultimate X-Men,2001,1,Issue,2001-02-28,Comicvine,7258,51631,Ultimate X-Men,2001, ,https://comicvine.gamespot.com/ultimate-x-men-1-the-tomorrow-people/4000-51631/,31 days 00:00:00
32,Ultimate X-Men,2001,2,Issue,2001-03-31,Comicvine,7258,51632,Ultimate X-Men,2001, ,https://comicvine.gamespot.com/ultimate-x-men-2-the-enemy-within/4000-51632/,1 days 00:00:00
33,Ultimate X-Men,2001,3,Issue,2001-04-01,Comicvine,7258,51633,Ultimate X-Men,2001, ,https://comicvine.gamespot.com/ultimate-x-men-3-warzone/4000-51633/,30 days 00:00:00
34,Ultimate X-Men,2001,4,Issue,2001-05-01,Comicvine,7258,53567,Ultimate X-Men,2001, ,https://comicvine.gamespot.com/ultimate-x-men-4-betrayal/4000-53567/,31 days 00:00:00
35,Ultimate X-Men,2001,5,Issue,2001-06-01,Comicvine,7258,53568,Ultimate X-Men,2001, ,https://comicvine.gamespot.com/ultimate-x-men-5-killing-fields/4000-53568/,30 days 00:00:00
36,Ultimate X-Men,2001,6,Issue,2001-07-01,Comicvine,7258,53569,Ultimate X-Men,2001, ,https://comicvine.gamespot.com/ultimate-x-men-6-invasion/4000-53569/,335 days 00:00:00
37,Ultimate X-Men,2001,½,Issue,2002-06-01,Comicvine,7258,105555,Ultimate X-Men,2001, ,https://comicvine.gamespot.com/ultimate-x-men-12-burial-service/4000-105555/,182 days 00:00:00
38,Ultimate Spider-Man,2000,14,Issue,2001-12-01,Comicvine,7257,69357,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-14-doctor-octopus/4000-69357/,31 days 00:00:00
39,Ultimate Spider-Man,2000,15,Issue,2002-01-01,Comicvine,7257,51626,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-15-confrontations/4000-51626/,31 days 00:00:00
40,Ultimate Spider-Man,2000,16,Issue,2002-02-01,Comicvine,7257,51627,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-16-kraven-the-hunter/4000-51627/,28 days 00:00:00
41,Ultimate Spider-Man,2000,17,Issue,2002-03-01,Comicvine,7257,51628,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-17-taking-advantage/4000-51628/,31 days 00:00:00
42,Ultimate Spider-Man,2000,18,Issue,2002-04-01,Comicvine,7257,51629,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-18-the-cycle/4000-51629/,30 days 00:00:00
43,Ultimate Spider-Man,2000,19,Issue,2002-05-01,Comicvine,7257,51630,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-19-piece-of-work/4000-51630/,31 days 00:00:00
44,Ultimate Spider-Man,2000,20,Issue,2002-06-01,Comicvine,7257,74727,Ultimate Spider-Man,2000, ,https://comicvine.gamespot.com/ultimate-spider-man-20-live/4000-74727/,0 days 00:00:00
