,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Venomverse: War Stories,2017,1,Issue,2017-11-30,Comicvine,104089,619645,Venomverse: War Stories,2017, ,https://comicvine.gamespot.com/venomverse-war-stories-1/4000-619645/,91 days 00:00:00
2,Edge of Venomverse,2017,1,Issue,2017-08-31,Comicvine,102455,605112,Edge of Venomverse,2017, ,https://comicvine.gamespot.com/edge-of-venomverse-1/4000-605112/,30 days 00:00:00
3,Edge of Venomverse,2017,2,Issue,2017-09-30,Comicvine,102455,608244,Edge of Venomverse,2017, ,https://comicvine.gamespot.com/edge-of-venomverse-2/4000-608244/,0 days 00:00:00
4,Edge of Venomverse,2017,3,Issue,2017-09-30,Comicvine,102455,610523,Edge of Venomverse,2017, ,https://comicvine.gamespot.com/edge-of-venomverse-3/4000-610523/,31 days 00:00:00
5,Edge of Venomverse,2017,4,Issue,2017-10-31,Comicvine,102455,613789,Edge of Venomverse,2017, ,https://comicvine.gamespot.com/edge-of-venomverse-4-the-prodigal-son/4000-613789/,0 days 00:00:00
6,Edge of Venomverse,2017,5,Issue,2017-10-31,Comicvine,102455,616190,Edge of Venomverse,2017, ,https://comicvine.gamespot.com/edge-of-venomverse-5/4000-616190/,30 days 00:00:00
7,Venomverse,2017,1,Issue,2017-11-30,Comicvine,104088,619644,Venomverse,2017, ,https://comicvine.gamespot.com/venomverse-1/4000-619644/,0 days 00:00:00
8,Venomverse,2017,2,Issue,2017-11-30,Comicvine,104088,621683,Venomverse,2017, ,https://comicvine.gamespot.com/venomverse-2/4000-621683/,0 days 00:00:00
9,Venomverse,2017,3,Issue,2017-11-30,Comicvine,104088,622960,Venomverse,2017, ,https://comicvine.gamespot.com/venomverse-3/4000-622960/,31 days 00:00:00
10,Monsters Unleashed,2017,7,Issue,2017-12-31,Comicvine,100829,630530,Monsters Unleashed,2017, ,https://comicvine.gamespot.com/monsters-unleashed-7-and-lo-there-came-a-poison-pa/4000-630530/,31 days 00:00:00
11,Monsters Unleashed,2017,8,Issue,2018-01-31,Comicvine,100829,641410,Monsters Unleashed,2017, ,https://comicvine.gamespot.com/monsters-unleashed-8-and-lo-there-came-a-poison-pa/4000-641410/,62 days 00:00:00
12,Venomverse,2017,4,Issue,2017-11-30,Comicvine,104088,625331,Venomverse,2017, ,https://comicvine.gamespot.com/venomverse-4/4000-625331/,31 days 00:00:00
13,Venomverse,2017,5,Issue,2017-12-31,Comicvine,104088,626304,Venomverse,2017, ,https://comicvine.gamespot.com/venomverse-5/4000-626304/,0 days 00:00:00
